"Title"," EBacc entry by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Boys-Value","Girls-Value"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","North Yorkshire","Local Authority","E10000023","All pupils","All pupils","41","35","48"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Rotherham","Local Authority","E08000018","All pupils","All pupils","31","24","38"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Sheffield","Local Authority","E08000019","All pupils","All pupils","39","33","46"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Wakefield","Local Authority","E08000036","All pupils","All pupils","33","26","40"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","York","Local Authority","E06000014","All pupils","All pupils","56","52","61"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Derby","Local Authority","E06000015","All pupils","All pupils","33","28","38"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Derbyshire","Local Authority","E10000007","All pupils","All pupils","31","26","36"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Leicester","Local Authority","E06000016","All pupils","All pupils","32","28","37"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Leicestershire","Local Authority","E10000018","All pupils","All pupils","32","27","37"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Lincolnshire","Local Authority","E10000019","All pupils","All pupils","44","39","48"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Northamptonshire","Local Authority","E10000021","All pupils","All pupils","41","36","45"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Nottingham","Local Authority","E06000018","All pupils","All pupils","32","26","39"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Nottinghamshire","Local Authority","E10000024","All pupils","All pupils","41","34","48"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Rutland","Local Authority","E06000017","All pupils","All pupils","33","22","46"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Birmingham","Local Authority","E08000025","All pupils","All pupils","42","36","49"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Coventry","Local Authority","E08000026","All pupils","All pupils","40","33","46"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Dudley","Local Authority","E08000027","All pupils","All pupils","33","29","38"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Herefordshire, County of","Local Authority","E06000019","All pupils","All pupils","43","35","52"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Sandwell","Local Authority","E08000028","All pupils","All pupils","22","18","27"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Shropshire","Local Authority","E06000051","All pupils","All pupils","38","34","43"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Solihull","Local Authority","E08000029","All pupils","All pupils","45","38","53"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Staffordshire","Local Authority","E10000028","All pupils","All pupils","35","30","40"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Stoke-on-Trent","Local Authority","E06000021","All pupils","All pupils","28","23","33"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Telford and Wrekin","Local Authority","E06000020","All pupils","All pupils","46","41","52"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Walsall","Local Authority","E08000030","All pupils","All pupils","36","32","40"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Warwickshire","Local Authority","E10000031","All pupils","All pupils","42","37","48"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Wolverhampton","Local Authority","E08000031","All pupils","All pupils","26","18","33"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Worcestershire","Local Authority","E10000034","All pupils","All pupils","39","35","43"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Bedford","Local Authority","E06000055","All pupils","All pupils","31","26","37"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Cambridgeshire","Local Authority","E10000003","All pupils","All pupils","41","36","47"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Central Bedfordshire","Local Authority","E06000056","All pupils","All pupils","36","30","42"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Essex","Local Authority","E10000012","All pupils","All pupils","38","33","43"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Hertfordshire","Local Authority","E10000015","All pupils","All pupils","46","42","50"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Luton","Local Authority","E06000032","All pupils","All pupils","33","35","31"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Norfolk","Local Authority","E10000020","All pupils","All pupils","36","30","42"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Peterborough","Local Authority","E06000031","All pupils","All pupils","38","31","45"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Southend-on-Sea","Local Authority","E06000033","All pupils","All pupils","42","38","46"
