"","All","Male","Female"
"","%","%","%"
"Asian/Asian British","17.9","12.9","23.6"
"Black/Black British","22.5","13.5","29.3"
"Mixed/ multiple/ other","19.5","10.5","28.7"
"White British","17.3","13.5","20.9"
"White other","14.4","13.1","15.6"
