"Gender","Ethnicity","Rate","Arrests"
"All","All","15.98","896,209"
"All","Asian","15.62","59,665"
"All","Black","44.39","82,789"
"All","Mixed","23.80","29,146"
"All","White","13.75","663,059"
"All","Other","15.09","14,443"
"All","Unknown","N/A","47,107"
"Female","All","4.91","139,915"
"Female","Asian","2.55","4,810"
"Female","Black","10.37","10,028"
"Female","Mixed","7.66","4,695"
"Female","White","4.51","110,841"
"Female","Other","4.30","1,970"
"Female","Unknown","N/A","7,571"
"Male","All","27.43","756,294"
"Male","Asian","28.36","54,855"
"Male","Black","81.01","72,761"
"Male","Mixed","39.98","24,451"
"Male","White","23.37","552,218"
"Male","Other","25.02","12,473"
"Male","Unknown","N/A","39,536"
