"Measure","Time","Time_type","Ethnicity_type","Ethnicity","Value","Sample_size"
"Average age of purchasing first home","2015-16 and 2016-17","Two years","White British and Other","White British","30.9","503"
"Average age of purchasing first home","2015-16 and 2016-17","Two years","White British and Other","Other than White British","32.4","160"
