"Title","Anxiety by ethnicity and gender"
"Location","UK"
"Time period","2014 to 2016 combined"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/bulletins/measuringnationalwellbeing/januarytodecember2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/05/2018"

"","Female","Male"
"","",""
"All","3.01","2.70"
"Arab","3.26","3.41"
"Bangladeshi","2.90","2.93"
"Chinese","2.68","2.78"
"Indian","3.04","2.84"
"Pakistani","3.05","2.89"
"Asian other","3.03","2.86"
"Black","2.86","2.79"
"Mixed","3.33","3.07"
"White","3.02","2.67"
"White Gypsy/Traveller","?","?"
"Other","2.98","2.91"
