"Standard Ethnicity","Unemployment period","%"
"All","0-3 months","42"
"All","3-12 months","32"
"All","12+ months","26"
"White","0-3 months","43"
"White","3-12 months","31"
"White","12+ months","25"
"Other","0-3 months","37"
"Other","3-12 months","35"
"Other","12+ months","28"
