"DATE","DURATION","REGION","ETHNICITY","NUMERATOR","DENOMINATOR","SAMP_SIZE","Value","Confidence Interval","Supress?"
"Jan07-Dec07","0-3 months","North East","All","29600","75800","233","39.1","6.3",""
"Jan07-Dec07","0-3 months","North East","White","28300","73100","222","38.8","10.1",""
"Jan07-Dec07","0-3 months","North East","Ethnic Minority","?","?","?","?","?","Supress"
"Jan07-Dec07","0-3 months","North West","All","76700","189800","466","40.4","4.5",""
"Jan07-Dec07","0-3 months","North West","White","65100","162800","403","40","7.6",""
"Jan07-Dec07","0-3 months","North West","Ethnic Minority","11600","27000","63","42.8","19.3",""
"Jan07-Dec07","0-3 months","Scotland","All","52500","124600","484","42.2","4.4",""
"Jan07-Dec07","0-3 months","Scotland","White","49700","120000","465","41.4","7.1",""
"Jan07-Dec07","0-3 months","Scotland","Ethnic Minority","?","?","?","?","?","Supress"
"Jan07-Dec07","0-3 months","South East","All","87100","182400","395","47.8","4.9",""
"Jan07-Dec07","0-3 months","South East","White","78100","162200","347","48.1","8.3",""
"Jan07-Dec07","0-3 months","South East","Ethnic Minority","8700","19500","47","44.6","22.5",""
"Jan07-Dec07","0-3 months","South West","All","54400","102300","256","53.2","6.1",""
"Jan07-Dec07","0-3 months","South West","White","49300","95900","236","51.5","10.1",""
"Jan07-Dec07","0-3 months","South West","Ethnic Minority","?","?","?","?","?","Supress"
"Jan07-Dec07","0-3 months","Wales","All","36700","79000","418","46.4","4.8",""
"Jan07-Dec07","0-3 months","Wales","White","35200","74800","403","47.1","7.7",""
"Jan07-Dec07","0-3 months","Wales","Ethnic Minority","?","?","?","?","?","Supress"
"Jan07-Dec07","0-3 months","West Midlands","All","60100","156100","271","38.5","5.8",""
"Jan07-Dec07","0-3 months","West Midlands","White","49400","119400","225","41.4","10.2",""
"Jan07-Dec07","0-3 months","West Midlands","Ethnic Minority","10800","36700","46","29.4","20.8",""
"Jan07-Dec07","0-3 months","Yorkshire and The Humber","All","57600","138600","278","41.5","5.8",""
"Jan07-Dec07","0-3 months","Yorkshire and The Humber","White","51600","119300","256","43.2","9.6",""
"Jan07-Dec07","0-3 months","Yorkshire and The Humber","Ethnic Minority","?","?","?","?","?","Supress"
"Jan08-Dec08","0-3 months","All","All","746200","1738400","3848","42.9","1.6",""
"Jan08-Dec08","0-3 months","All","White","620700","1410400","3321","44","2.7",""
"Jan08-Dec08","0-3 months","All","Ethnic Minority","125500","327100","527","38.3","6.6",""
"Jan08-Dec08","0-3 months","East Midlands","All","53600","132900","207","40.3","6.7",""
"Jan08-Dec08","0-3 months","East Midlands","White","48300","113000","178","42.8","11.5",""
"Jan08-Dec08","0-3 months","East Midlands","Ethnic Minority","?","?","?","?","?","Supress"
"Jan08-Dec08","0-3 months","East of England","All","67300","142700","257","47.1","6.1",""
"Jan08-Dec08","0-3 months","East of England","White","60100","125800","224","47.8","10.3",""
"Jan08-Dec08","0-3 months","East of England","Ethnic Minority","7200","16800","33","42.8","26.7",""
"Jan08-Dec08","0-3 months","London","All","113800","285500","385","39.9","4.9",""
"Jan08-Dec08","0-3 months","London","White","56500","130500","197","43.3","10.9",""
"Jan08-Dec08","0-3 months","London","Ethnic Minority","57300","154700","188","37","10.9",""
"Jan08-Dec08","0-3 months","North East","All","36000","92900","257","38.8","6",""
"Jan08-Dec08","0-3 months","North East","White","35200","88500","251","39.7","9.6",""
"Jan08-Dec08","0-3 months","North East","Ethnic Minority","?","?","?","?","?","Supress"
"Jan08-Dec08","0-3 months","North West","All","87500","213400","527","41","4.2",""
"Jan08-Dec08","0-3 months","North West","White","75500","184900","455","40.8","7.1",""
"Jan08-Dec08","0-3 months","North West","Ethnic Minority","11900","28500","72","42","18",""
"Jan08-Dec08","0-3 months","Scotland","All","60500","130100","496","46.5","4.4",""
"Jan08-Dec08","0-3 months","Scotland","White","58200","125100","482","46.6","7",""
"Jan08-Dec08","0-3 months","Scotland","Ethnic Minority","?","?","?","?","?","Supress"
"Jan08-Dec08","0-3 months","South East","All","92800","195900","419","47.4","4.8",""
"Jan08-Dec08","0-3 months","South East","White","81200","173500","358","46.8","8.2",""
"Jan08-Dec08","0-3 months","South East","Ethnic Minority","11600","22000","61","52.6","19.8",""
"Jan08-Dec08","0-3 months","South West","All","55400","109100","277","50.8","5.9",""
"Jan08-Dec08","0-3 months","South West","White","52700","102500","264","51.4","9.5",""
"Jan08-Dec08","0-3 months","South West","Ethnic Minority","?","?","?","?","?","Supress"
"Jan08-Dec08","0-3 months","Wales","All","38100","90300","399","42.2","4.8",""
"Jan08-Dec08","0-3 months","Wales","White","35900","85900","380","41.8","7.8",""
"Jan08-Dec08","0-3 months","Wales","Ethnic Minority","?","?","?","?","?","Supress"
"Jan08-Dec08","0-3 months","West Midlands","All","73900","185600","310","39.8","5.4",""
"Jan08-Dec08","0-3 months","West Midlands","White","56700","141900","246","40","9.7",""
"Jan08-Dec08","0-3 months","West Midlands","Ethnic Minority","17200","43700","64","39.2","18.9",""
"Jan08-Dec08","0-3 months","Yorkshire and The Humber","All","67400","160000","314","42.2","5.5",""
