"DATE","DURATION","REGION","ETHNICITY","NUMERATOR","DENOMINATOR","SAMP_SIZE","Value","Confidence Interval","Supress?"
"Jan13-Dec13","0-3 months","Scotland","All","68900","209200","428","32.9","4.5",""
"Jan13-Dec13","0-3 months","Scotland","White","63200","197300","411","32","7.1",""
"Jan13-Dec13","0-3 months","Scotland","Ethnic Minority","?","?","?","?","?","Supress"
"Jan13-Dec13","0-3 months","South East","All","94700","259000","364","36.6","4.9",""
"Jan13-Dec13","0-3 months","South East","White","80800","221800","307","36.4","8.5",""
"Jan13-Dec13","0-3 months","South East","Ethnic Minority","14000","37200","57","37.6","19.9",""
"Jan13-Dec13","0-3 months","South West","All","51700","156500","217","33.1","6.3",""
"Jan13-Dec13","0-3 months","South West","White","47100","141600","199","33.3","10.3",""
"Jan13-Dec13","0-3 months","South West","Ethnic Minority","?","?","?","?","?","Supress"
"Jan13-Dec13","0-3 months","Wales","All","39200","117200","353","33.5","4.9",""
"Jan13-Dec13","0-3 months","Wales","White","34700","109900","333","31.5","7.9",""
"Jan13-Dec13","0-3 months","Wales","Ethnic Minority","?","?","?","?","?","Supress"
"Jan13-Dec13","0-3 months","West Midlands","All","61200","236700","259","25.9","5.3",""
"Jan13-Dec13","0-3 months","West Midlands","White","45900","163600","208","28","9.6",""
"Jan13-Dec13","0-3 months","West Midlands","Ethnic Minority","15100","72700","50","20.8","17.8",""
"Jan13-Dec13","0-3 months","Yorkshire and The Humber","All","71300","237400","303","30","5.2",""
"Jan13-Dec13","0-3 months","Yorkshire and The Humber","White","59500","199000","267","29.9","8.7",""
"Jan13-Dec13","0-3 months","Yorkshire and The Humber","Ethnic Minority","11800","38400","36","30.8","23.8",""
"Jan14-Dec14","0-3 months","All","All","682300","1971400","3138","34.6","1.7",""
"Jan14-Dec14","0-3 months","All","White","558400","1569500","2649","35.6","2.9",""
"Jan14-Dec14","0-3 months","All","Ethnic Minority","122200","396800","482","30.8","6.5",""
"Jan14-Dec14","0-3 months","East Midlands","All","43800","130900","144","33.5","7.7",""
"Jan14-Dec14","0-3 months","East Midlands","White","36800","110900","114","33.2","13.7",""
"Jan14-Dec14","0-3 months","East Midlands","Ethnic Minority","6900","19900","30","34.8","26.9",""
"Jan14-Dec14","0-3 months","East of England","All","62300","160500","206","38.8","6.7",""
"Jan14-Dec14","0-3 months","East of England","White","54200","139000","180","39","11.3",""
"Jan14-Dec14","0-3 months","East of England","Ethnic Minority","?","?","?","?","?","Supress"
"Jan14-Dec14","0-3 months","London","All","101600","317600","326","32","5.1",""
"Jan14-Dec14","0-3 months","London","White","55200","150500","169","36.7","11.5",""
"Jan14-Dec14","0-3 months","London","Ethnic Minority","46400","165800","157","28","11.1",""
"Jan14-Dec14","0-3 months","North East","All","35800","108000","261","33.1","5.7",""
"Jan14-Dec14","0-3 months","North East","White","33900","102600","244","33","9.3",""
"Jan14-Dec14","0-3 months","North East","Ethnic Minority","?","?","?","?","?","Supress"
"Jan14-Dec14","0-3 months","North West","All","81300","244000","409","33.3","4.6",""
"Jan14-Dec14","0-3 months","North West","White","67600","206300","338","32.8","7.9",""
"Jan14-Dec14","0-3 months","North West","Ethnic Minority","13700","37200","71","36.9","17.7",""
"Jan14-Dec14","0-3 months","Scotland","All","55700","169800","366","32.8","4.8",""
"Jan14-Dec14","0-3 months","Scotland","White","51500","157400","345","32.7","7.8",""
"Jan14-Dec14","0-3 months","Scotland","Ethnic Minority","?","?","?","?","?","Supress"
"Jan14-Dec14","0-3 months","South East","All","90200","218300","381","41.3","4.9",""
"Jan14-Dec14","0-3 months","South East","White","77200","190800","315","40.5","8.6",""
"Jan14-Dec14","0-3 months","South East","Ethnic Minority","13000","27600","66","47.2","19",""
"Jan14-Dec14","0-3 months","South West","All","63200","139600","256","45.2","6.1",""
"Jan14-Dec14","0-3 months","South West","White","56200","122300","237","45.9","10",""
"Jan14-Dec14","0-3 months","South West","Ethnic Minority","?","?","?","?","?","Supress"
"Jan14-Dec14","0-3 months","Wales","All","32600","100100","326","32.6","5.1",""
"Jan14-Dec14","0-3 months","Wales","White","30900","95600","315","32.3","8.2",""
"Jan14-Dec14","0-3 months","Wales","Ethnic Minority","?","?","?","?","?","Supress"
"Jan14-Dec14","0-3 months","West Midlands","All","57300","186700","216","30.7","6.2",""
"Jan14-Dec14","0-3 months","West Midlands","White","43800","136100","166","32.2","11.2",""
"Jan14-Dec14","0-3 months","West Midlands","Ethnic Minority","13600","50200","50","27","19.4",""
"Jan14-Dec14","0-3 months","Yorkshire and The Humber","All","58500","195900","247","29.9","5.7",""
"Jan14-Dec14","0-3 months","Yorkshire and The Humber","White","51200","158000","226","32.4","9.6",""
"Jan14-Dec14","0-3 months","Yorkshire and The Humber","Ethnic Minority","?","?","?","?","?","Supress"
"Jan15-Dec15","0-3 months","All","All","639300","1675500","2814","38.2","1.8",""
"Jan15-Dec15","0-3 months","All","White","509900","1310100","2337","38.9","3.1",""
"Jan15-Dec15","0-3 months","All","Ethnic Minority","128800","364100","474","35.4","6.8",""
"Jan15-Dec15","0-3 months","East Midlands","All","40200","109700","136","36.7","8.1",""
"Jan15-Dec15","0-3 months","East Midlands","White","33200","90200","104","36.8","14.6",""
"Jan15-Dec15","0-3 months","East Midlands","Ethnic Minority","7000","19400","32","35.9","26.3",""
"Jan15-Dec15","0-3 months","East of England","All","49900","123100","166","40.5","7.5",""
"Jan15-Dec15","0-3 months","East of England","White","44200","109000","139","40.6","12.9",""
"Jan15-Dec15","0-3 months","East of England","Ethnic Minority","?","?","?","?","?","Supress"
"Jan15-Dec15","0-3 months","London","All","106400","283800","305","37.5","5.4",""
"Jan15-Dec15","0-3 months","London","White","56600","129300","162","43.8","12.1",""
"Jan15-Dec15","0-3 months","London","Ethnic Minority","49800","154500","143","32.2","12.1",""
"Jan15-Dec15","0-3 months","North East","All","32600","97700","230","33.4","6.1",""
"Jan15-Dec15","0-3 months","North East","White","30100","91800","214","32.8","9.9",""
"Jan15-Dec15","0-3 months","North East","Ethnic Minority","?","?","?","?","?","Supress"
"Jan15-Dec15","0-3 months","North West","All","66700","186000","351","35.9","5",""
"Jan15-Dec15","0-3 months","North West","White","54400","150300","286","36.2","8.8",""
"Jan15-Dec15","0-3 months","North West","Ethnic Minority","12300","35700","64","34.4","18.4",""
"Jan15-Dec15","0-3 months","Scotland","All","56200","159300","336","35.3","5.1",""
"Jan15-Dec15","0-3 months","Scotland","White","51500","148800","317","34.6","8.3",""
"Jan15-Dec15","0-3 months","Scotland","Ethnic Minority","?","?","?","?","?","Supress"
"Jan15-Dec15","0-3 months","South East","All","93300","194000","347","48.1","5.3",""
"Jan15-Dec15","0-3 months","South East","White","78100","162300","281","48.1","9.2",""
"Jan15-Dec15","0-3 months","South East","Ethnic Minority","15200","31700","66","48","19",""
"Jan15-Dec15","0-3 months","South West","All","53300","110100","228","48.4","6.5",""
"Jan15-Dec15","0-3 months","South West","White","50000","99600","217","50.2","10.5",""
"Jan15-Dec15","0-3 months","South West","Ethnic Minority","?","?","?","?","?","Supress"
"Jan15-Dec15","0-3 months","Wales","All","28600","87900","273","32.5","5.6",""
"Jan15-Dec15","0-3 months","Wales","White","27000","82400","263","32.7","9",""
"Jan15-Dec15","0-3 months","Wales","Ethnic Minority","?","?","?","?","?","Supress"
"Jan15-Dec15","0-3 months","West Midlands","All","52400","161300","196","32.5","6.6",""
"Jan15-Dec15","0-3 months","West Midlands","White","36800","114600","145","32.1","12",""
"Jan15-Dec15","0-3 months","West Midlands","Ethnic Minority","15500","46700","51","33.3","20.4",""
"Jan15-Dec15","0-3 months","Yorkshire and The Humber","All","59800","162600","246","36.8","6",""
"Jan15-Dec15","0-3 months","Yorkshire and The Humber","White","47900","131900","209","36.3","10.3",""
"Jan15-Dec15","0-3 months","Yorkshire and The Humber","Ethnic Minority","11900","30700","37","38.6","24.8",""
"Jan16-Dec16","0-3 months","All","All","649600","1551400","2567","41.9","1.9",""
"Jan16-Dec16","0-3 months","All","White","524600","1212300","2143","43.3","3.3",""
"Jan16-Dec16","0-3 months","All","Ethnic Minority","124300","337900","421","36.8","7.3",""
"Jan16-Dec16","0-3 months","East Midlands","All","43200","100400","122","43","8.8",""
"Jan16-Dec16","0-3 months","East Midlands","White","36500","87700","99","41.6","15.3",""
"Jan16-Dec16","0-3 months","East Midlands","Ethnic Minority","?","?","?","?","?","Supress"
"Jan16-Dec16","0-3 months","East of England","All","53900","120200","156","44.8","7.8",""
"Jan16-Dec16","0-3 months","East of England","White","46900","103900","128","45.1","13.6",""
"Jan16-Dec16","0-3 months","East of England","Ethnic Minority","?","?","?","?","?","Supress"
"Jan16-Dec16","0-3 months","London","All","116000","272600","302","42.6","5.6",""
"Jan16-Dec16","0-3 months","London","White","62200","119300","160","52.1","12.2",""
"Jan16-Dec16","0-3 months","London","Ethnic Minority","53800","153300","142","35.1","12.4",""
"Jan16-Dec16","0-3 months","North East","All","26000","84700","165","30.7","7",""
"Jan16-Dec16","0-3 months","North East","White","24500","78800","157","31.1","11.4",""
"Jan16-Dec16","0-3 months","North East","Ethnic Minority","?","?","?","?","?","Supress"
"Jan16-Dec16","0-3 months","North West","All","78000","180600","357","43.2","5.1",""
"Jan16-Dec16","0-3 months","North West","White","65500","150000","302","43.7","8.8",""
"Jan16-Dec16","0-3 months","North West","Ethnic Minority","12400","30600","55","40.7","20.5",""
"Jan16-Dec16","0-3 months","Scotland","All","54800","129700","285","42.2","5.7",""
"Jan16-Dec16","0-3 months","Scotland","White","52300","121900","275","42.9","9.2",""
"Jan16-Dec16","0-3 months","Scotland","Ethnic Minority","?","?","?","?","?","Supress"
"Jan16-Dec16","0-3 months","South East","All","85900","188100","319","45.7","5.5",""
"Jan16-Dec16","0-3 months","South East","White","70500","159500","251","44.2","9.7",""
"Jan16-Dec16","0-3 months","South East","Ethnic Minority","15400","28200","68","54.5","18.7",""
"Jan16-Dec16","0-3 months","South West","All","56600","113700","228","49.8","6.5",""
"Jan16-Dec16","0-3 months","South West","White","52700","103800","213","50.8","10.6",""
"Jan16-Dec16","0-3 months","South West","Ethnic Minority","?","?","?","?","?","Supress"
"Jan16-Dec16","0-3 months","Wales","All","28400","68100","232","41.7","6.3",""
"Jan16-Dec16","0-3 months","Wales","White","26900","65600","225","41.1","10.2",""
"Jan16-Dec16","0-3 months","Wales","Ethnic Minority","?","?","?","?","?","Supress"
"Jan16-Dec16","0-3 months","West Midlands","All","53900","154300","185","34.9","6.9",""
"Jan16-Dec16","0-3 months","West Midlands","White","38900","103200","135","37.7","12.9",""
"Jan16-Dec16","0-3 months","West Midlands","Ethnic Minority","14700","50700","48","29","20.3",""
"Jan16-Dec16","0-3 months","Yorkshire and The Humber","All","52900","139000","216","38.1","6.5",""
"Jan16-Dec16","0-3 months","Yorkshire and The Humber","White","47600","118500","198","40.2","10.8",""
"Jan16-Dec16","0-3 months","Yorkshire and The Humber","Ethnic Minority","?","?","?","?","?","Supress"
"Jan17-Dec17","0-3 months","All","All","619300","1424700","2420","43.5","2",""
"Jan17-Dec17","0-3 months","All","White","484800","1105300","1983","43.9","3.5",""
"Jan17-Dec17","0-3 months","All","Ethnic Minority","134300","317000","435","42.4","7.3",""
"Jan17-Dec17","0-3 months","East Midlands","All","48400","104000","123","46.5","8.8",""
"Jan17-Dec17","0-3 months","East Midlands","White","38600","87400","93","44.2","15.9",""
"Jan17-Dec17","0-3 months","East Midlands","Ethnic Minority","9800","16600","30","58.7","27.8",""
"Jan17-Dec17","0-3 months","East of England","All","54000","114700","163","47.1","7.7",""
"Jan17-Dec17","0-3 months","East of England","White","45900","97500","127","47","13.7",""
"Jan17-Dec17","0-3 months","East of England","Ethnic Minority","8200","17200","36","47.4","25.8",""
"Jan17-Dec17","0-3 months","London","All","108900","260200","271","41.9","5.9",""
"Jan17-Dec17","0-3 months","London","White","59000","119400","148","49.4","12.7",""
"Jan17-Dec17","0-3 months","London","Ethnic Minority","49900","140300","123","35.6","13.4",""
"Jan17-Dec17","0-3 months","North East","All","25800","79200","171","32.6","7",""
"Jan17-Dec17","0-3 months","North East","White","24100","73600","159","32.7","11.5",""
"Jan17-Dec17","0-3 months","North East","Ethnic Minority","?","?","?","?","?","Supress"
"Jan17-Dec17","0-3 months","North West","All","67100","157200","285","42.7","5.7",""
"Jan17-Dec17","0-3 months","North West","White","54600","127300","235","42.9","10",""
"Jan17-Dec17","0-3 months","North West","Ethnic Minority","12500","30000","50","41.6","21.6",""
"Jan17-Dec17","0-3 months","Scotland","All","43500","111200","254","39.1","6",""
"Jan17-Dec17","0-3 months","Scotland","White","40200","104600","238","38.5","9.8",""
"Jan17-Dec17","0-3 months","Scotland","Ethnic Minority","?","?","?","?","?","Supress"
"Jan17-Dec17","0-3 months","South East","All","72800","149900","271","48.6","6",""
"Jan17-Dec17","0-3 months","South East","White","58400","127500","211","45.8","10.6",""
"Jan17-Dec17","0-3 months","South East","Ethnic Minority","14300","21700","59","65.8","19.1",""
"Jan17-Dec17","0-3 months","South West","All","46800","93500","209","50.1","6.8",""
"Jan17-Dec17","0-3 months","South West","White","41200","83800","188","49.1","11.3",""
"Jan17-Dec17","0-3 months","South West","Ethnic Minority","?","?","?","?","?","Supress"
"Jan17-Dec17","0-3 months","Wales","All","31300","71500","242","43.8","6.3",""
"Jan17-Dec17","0-3 months","Wales","White","28500","67100","231","42.5","10.1",""
"Jan17-Dec17","0-3 months","Wales","Ethnic Minority","?","?","?","?","?","Supress"
"Jan17-Dec17","0-3 months","West Midlands","All","66500","148300","223","44.8","6.5",""
"Jan17-Dec17","0-3 months","West Midlands","White","48900","107700","168","45.4","11.9",""
"Jan17-Dec17","0-3 months","West Midlands","Ethnic Minority","17500","39900","54","43.8","20.9",""
"Jan17-Dec17","0-3 months","Yorkshire and The Humber","All","54200","134900","208","40.2","6.7",""
"Jan17-Dec17","0-3 months","Yorkshire and The Humber","White","45400","109200","185","41.6","11.2",""
"Jan17-Dec17","0-3 months","Yorkshire and The Humber","Ethnic Minority","?","?","?","?","?","Supress"
"Jan04-Dec04","3-12 months","All","All","432200","1379000","3245","31.3","1.6",""
"Jan04-Dec04","3-12 months","All","White","346500","1133500","2845","30.6","2.7",""
"Jan04-Dec04","3-12 months","All","Ethnic Minority","85500","243300","399","35.2","7.4",""
"Jan04-Dec04","3-12 months","East Midlands","All","27000","91200","236","29.6","5.8",""
"Jan04-Dec04","3-12 months","East Midlands","White","23200","79200","210","29.3","9.7",""
"Jan04-Dec04","3-12 months","East Midlands","Ethnic Minority","?","?","?","?","?","Supress"
"Jan04-Dec04","3-12 months","East of England","All","31900","103600","260","30.8","5.6",""
"Jan04-Dec04","3-12 months","East of England","White","27800","93600","229","29.7","9.4",""
"Jan04-Dec04","3-12 months","East of England","Ethnic Minority","4000","9900","31","40.5","27.3",""
"Jan04-Dec04","3-12 months","London","All","98900","273100","366","36.2","4.9",""
"Jan04-Dec04","3-12 months","London","White","52500","150500","202","34.9","10.4",""
"Jan04-Dec04","3-12 months","London","Ethnic Minority","46400","121800","164","38.1","11.7",""
"Jan04-Dec04","3-12 months","North East","All","20800","69000","258","30.2","5.6",""
"Jan04-Dec04","3-12 months","North East","White","20200","66200","250","30.5","9",""
"Jan04-Dec04","3-12 months","North East","Ethnic Minority","?","?","?","?","?","Supress"
"Jan04-Dec04","3-12 months","North West","All","49200","152900","393","32.2","4.6",""
"Jan04-Dec04","3-12 months","North West","White","42100","136500","348","30.9","7.7",""
"Jan04-Dec04","3-12 months","North West","Ethnic Minority","7100","16400","45","42.9","22.8",""
"Jan04-Dec04","3-12 months","Scotland","All","42700","137100","401","31.2","4.5",""
"Jan04-Dec04","3-12 months","Scotland","White","41400","132200","393","31.3","7.2",""
"Jan04-Dec04","3-12 months","Scotland","Ethnic Minority","?","?","?","?","?","Supress"
"Jan04-Dec04","3-12 months","South East","All","46100","156700","372","29.4","4.6",""
"Jan04-Dec04","3-12 months","South East","White","41800","139700","337","29.9","7.7",""
"Jan04-Dec04","3-12 months","South East","Ethnic Minority","4300","16700","35","25.9","22.9",""
"Jan04-Dec04","3-12 months","South West","All","25300","85200","241","29.7","5.8",""
"Jan04-Dec04","3-12 months","South West","White","24200","81700","233","29.7","9.3",""
"Jan04-Dec04","3-12 months","South West","Ethnic Minority","?","?","?","?","?","Supress"
"Jan04-Dec04","3-12 months","Wales","All","17600","65300","258","27","5.4",""
"Jan04-Dec04","3-12 months","Wales","White","16800","61600","251","27.3","8.7",""
"Jan04-Dec04","3-12 months","Wales","Ethnic Minority","?","?","?","?","?","Supress"
"Jan04-Dec04","3-12 months","West Midlands","All","41600","133900","272","31.1","5.5",""
"Jan04-Dec04","3-12 months","West Midlands","White","30400","98400","226","30.9","9.5",""
"Jan04-Dec04","3-12 months","West Midlands","Ethnic Minority","11200","35300","46","31.6","21.2",""
"Jan04-Dec04","3-12 months","Yorkshire and The Humber","All","31200","111100","188","28.1","6.4",""
"Jan04-Dec04","3-12 months","Yorkshire and The Humber","White","26100","94000","166","27.7","10.8",""
"Jan04-Dec04","3-12 months","Yorkshire and The Humber","Ethnic Minority","?","?","?","?","?","Supress"
"Jan05-Dec05","3-12 months","All","All","462900","1442700","3339","32.1","1.6",""
"Jan05-Dec05","3-12 months","All","White","380000","1182500","2938","32.1","2.7",""
"Jan05-Dec05","3-12 months","All","Ethnic Minority","82500","258600","398","31.9","7.2",""
"Jan05-Dec05","3-12 months","East Midlands","All","35200","102700","278","34.3","5.6",""
"Jan05-Dec05","3-12 months","East Midlands","White","30300","88200","246","34.3","9.4",""
"Jan05-Dec05","3-12 months","East Midlands","Ethnic Minority","4900","14500","32","34.1","26",""
"Jan05-Dec05","3-12 months","East of England","All","34900","113700","285","30.7","5.4",""
"Jan05-Dec05","3-12 months","East of England","White","31400","101800","256","30.8","8.9",""
"Jan05-Dec05","3-12 months","East of England","Ethnic Minority","?","?","?","?","?","Supress"
"Jan05-Dec05","3-12 months","London","All","89900","276300","306","32.5","5.2",""
"Jan05-Dec05","3-12 months","London","White","47800","141700","164","33.7","11.4",""
"Jan05-Dec05","3-12 months","London","Ethnic Minority","42100","134300","142","31.3","12.1",""
"Jan05-Dec05","3-12 months","North East","All","23100","68100","255","33.9","5.8",""
"Jan05-Dec05","3-12 months","North East","White","22000","65100","244","33.8","9.4",""
"Jan05-Dec05","3-12 months","North East","Ethnic Minority","?","?","?","?","?","Supress"
"Jan05-Dec05","3-12 months","North West","All","55200","173300","431","31.9","4.4",""
"Jan05-Dec05","3-12 months","North West","White","49600","154800","393","32","7.3",""
"Jan05-Dec05","3-12 months","North West","Ethnic Minority","5600","18100","38","31.1","23.3",""
"Jan05-Dec05","3-12 months","Scotland","All","44100","137500","402","32.1","4.6",""
"Jan05-Dec05","3-12 months","Scotland","White","42600","133600","391","31.9","7.3",""
"Jan05-Dec05","3-12 months","Scotland","Ethnic Minority","?","?","?","?","?","Supress"
"Jan05-Dec05","3-12 months","South East","All","48600","160000","391","30.4","4.6",""
"Jan05-Dec05","3-12 months","South East","White","42200","142400","339","29.6","7.7",""
"Jan05-Dec05","3-12 months","South East","Ethnic Minority","6100","17200","50","35.3","20.9",""
"Jan05-Dec05","3-12 months","South West","All","26300","87200","212","30.2","6.2",""
"Jan05-Dec05","3-12 months","South West","White","25900","84300","209","30.7","9.9",""
"Jan05-Dec05","3-12 months","South West","Ethnic Minority","?","?","?","?","?","Supress"
"Jan05-Dec05","3-12 months","Wales","All","23400","71600","297","32.6","5.3",""
"Jan05-Dec05","3-12 months","Wales","White","21100","66600","277","31.7","8.7",""
"Jan05-Dec05","3-12 months","Wales","Ethnic Minority","?","?","?","?","?","Supress"
"Jan05-Dec05","3-12 months","West Midlands","All","42500","132900","267","32","5.6",""
"Jan05-Dec05","3-12 months","West Midlands","White","31900","98300","222","32.5","9.7",""
"Jan05-Dec05","3-12 months","West Midlands","Ethnic Minority","10600","34300","45","30.9","21.3",""
"Jan05-Dec05","3-12 months","Yorkshire and The Humber","All","39800","119600","215","33.3","6.3",""
"Jan05-Dec05","3-12 months","Yorkshire and The Humber","White","35400","105900","197","33.4","10.4",""
"Jan05-Dec05","3-12 months","Yorkshire and The Humber","Ethnic Minority","?","?","?","?","?","Supress"
"Jan06-Dec06","3-12 months","All","All","553500","1598500","3019","34.6","1.7",""
"Jan06-Dec06","3-12 months","All","White","441500","1292900","2553","34.2","2.9",""
"Jan06-Dec06","3-12 months","All","Ethnic Minority","111600","303900","463","36.7","6.9",""
"Jan06-Dec06","3-12 months","East Midlands","All","40900","116400","165","35.2","7.3",""
"Jan06-Dec06","3-12 months","East Midlands","White","36400","101700","141","35.8","12.5",""
"Jan06-Dec06","3-12 months","East Midlands","Ethnic Minority","?","?","?","?","?","Supress"
"Jan06-Dec06","3-12 months","East of England","All","42200","131100","179","32.2","6.8",""
"Jan06-Dec06","3-12 months","East of England","White","37000","114300","148","32.4","11.9",""
"Jan06-Dec06","3-12 months","East of England","Ethnic Minority","5100","15900","30","32.2","26.4",""
"Jan06-Dec06","3-12 months","London","All","111600","299000","386","37.3","4.8",""
"Jan06-Dec06","3-12 months","London","White","49500","141300","175","35","11.2",""
"Jan06-Dec06","3-12 months","London","Ethnic Minority","62200","157300","211","39.5","10.4",""
"Jan06-Dec06","3-12 months","North East","All","31500","84200","261","37.4","5.9",""
"Jan06-Dec06","3-12 months","North East","White","29700","80100","245","37.1","9.6",""
"Jan06-Dec06","3-12 months","North East","Ethnic Minority","?","?","?","?","?","Supress"
"Jan06-Dec06","3-12 months","North West","All","61700","178400","365","34.6","4.9",""
"Jan06-Dec06","3-12 months","North West","White","53700","156200","317","34.4","8.3",""
"Jan06-Dec06","3-12 months","North West","Ethnic Minority","8000","22300","48","35.8","21.4",""
"Jan06-Dec06","3-12 months","Scotland","All","45500","136600","421","33.3","4.5",""
"Jan06-Dec06","3-12 months","Scotland","White","44000","131500","413","33.5","7.2",""
"Jan06-Dec06","3-12 months","Scotland","Ethnic Minority","?","?","?","?","?","Supress"
"Jan06-Dec06","3-12 months","South East","All","64500","195400","311","33","5.2",""
"Jan06-Dec06","3-12 months","South East","White","59200","179900","277","32.9","8.7",""
"Jan06-Dec06","3-12 months","South East","Ethnic Minority","5400","15500","34","34.5","25.2",""
"Jan06-Dec06","3-12 months","South West","All","32200","96500","149","33.3","7.6",""
"Jan06-Dec06","3-12 months","South West","White","31100","90800","144","34.3","12.3",""
"Jan06-Dec06","3-12 months","South West","Ethnic Minority","?","?","?","?","?","Supress"
"Jan06-Dec06","3-12 months","Wales","All","23900","73100","305","32.7","5.3",""
"Jan06-Dec06","3-12 months","Wales","White","23100","69400","300","33.3","8.4",""
"Jan06-Dec06","3-12 months","Wales","Ethnic Minority","?","?","?","?","?","Supress"
"Jan06-Dec06","3-12 months","West Midlands","All","51800","146400","230","35.4","6.2",""
"Jan06-Dec06","3-12 months","West Midlands","White","37200","103800","172","35.9","11.3",""
"Jan06-Dec06","3-12 months","West Midlands","Ethnic Minority","14600","42600","58","34.2","19.3",""
"Jan06-Dec06","3-12 months","Yorkshire and The Humber","All","47600","141400","247","33.6","5.9",""
"Jan06-Dec06","3-12 months","Yorkshire and The Humber","White","40500","124000","221","32.7","9.8",""
"Jan06-Dec06","3-12 months","Yorkshire and The Humber","Ethnic Minority","?","?","?","?","?","Supress"
"Jan07-Dec07","3-12 months","All","All","527700","1558700","2765","33.9","1.8",""
"Jan07-Dec07","3-12 months","All","White","421900","1258100","2335","33.5","3",""
"Jan07-Dec07","3-12 months","All","Ethnic Minority","105300","299100","428","35.2","7.1",""
"Jan07-Dec07","3-12 months","East Midlands","All","40200","112700","168","35.7","7.2",""
"Jan07-Dec07","3-12 months","East Midlands","White","34100","96600","134","35.3","12.8",""
"Jan07-Dec07","3-12 months","East Midlands","Ethnic Minority","6100","15900","34","38.3","25.8",""
"Jan07-Dec07","3-12 months","East of England","All","44700","124700","174","35.9","7.1",""
"Jan07-Dec07","3-12 months","East of England","White","38600","105900","144","36.4","12.4",""
"Jan07-Dec07","3-12 months","East of England","Ethnic Minority","6100","18800","30","32.7","26.5",""
"Jan07-Dec07","3-12 months","London","All","94400","272800","313","34.6","5.3",""
"Jan07-Dec07","3-12 months","London","White","41000","128100","141","32","12.2",""
"Jan07-Dec07","3-12 months","London","Ethnic Minority","53100","144500","171","36.7","11.4",""
"Jan07-Dec07","3-12 months","North East","All","27400","75800","214","36.2","6.4",""
"Jan07-Dec07","3-12 months","North East","White","26100","73100","202","35.8","10.4",""
"Jan07-Dec07","3-12 months","North East","Ethnic Minority","?","?","?","?","?","Supress"
"Jan07-Dec07","3-12 months","North West","All","66300","189800","372","34.9","4.8",""
"Jan07-Dec07","3-12 months","North West","White","57500","162800","325","35.3","8.2",""
"Jan07-Dec07","3-12 months","North West","Ethnic Minority","8800","27000","47","32.7","21.2",""
"Jan07-Dec07","3-12 months","Scotland","All","43500","124600","383","34.9","4.8",""
"Jan07-Dec07","3-12 months","Scotland","White","42400","120000","375","35.3","7.6",""
"Jan07-Dec07","3-12 months","Scotland","Ethnic Minority","?","?","?","?","?","Supress"
"Jan07-Dec07","3-12 months","South East","All","61500","182400","267","33.7","5.7",""
"Jan07-Dec07","3-12 months","South East","White","54200","162200","235","33.4","9.5",""
"Jan07-Dec07","3-12 months","South East","Ethnic Minority","7400","19500","32","37.8","26.5",""
"Jan07-Dec07","3-12 months","South West","All","29800","102300","145","29.1","7.4",""
"Jan07-Dec07","3-12 months","South West","White","28600","95900","139","29.9","12",""
"Jan07-Dec07","3-12 months","South West","Ethnic Minority","?","?","?","?","?","Supress"
"Jan07-Dec07","3-12 months","Wales","All","24400","79000","282","30.9","5.4",""
"Jan07-Dec07","3-12 months","Wales","White","22800","74800","269","30.5","8.7",""
"Jan07-Dec07","3-12 months","Wales","Ethnic Minority","?","?","?","?","?","Supress"
"Jan07-Dec07","3-12 months","West Midlands","All","52600","156100","228","33.7","6.1",""
"Jan07-Dec07","3-12 months","West Midlands","White","40500","119400","178","33.9","11",""
"Jan07-Dec07","3-12 months","West Midlands","Ethnic Minority","12100","36700","50","33","20.6",""
"Jan07-Dec07","3-12 months","Yorkshire and The Humber","All","42900","138600","219","31","6.1",""
"Jan07-Dec07","3-12 months","Yorkshire and The Humber","White","36100","119300","193","30.3","10.2",""
"Jan07-Dec07","3-12 months","Yorkshire and The Humber","Ethnic Minority","?","?","?","?","?","Supress"
"Jan08-Dec08","3-12 months","All","All","583800","1738400","2993","33.6","1.7",""
"Jan08-Dec08","3-12 months","All","White","474800","1410400","2537","33.7","2.9",""
"Jan08-Dec08","3-12 months","All","Ethnic Minority","108600","327100","455","33.2","6.8",""
"Jan08-Dec08","3-12 months","East Midlands","All","46100","132900","177","34.7","7",""
"Jan08-Dec08","3-12 months","East Midlands","White","38900","113000","142","34.5","12.4",""
"Jan08-Dec08","3-12 months","East Midlands","Ethnic Minority","7100","19900","35","35.9","25.1",""
"Jan08-Dec08","3-12 months","East of England","All","46800","142700","185","32.8","6.8",""
"Jan08-Dec08","3-12 months","East of England","White","40200","125800","153","32","11.7",""
"Jan08-Dec08","3-12 months","East of England","Ethnic Minority","6600","16800","32","39.3","26.7",""
"Jan08-Dec08","3-12 months","London","All","92200","285500","319","32.3","5.1",""
"Jan08-Dec08","3-12 months","London","White","43400","130500","156","33.3","11.7",""
"Jan08-Dec08","3-12 months","London","Ethnic Minority","48800","154700","163","31.5","11.3",""
"Jan08-Dec08","3-12 months","North East","All","34400","92900","253","37","5.9",""
"Jan08-Dec08","3-12 months","North East","White","31900","88500","234","36.1","9.7",""
"Jan08-Dec08","3-12 months","North East","Ethnic Minority","?","?","?","?","?","Supress"
"Jan08-Dec08","3-12 months","North West","All","70300","213400","400","32.9","4.6",""
"Jan08-Dec08","3-12 months","North West","White","60200","184900","343","32.6","7.8",""
