"Title","Length of time spent in unemployment"
"Location","England, Wales and Scotland"
"Time period","2004 to 2016"
"Data source","Department for Work and Pensions"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-09"
"DATE","DURATION","REGION","ETHNICITY","NUMERATOR","DENOMINATOR","SAMP_SIZE","Value","Confidence Interval","Suppress?"
"Jan04-Dec04","0-3 months","All","All","656452","1378994","10603","47.6","1",""
"Jan04-Dec04","0-3 months","All","White","549440","1133535","9398","48.5","1.6",""
"Jan04-Dec04","0-3 months","All","Ethnic Minority","105329","243305","1192","43.3","4.4",""
"Jan04-Dec04","0-3 months","East Midlands","All","44161","91213","791","48.4","3.5",""
"Jan04-Dec04","0-3 months","East Midlands","White","38317","79189","708","48.4","5.8",""
"Jan04-Dec04","0-3 months","East Midlands","Ethnic Minority","5844","11773","81","?","?","Suppress"
"Jan04-Dec04","0-3 months","East of England","All","54717","103578","854","52.8","3.3",""
"Jan04-Dec04","0-3 months","East of England","White","49740","93633","774","53.1","5.6",""
"Jan04-Dec04","0-3 months","East of England","Ethnic Minority","4977","9945","80","?","?","Suppress"
"Jan04-Dec04","0-3 months","London","All","107963","273105","1005","39.5","3",""
"Jan04-Dec04","0-3 months","London","White","63001","150475","566","41.9","6.4",""
"Jan04-Dec04","0-3 months","London","Ethnic Minority","44119","121787","437","36.2","7.1",""
"Jan04-Dec04","0-3 months","North East","All","32437","68997","852","47","3.4",""
"Jan04-Dec04","0-3 months","North East","White","30697","66182","822","46.4","5.4",""
"Jan04-Dec04","3-12 months","North East","Ethnic Minority","1740","2815","30","?","?","Suppress"
"Jan04-Dec04","0-3 months","North West","All","68154","152899","1244","44.6","2.8",""
"Jan04-Dec04","0-3 months","North West","White","62576","136458","1133","45.9","4.6",""
"Jan04-Dec04","0-3 months","North West","Ethnic Minority","5578","16441","111","33.9","13.9",""
"Jan04-Dec04","0-3 months","Scotland","All","60126","137055","1293","43.9","2.7",""
"Jan04-Dec04","0-3 months","Scotland","White","57944","132191","1260","43.8","4.3",""
"Jan04-Dec04","0-3 months","Scotland","Ethnic Minority","2093","4717","31","?","?","Suppress"
"Jan04-Dec04","0-3 months","South East","All","87361","156733","1260","55.7","2.7",""
"Jan04-Dec04","0-3 months","South East","White","76563","139704","1118","54.8","4.6",""
"Jan04-Dec04","0-3 months","South East","Ethnic Minority","10436","16667","139","62.6","12.7",""
"Jan04-Dec04","0-3 months","South West","All","44872","85160","805","52.7","3.4",""
"Jan04-Dec04","0-3 months","South West","White","43369","81679","780","53.1","5.5",""
"Jan04-Dec04","0-3 months","South West","Ethnic Minority","1376","3354","24","?","?","Suppress"
"Jan04-Dec04","0-3 months","Wales","All","34353","65259","926","52.6","3.2",""
"Jan04-Dec04","0-3 months","Wales","White","32080","61563","895","52.1","5.2",""
"Jan04-Dec04","0-3 months","Wales","Ethnic Minority","2101","3362","29","?","?","Suppress"
"Jan04-Dec04","0-3 months","West Midlands","All","64965","133853","888","48.5","3.3",""
"Jan04-Dec04","0-3 months","West Midlands","White","47082","98418","730","47.8","5.7",""
"Jan04-Dec04","0-3 months","West Midlands","Ethnic Minority","17793","35345","157","50.3","12.4",""
"Jan04-Dec04","0-3 months","Yorkshire and The Humber","All","57343","111142","685","51.6","3.7",""
"Jan04-Dec04","0-3 months","Yorkshire and The Humber","White","48071","94043","612","51.1","6.3",""
"Jan04-Dec04","0-3 months","Yorkshire and The Humber","Ethnic Minority","9272","17099","73","?","?","Suppress"
"Jan05-Dec05","0-3 months","All","All","672280","1442722","10459","46.6","1",""
"Jan05-Dec05","0-3 months","All","White","561135","1182474","9237","47.5","1.6",""
"Jan05-Dec05","0-3 months","All","Ethnic Minority","110443","258567","1210","42.7","4.4",""
"Jan05-Dec05","0-3 months","East Midlands","All","45978","102682","816","44.8","3.4",""
"Jan05-Dec05","0-3 months","East Midlands","White","38721","88217","724","43.9","5.7",""
"Jan05-Dec05","0-3 months","East Midlands","Ethnic Minority","7257","14465","92","?","?","Suppress"
"Jan05-Dec05","0-3 months","East of England","All","59153","113651","906","52","3.3",""
"Jan05-Dec05","0-3 months","East of England","White","52310","101765","812","51.4","5.4",""
"Jan05-Dec05","0-3 months","East of England","Ethnic Minority","6843","11810","93","?","?","Suppress"
"Jan05-Dec05","0-3 months","London","All","111838","276312","956","40.5","3.1",""
"Jan05-Dec05","0-3 months","London","White","59595","141726","510","42","6.8",""
"Jan05-Dec05","0-3 months","London","Ethnic Minority","52243","134333","445","38.9","7.2",""
"Jan05-Dec05","0-3 months","North East","All","28862","68070","768","42.4","3.5",""
"Jan05-Dec05","0-3 months","North East","White","27435","65054","739","42.2","5.6",""
"Jan05-Dec05","0-3 months","North East","Ethnic Minority","1427","2890","28","?","?","Suppress"
"Jan05-Dec05","0-3 months","North West","All","79301","173269","1325","45.8","2.7",""
"Jan05-Dec05","0-3 months","North West","White","71833","154778","1203","46.4","4.5",""
"Jan05-Dec05","0-3 months","North West","Ethnic Minority","7075","18098","120","39.1","13.8",""
"Jan05-Dec05","0-3 months","Scotland","All","62097","137525","1272","45.2","2.7",""
"Jan05-Dec05","0-3 months","Scotland","White","59769","133561","1244","44.8","4.4",""
"Jan05-Dec05","0-3 months","Scotland","Ethnic Minority","2328","3902","27","?","?","Suppress"
"Jan05-Dec05","0-3 months","South East","All","87652","159982","1268","54.8","2.7",""
"Jan05-Dec05","0-3 months","South East","White","78367","142363","1125","55","4.6",""
"Jan05-Dec05","0-3 months","South East","Ethnic Minority","9130","17150","139","53.2","13.1",""
"Jan05-Dec05","0-3 months","South West","All","46315","87150","732","53.1","3.6",""
