"Title","Time spent in unemployment"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Annual Population Survey https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"

"DATE","DURATION","REGION","ETHNICITY","NUMERATOR","DENOMINATOR","SAMP_SIZE","RATE","Confidence Interval","Supress?","Value"
"Jan16-Dec16","0-3 months","All","All","651,296","1,551,565","6,250","42","1.2","","42"
"Jan16-Dec16","0-3 months","All","White","526,869","1,214,736","5,152","43.4","2.1","","43"
"Jan16-Dec16","0-3 months","All","Other ethnic groups","123,680","335,591","1,093","36.9","4.5","","37"
"Jan16-Dec16","3-12 months","All","All","494,770","1,551,565","1,960","31.9","2.1","","32"
"Jan16-Dec16","3-12 months","All","White","378,756","1,214,736","1,598","31.2","3.6","","31"
"Jan16-Dec16","3-12 months","All","Other ethnic groups","116,014","335,591","362","34.6","7.7","","35"
"Jan16-Dec16","12+ months","All","All","397,787","1,551,565","1,689","25.6","2.1","","26"
"Jan16-Dec16","12+ months","All","White","303,074","1,214,736","1,383","24.9","3.6","","25"
"Jan16-Dec16","12+ months","All","Other ethnic groups","94,222","335,591","304","28.1","8","","28"
