"Title","Writing attainment for children aged 7 to 11 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","01/09/2016 (provisional)"

"Ethnicity","Local authority","%"
"Asian","Central Bedfordshire","79"
"Asian","Essex","86"
"Asian","Hertfordshire","86"
"Asian","Luton","69"
"Asian","Norfolk","88"
"Asian","Peterborough","74"
"Asian","Southend-on-Sea","71"
"Asian","Suffolk","80"
"Asian","Thurrock","75"
"Asian","Camden","78"
"Asian","City of London","100"
"Asian","Hackney","87"
"Asian","Hammersmith and Fulham","82"
"Asian","Haringey","88"
"Asian","Islington","88"
"Asian","Kensington and Chelsea","83"
"Asian","Lambeth","85"
"Asian","Lewisham","86"
"Asian","Newham","88"
"Asian","Southwark","90"
"Asian","Tower Hamlets","84"
"Asian","Wandsworth","79"
"Asian","Westminster","85"
"Asian","Barking and Dagenham","88"
"Asian","Barnet","80"
"Asian","Bexley","87"
"Asian","Brent","77"
"Asian","Bromley","89"
"Asian","Croydon","85"
"Asian","Ealing","77"
"Asian","Enfield","84"
"Asian","Greenwich","90"
"Asian","Harrow","81"
"Asian","Havering","92"
"Asian","Hillingdon","80"
"Asian","Hounslow","84"
"Asian","Kingston upon Thames","75"
"Asian","Merton","79"
"Asian","Redbridge","82"
"Asian","Richmond upon Thames","77"
"Asian","Sutton","92"
"Asian","Waltham Forest","85"
"Asian","Bracknell Forest","80"
"Asian","Brighton and Hove","69"
"Asian","Buckinghamshire","69"
"Asian","East Sussex","73"
"Asian","Hampshire","87"
"Asian","Isle of Wight","56"
"Asian","Kent","89"
"Asian","Medway","87"
"Asian","Milton Keynes","87"
"Asian","Oxfordshire","62"
"Asian","Portsmouth","86"
"Asian","Reading","82"
"Asian","Slough","85"
"Asian","Southampton","83"
"Asian","Surrey","77"
"Asian","West Berkshire","82"
"Asian","West Sussex","72"
"Asian","Windsor and Maidenhead","77"
"Asian","Wokingham","85"
"Asian","Bath and North East Somerset","85"
"Asian","Bournemouth","73"
"Asian","Bristol, City of","77"
"Asian","Cornwall","71"
"Asian","Devon","80"
"Asian","Dorset","73"
"Asian","Gloucestershire","73"
"Asian","Isles of Scilly","!"
"Asian","North Somerset","77"
"Asian","Plymouth","79"
"Asian","Poole","82"
"Asian","Somerset","80"
"Asian","South Gloucestershire","82"
"Asian","Swindon","60"
"Asian","Torbay","67"
"Asian","Wiltshire","77"
"Black","County Durham","!"
"Black","Darlington","!"
"Black","Gateshead","88"
"Black","Hartlepool","50"
"Black","Middlesbrough","76"
"Black","Newcastle upon Tyne","75"
"Black","North Tyneside","64"
"Black","Northumberland","!"
"Black","Redcar and Cleveland","!"
"Black","South Tyneside","100"
"Black","Stockton-on-Tees","83"
"Black","Sunderland","!"
"Black","Blackburn with Darwen","83"
"Black","Blackpool","!"
"Black","Bolton","64"
"Black","Bury","66"
"Black","Cheshire East","!"
"Black","Cheshire West and Chester","62"
"Black","Cumbria","57"
"Black","Halton","!"
"Black","Knowsley","78"
"Black","Lancashire","79"
"Black","Liverpool","60"
"Black","Manchester","76"
"Black","Oldham","70"
"Black","Rochdale","71"
"Black","Salford","79"
"Black","Sefton","56"
"Black","St. Helens","!"
"Black","Stockport","50"
"Black","Tameside","71"
"Black","Trafford","82"
"Black","Warrington","!"
"Black","Wigan","69"
"Black","Wirral","100"
"Black","Barnsley","!"
"Black","Bradford","80"
"Black","Calderdale","63"
"Black","Doncaster","83"
"Black","East Riding of Yorkshire","!"
"Black","Kingston upon Hull, City of","61"
"Black","Kirklees","72"
"Black","Leeds","64"
"Black","North East Lincolnshire","!"
"Black","North Lincolnshire","64"
"Black","North Yorkshire","64"
"Black","Rotherham","83"
"Black","Sheffield","75"
"Black","Wakefield","74"
"Black","York","!"
"Black","Derby","77"
"Black","Derbyshire","71"
"Black","Leicester","80"
"Black","Leicestershire","75"
"Black","Lincolnshire","79"
"Black","Northamptonshire","78"
"Black","Nottingham","76"
"Black","Nottinghamshire","68"
"Black","Rutland","!"
"Black","Birmingham","68"
"Black","Coventry","74"
"Black","Dudley","75"
"Black","Herefordshire, County of","!"
"Black","Sandwell","71"
"Black","Shropshire","57"
"Black","Solihull","79"
"Black","Staffordshire","65"
"Black","Stoke-on-Trent","68"
"Black","Telford and Wrekin","69"
"Black","Walsall","76"
"Black","Warwickshire","70"
"Black","Wolverhampton","80"
"Black","Worcestershire","63"
"Black","Bedford","73"
"Black","Cambridgeshire","56"
"Black","Central Bedfordshire","80"
"Black","Essex","82"
"Black","Hertfordshire","79"
"Black","Luton","74"
"Black","Norfolk","80"
"Black","Peterborough","64"
"Black","Southend-on-Sea","81"
"Black","Suffolk","83"
"Black","Thurrock","83"
"Black","Camden","68"
"Black","City of London","!"
"Black","Hackney","82"
"Black","Hammersmith and Fulham","78"
"Black","Haringey","79"
"Black","Islington","80"
"Black","Kensington and Chelsea","83"
"Black","Lambeth","80"
"Black","Lewisham","75"
"Black","Newham","83"
"Black","Southwark","80"
"Black","Tower Hamlets","75"
"Black","Wandsworth","74"
"Black","Westminster","78"
"Black","Barking and Dagenham","85"
"Black","Barnet","65"
"Black","Bexley","87"
"Black","Brent","71"
"Black","Bromley","83"
"Black","Croydon","76"
"Black","Ealing","69"
"Black","Enfield","75"
"Black","Greenwich","87"
"Black","Harrow","64"
"Black","Havering","85"
"Black","Hillingdon","76"
"Black","Hounslow","78"
"Black","Kingston upon Thames","58"
"Black","Merton","72"
"Black","Redbridge","73"
"Black","Richmond upon Thames","62"
"Black","Sutton","83"
"Black","Waltham Forest","81"
"Black","Bracknell Forest","84"
"Black","Brighton and Hove","63"
"Black","Buckinghamshire","65"
"Black","East Sussex","72"
"Black","Hampshire","84"
"Black","Isle of Wight","!"
"Black","Kent","87"
"Black","Medway","92"
"Black","Milton Keynes","79"
"Black","Oxfordshire","58"
"Black","Portsmouth","66"
"Black","Reading","74"
"Black","Slough","78"
"Black","Southampton","92"
"Black","Surrey","73"
"Black","West Berkshire","63"
"Black","West Sussex","61"
"Black","Windsor and Maidenhead","80"
"Black","Wokingham","80"
"Black","Bath and North East Somerset","50"
"Black","Bournemouth","!"
"Black","Bristol, City of","64"
"Black","Cornwall","100"
"Black","Devon","50"
"Black","Dorset","!"
"Black","Gloucestershire","67"
"Black","Isles of Scilly","!"
"Black","North Somerset","57"
"Black","Plymouth","73"
"Black","Poole","!"
"Black","Somerset","75"
"Black","South Gloucestershire","69"
"Black","Swindon","67"
"Black","Torbay","!"
"Black","Wiltshire","63"
