"Title","Writing attainment for children aged 10 to 11 by ethnicity and gender"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2017-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","14/12/2017"

"gender","Ethnicity","Expected standard","Higher standard","Progress score"
"Boys","All","70","13","-0.8"
"Boys","Asian","75","14","0.4"
"Boys","Bangladeshi","76","14","1.0"
"Boys","Indian","82","20","0.6"
"Boys","Pakistani","69","9","0.1"
"Boys","Asian other","77","18","0.6"
"Boys","Black","71","12","0.2"
"Boys","Black African","73","14","0.6"
"Boys","Black Caribbean","64","8","-1.0"
"Boys","Black other","69","10","-0.1"
"Boys","Chinese","80","27","1.2"
"Boys","Mixed","72","14","-0.6"
"Boys","Mixed White/Asian","77","19","-0.2"
"Boys","Mixed White/Black African","71","13","-0.6"
"Boys","Mixed White/Black Caribbean","65","9","-1.5"
"Boys","Mixed other","74","15","-0.2"
"Boys","White","70","13","-1.1"
"Boys","White British","70","13","-1.2"
"Boys","White Irish","74","18","-0.7"
"Boys","White Irish Traveller","27","!","-2.5"
"Boys","White Gypsy/Roma","24","1","-1.7"
"Boys","White other","65","12","0.9"
"Boys","Other","67","12","0.7"
"Girls","All","82","23","0.8"
"Girls","Asian","85","24","1.7"
"Girls","Bangladeshi","86","26","2.3"
"Girls","Indian","89","32","1.8"
"Girls","Pakistani","81","17","1.4"
"Girls","Asian other","85","28","1.7"
"Girls","Black","83","21","1.5"
"Girls","Black African","84","22","1.7"
"Girls","Black Caribbean","80","16","0.7"
"Girls","Black other","81","21","1.6"
"Girls","Chinese","90","40","2.6"
"Girls","Mixed","84","25","1.1"
"Girls","Mixed White/Asian","87","31","1.3"
"Girls","Mixed White/Black African","83","23","1.2"
"Girls","Mixed White/Black Caribbean","81","18","0.6"
"Girls","Mixed other","85","26","1.5"
"Girls","White","82","22","0.6"
"Girls","White British","83","23","0.5"
"Girls","White Irish","85","29","1.2"
"Girls","White Irish Traveller","45","!","0.9"
"Girls","White Gypsy/Roma","38","2","0.7"
"Girls","White other","76","20","2.4"
"Girls","Other","78","19","2.2"
