"Title","Writing attainment for children aged 7 to 11 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","01/09/2016 (provisional)"

"","All","Asian","Black","Chinese","Mixed","White"
"East Sussex","74","73","72","65","81","73"
"Hampshire","80","87","84","81","81","80"
"Isle of Wight","74","56","!","!","71","74"
"Kent","80","89","87","93","85","79"
"Medway","74","87","92","!","76","72"
"Milton Keynes","76","87","79","82","78","74"
"Oxfordshire","69","62","58","85","70","69"
"Portsmouth","73","86","66","!","75","73"
"Reading","77","82","74","!","73","76"
"Slough","79","85","78","!","82","72"
"Southampton","77","83","92","75","78","75"
"Surrey","76","77","73","88","79","76"
"West Berkshire","70","82","63","!","73","70"
"West Sussex","61","72","61","58","70","60"
"Windsor and Maidenhead","75","77","80","!","78","74"
"Wokingham","75","85","80","!","68","74"
"Bath and North East Somerset","71","85","50","!","71","71"
"Bournemouth","75","73","!","!","77","75"
"Bristol, City of","74","77","64","75","71","76"
"Cornwall","73","71","100","!","70","73"
"Devon","70","80","50","56","78","70"
"Dorset","60","73","!","100","66","60"
"Gloucestershire","70","73","67","71","77","69"
"Isles of Scilly","60","!","!","!","!","60"
"North Somerset","76","77","57","!","81","76"
"Plymouth","73","79","73","100","82","73"
"Poole","75","82","!","!","76","75"
"Somerset","74","80","75","!","84","74"
"South Gloucestershire","70","82","69","!","70","70"
"Swindon","60","60","67","!","63","59"
"Torbay","68","67","!","!","74","67"
"Wiltshire","74","77","63","!","79","74"
