"Title","Reading attainments for children aged 7 to 11 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Year","Year_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Value_type","Denominator"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","County Durham","E06000047","All","DFE","All","All/Boys/Girls","70","%","5,370"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","Darlington","E06000005","All","DFE","All","All/Boys/Girls","69","%","1,229"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","Gateshead","E08000037","All","DFE","All","All/Boys/Girls","72","%","1,976"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","Hartlepool","E06000001","All","DFE","All","All/Boys/Girls","66","%","1,094"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","Middlesbrough","E06000002","All","DFE","All","All/Boys/Girls","62","%","1,741"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","Newcastle upon Tyne","E08000021","All","DFE","All","All/Boys/Girls","68","%","2,589"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","North Tyneside","E08000022","All","DFE","All","All/Boys/Girls","70","%","2,241"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","Northumberland","E06000057","All","DFE","All","All/Boys/Girls","67","%","3,323"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","Redcar and Cleveland","E06000003","All","DFE","All","All/Boys/Girls","72","%","1,542"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","South Tyneside","E08000023","All","DFE","All","All/Boys/Girls","68","%","1,534"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","Stockton-on-Tees","E06000004","All","DFE","All","All/Boys/Girls","66","%","2,253"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","Sunderland","E08000024","All","DFE","All","All/Boys/Girls","71","%","2,977"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Blackburn with Darwen","E06000008","All","DFE","All","All/Boys/Girls","62","%","2,104"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Blackpool","E06000009","All","DFE","All","All/Boys/Girls","61","%","1,669"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Bolton","E08000001","All","DFE","All","All/Boys/Girls","65","%","3,540"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Bury","E08000002","All","DFE","All","All/Boys/Girls","66","%","2,240"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Cheshire East","E06000049","All","DFE","All","All/Boys/Girls","71","%","3,860"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Cheshire West and Chester","E06000050","All","DFE","All","All/Boys/Girls","69","%","3,633"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Cumbria","E10000006","All","DFE","All","All/Boys/Girls","68","%","4,959"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Halton","E06000006","All","DFE","All","All/Boys/Girls","63","%","1,477"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Knowsley","E08000011","All","DFE","All","All/Boys/Girls","62","%","1,781"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Lancashire","E10000017","All","DFE","All","All/Boys/Girls","65","%","13,232"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Liverpool","E08000012","All","DFE","All","All/Boys/Girls","61","%","4,664"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Manchester","E08000003","All","DFE","All","All/Boys/Girls","63","%","5,835"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Oldham","E08000004","All","DFE","All","All/Boys/Girls","59","%","3,252"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Rochdale","E08000005","All","DFE","All","All/Boys/Girls","62","%","2,680"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Salford","E08000006","All","DFE","All","All/Boys/Girls","66","%","2,638"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Sefton","E08000014","All","DFE","All","All/Boys/Girls","70","%","2,769"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","St. Helens","E08000013","All","DFE","All","All/Boys/Girls","65","%","1,960"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Stockport","E08000007","All","DFE","All","All/Boys/Girls","69","%","3,165"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Tameside","E08000008","All","DFE","All","All/Boys/Girls","68","%","2,602"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Trafford","E08000009","All","DFE","All","All/Boys/Girls","77","%","2,701"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Warrington","E06000007","All","DFE","All","All/Boys/Girls","71","%","2,384"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Wigan","E08000010","All","DFE","All","All/Boys/Girls","69","%","3,575"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Wirral","E08000015","All","DFE","All","All/Boys/Girls","64","%","3,599"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Barnsley","E08000016","All","DFE","All","All/Boys/Girls","62","%","2,581"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Bradford","E08000032","All","DFE","All","All/Boys/Girls","57","%","7,280"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Calderdale","E08000033","All","DFE","All","All/Boys/Girls","65","%","2,642"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Doncaster","E08000017","All","DFE","All","All/Boys/Girls","56","%","3,409"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","East Riding of Yorkshire","E06000011","All","DFE","All","All/Boys/Girls","66","%","3,473"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Kingston upon Hull, City of","E06000010","All","DFE","All","All/Boys/Girls","64","%","2,834"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Kirklees","E08000034","All","DFE","All","All/Boys/Girls","62","%","5,101"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Leeds","E08000035","All","DFE","All","All/Boys/Girls","61","%","8,305"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","North East Lincolnshire","E06000012","All","DFE","All","All/Boys/Girls","59","%","1,870"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","North Lincolnshire","E06000013","All","DFE","All","All/Boys/Girls","57","%","1,895"
