"Standard Ethnicity","Grade","£"
"All Groups","All Grades","25,400"
"All Groups","Administrative officers and assistants","19,500"
"All Groups","Executive officer","25,200"
"All Groups","Senior and higher executive officer","33,800"
"All Groups","Grades 6 & 7","54,500"
"All Groups","Senior Civil Service","80,600"
"Asian","All Grades","25,000"
"Asian","Administrative officers and assistants","20,100"
"Asian","Executive officer","26,400"
"Asian","Senior and higher executive officer","33,900"
"Asian","Grades 6 & 7","54,500"
"Asian","Senior Civil Service","88,500"
"Black","All Grades","26,500"
"Black","Administrative officers and assistants","22,200"
"Black","Executive officer","26,800"
"Black","Senior and higher executive officer","34,400"
"Black","Grades 6 & 7","55,300"
"Black","Senior Civil Service","88,700"
"Chinese","All Grades","27,200"
"Chinese","Administrative officers and assistants","19,600"
"Chinese","Executive officer","26,100"
"Chinese","Senior and higher executive officer","35,300"
"Chinese","Grades 6 & 7","53,700"
"Chinese","Senior Civil Service","90,600"
"Mixed","All Grades","27,000"
"Mixed","Administrative officers and assistants","19,900"
"Mixed","Executive officer","25,500"
"Mixed","Senior and higher executive officer","34,300"
"Mixed","Grades 6 & 7","55,000"
"Mixed","Senior Civil Service","76,600"
"White","All Grades","25,600"
"White","Administrative officers and assistants","19,500"
"White","Executive officer","25,200"
"White","Senior and higher executive officer","33,700"
"White","Grades 6 & 7","54,500"
"White","Senior Civil Service","80,600"
"Other","All Grades","28,000"
"Other","Administrative officers and assistants","20,600"
"Other","Executive officer","26,000"
"Other","Senior and higher executive officer","35,100"
"Other","Grades 6 & 7","55,400"
"Other","Senior Civil Service","89,100"
