"","All","Male","Female"
"Ethnicity","","",""
"Asian","5.8","5.3","6.3"
"Black","3.1","2.4","3.7"
"Chinese","0.3","0.3","0.3"
"Mixed","1.4","1.3","1.5"
"White","88.8","90.1","87.8"
"Other","0.5","0.6","0.5"
