"","Asian","Black","Chinese","Mixed","White","Other"
"","","","","","",""
"All Ages","5.8","3.1","0.3","1.4","88.8","0.5"
"Aged 16-19","7.2","0.0","0.0","2.9","89.9","!"
"Aged 20-29","9.5","2.7","0.4","2.6","84.2","0.5"
"Aged 30-39","8.5","2.7","0.4","1.9","85.9","0.6"
"Aged 40-49","5.9","3.7","0.3","1.3","88.4","0.5"
"Aged 50-59","3.6","3.3","0.2","1.0","91.4","0.5"
"Aged 60-64","4.0","1.9","0.2","0.7","92.5","0.6"
"Aged 65 & Over","6.7","2.1","0.2","0.7","89.7","0.7"
