"Title","Jobseeker’s Allowance claimants sanctioned, by ethnicity"
"Location","England, Wales and Scotland"
"Time period","December 2016"
"Data source","Benefit sanctions statistics"
"Data source link","https://www.gov.uk/government/collections/jobseekers-allowance-sanctions"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","16 August 2017"

"Ethnicity","%","Number of sanctions"
"All","1.6","7,420"
"Asian","1.6","489"
"Black","1.8","744"
"Mixed","2.0","206"
"White British","1.5","5,064"
"White Other","1.3","261"
"Other","1.7","226"
