"Ethnicity","%","Number of sanctions"
"All","1.6","7,420"
"Asian","1.6","489"
"Black","1.8","744"
"Mixed","2.0","206"
"White British","1.5","5,064"
"White Other","1.3","261"
"Other","1.7","226"
