"","Aged 18-24","","Aged 25-49","","Aged 50+",""
"Ethnic group","%","Number of sanctions","%","Number of sanctions","%","Number of sanctions"
"All","3.9","2,057","1.5","4,119","0.8","1,224"
"Asian","3.6","105","1.5","291","1.1","97"
"Black","4.7","181","1.8","453","0.9","111"
"Mixed","4.6","78","1.5","104","0.9","16"
"White British","3.9","1,495","1.5","2,707","0.8","856"
"White Other","3.4","56","1.4","169","0.6","32"
"Other","2.9","49","1.8","165","0.6","16"
