"Title","Jobseeker’s Allowance claimants sanctioned, by ethnicity and area"
"Location","England, Wales and Scotland"
"Time period","December 2016"
"Data source","Benefit sanctions statistics"
"Data source link","https://www.gov.uk/government/collections/jobseekers-allowance-sanctions"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","16 August 2017"

"Ethnicity","Area","%"
"All","East Midlands","1.3"
"All","East of England","1.8"
"All","London","1.8"
"All","North East","1.5"
"All","North West","1.5"
"All","Scotland","1.4"
"All","South East","1.7"
"All","South West","1.4"
"All","Wales","1.4"
"All","West Midlands","1.2"
"All","Yorkshire and The Humber","2.2"
"Asian","East Midlands","1.2"
"Asian","East of England","1.5"
"Asian","London","1.8"
"Asian","North East","1.4"
"Asian","North West","1.4"
"Asian","Scotland","1.1"
"Asian","South East","1.6"
"Asian","South West","!"
"Asian","Wales","2.8"
"Asian","West Midlands","0.8"
"Asian","Yorkshire and The Humber","2.7"
"Black","East Midlands","1.8"
"Black","East of England","1.7"
"Black","London","1.9"
"Black","North East","2.0"
"Black","North West","1.7"
"Black","Scotland","1.7"
"Black","South East","2.1"
"Black","South West","1.8"
"Black","Wales","1.3"
"Black","West Midlands","1.3"
"Black","Yorkshire and The Humber","2.2"
"Mixed","East Midlands","1.6"
"Mixed","East of England","2.8"
"Mixed","London","2.2"
"Mixed","North East","3.2"
"Mixed","North West","2.3"
"Mixed","Scotland","!"
"Mixed","South East","1.4"
"Mixed","South West","2.1"
"Mixed","Wales","2.2"
"Mixed","West Midlands","1.4"
"Mixed","Yorkshire and The Humber","2.4"
"White British","East Midlands","1.3"
"White British","East of England","1.8"
"White British","London","1.9"
"White British","North East","1.5"
"White British","North West","1.5"
"White British","Scotland","1.4"
"White British","South East","1.6"
"White British","South West","1.3"
"White British","Wales","1.3"
"White British","West Midlands","1.1"
"White British","Yorkshire and The Humber","2.1"
"White Other","East Midlands","1.1"
"White Other","East of England","0.9"
"White Other","London","1.0"
"White Other","North East","1.0"
"White Other","North West","1.4"
"White Other","Scotland","1.6"
"White Other","South East","1.7"
"White Other","South West","1.4"
"White Other","Wales","1.9"
"White Other","West Midlands","0.8"
"White Other","Yorkshire and The Humber","2.0"
"Other","East Midlands","1.6"
"Other","East of England","2.1"
"Other","London","1.8"
"Other","North East","2.4"
"Other","North West","2.2"
"Other","Scotland","1.3"
"Other","South East","1.2"
"Other","South West","1.7"
"Other","Wales","!"
"Other","West Midlands","1.3"
"Other","Yorkshire and The Humber","1.5"
