"Ethnicity","Local authority","%"
"All","Barking and Dagenham","77"
"All","Barnet","77"
"All","Barnsley","74"
"All","Bath and North East Somerset","75"
"All","Bedford","71"
"All","Bexley","82"
"All","Birmingham","71"
"All","Blackburn with Darwen","74"
"All","Blackpool","75"
"All","Bolton","73"
"All","Bournemouth","77"
"All","Bracknell Forest","76"
"All","Bradford","72"
"All","Brent","75"
"All","Brighton and Hove","75"
"All","Bristol, City of","73"
"All","Bromley","80"
"All","Buckinghamshire","76"
"All","Bury","72"
"All","Calderdale","70"
"All","Cambridgeshire","73"
"All","Camden","75"
"All","Central Bedfordshire","77"
"All","Cheshire East","75"
"All","Cheshire West and Chester","73"
"All","City of London","!"
"All","Cornwall","72"
"All","County Durham","78"
"All","Coventry","72"
"All","Croydon","76"
"All","Cumbria","73"
"All","Darlington","76"
"All","Derby","72"
"All","Derbyshire","75"
"All","Devon","75"
"All","Doncaster","74"
"All","Dorset","74"
"All","Dudley","72"
"All","Ealing","75"
"All","East Riding of Yorkshire","76"
"All","East Sussex","76"
"All","Enfield","74"
"All","Essex","76"
"All","Gateshead","76"
"All","Gloucestershire","74"
"All","Greenwich","81"
"All","Hackney","81"
"All","Halton","65"
"All","Hammersmith and Fulham","79"
"All","Hampshire","79"
"All","Haringey","79"
"All","Harrow","78"
"All","Hartlepool","75"
"All","Havering","77"
"All","Herefordshire, County of","77"
"All","Hertfordshire","77"
"All","Hillingdon","78"
"All","Hounslow","81"
"All","Isle of Wight","68"
"All","Isles of Scilly","!"
"All","Islington","77"
"All","Kensington and Chelsea","82"
"All","Kent","78"
"All","Kingston upon Hull, City of","72"
"All","Kingston upon Thames","80"
"All","Kirklees","71"
"All","Knowsley","71"
"All","Lambeth","79"
"All","Lancashire","75"
"All","Leeds","68"
"All","Leicester","72"
"All","Leicestershire","75"
"All","Lewisham","78"
"All","Lincolnshire","73"
"All","Liverpool","66"
"All","Luton","71"
"All","Manchester","72"
"All","Medway","79"
"All","Merton","78"
"All","Middlesbrough","70"
"All","Milton Keynes","76"
"All","Newcastle upon Tyne","75"
"All","Newham","80"
"All","Norfolk","73"
"All","North East Lincolnshire","74"
"All","North Lincolnshire","78"
"All","North Somerset","78"
"All","North Tyneside","79"
"All","North Yorkshire","74"
"All","Northamptonshire","75"
"All","Northumberland","79"
"All","Nottingham","71"
"All","Nottinghamshire","74"
"All","Oldham","69"
"All","Oxfordshire","75"
"All","Peterborough","70"
"All","Plymouth","72"
"All","Poole","80"
"All","Portsmouth","73"
"All","Reading","75"
"All","Redbridge","79"
"All","Redcar and Cleveland","78"
"All","Richmond upon Thames","82"
"All","Rochdale","72"
"All","Rotherham","75"
"All","Rutland","78"
"All","Salford","75"
"All","Sandwell","71"
"All","Sefton","74"
"All","Sheffield","76"
"All","Shropshire","72"
"All","Slough","78"
"All","Solihull","77"
"All","Somerset","77"
"All","South Gloucestershire","80"
"All","South Tyneside","78"
"All","Southampton","75"
"All","Southend-on-Sea","77"
"All","Southwark","78"
"All","St. Helens","71"
"All","Staffordshire","78"
"All","Stockport","76"
"All","Stockton-on-Tees","77"
"All","Stoke-on-Trent","71"
"All","Suffolk","74"
"All","Sunderland","78"
"All","Surrey","78"
"All","Sutton","79"
"All","Swindon","77"
"All","Tameside","72"
"All","Telford and Wrekin","77"
"All","Thurrock","77"
"All","Torbay","75"
"All","Tower Hamlets","77"
"All","Trafford","79"
"All","Wakefield","73"
"All","Walsall","73"
"All","Waltham Forest","81"
"All","Wandsworth","81"
"All","Warrington","78"
"All","Warwickshire","76"
"All","West Berkshire","75"
"All","West Sussex","70"
"All","Westminster","78"
"All","Wigan","75"
"All","Wiltshire","72"
"All","Windsor and Maidenhead","79"
"All","Wirral","72"
"All","Wokingham","81"
"All","Wolverhampton","74"
"All","Worcestershire","76"
"All","York","77"
"Asian","Barking and Dagenham","84"
"Asian","Barnet","81"
"Asian","Barnsley","!"
"Asian","Bath and North East Somerset","68"
"Asian","Bedford","69"
"Asian","Bexley","88"
"Asian","Birmingham","74"
"Asian","Blackburn with Darwen","77"
"Asian","Blackpool","79"
"Asian","Bolton","77"
"Asian","Bournemouth","79"
"Asian","Bracknell Forest","84"
"Asian","Bradford","74"
"Asian","Brent","76"
"Asian","Brighton and Hove","66"
"Asian","Bristol, City of","70"
"Asian","Bromley","83"
"Asian","Buckinghamshire","72"
"Asian","Bury","65"
"Asian","Calderdale","61"
"Asian","Cambridgeshire","74"
"Asian","Camden","71"
"Asian","Central Bedfordshire","86"
"Asian","Cheshire East","88"
"Asian","Cheshire West and Chester","75"
"Asian","City of London","!"
"Asian","Cornwall","75"
"Asian","County Durham","73"
"Asian","Coventry","79"
"Asian","Croydon","81"
"Asian","Cumbria","69"
"Asian","Darlington","67"
"Asian","Derby","72"
"Asian","Derbyshire","79"
"Asian","Devon","85"
"Asian","Doncaster","73"
"Asian","Dorset","79"
"Asian","Dudley","70"
"Asian","Ealing","77"
