"Title","Mathematics attainment for children aged 5 to 7 by ethnicity, area and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","4/1/18"

"Ethnicity","Local authority","Boys","Girls"
"White","Newham","74","74"
"White","Norfolk","73","75"
"White","North East Lincolnshire","70","74"
"White","North Lincolnshire","76","79"
"White","North Somerset","76","77"
"White","North Tyneside","75","75"
"White","North Yorkshire","71","70"
"White","Northamptonshire","69","71"
"White","Northumberland","75","78"
"White","Nottingham","66","68"
"White","Nottinghamshire","71","72"
"White","Oldham","67","70"
"White","Oxfordshire","71","72"
"White","Peterborough","69","72"
"White","Plymouth","70","68"
"White","Poole","76","76"
"White","Portsmouth","69","73"
"White","Reading","73","77"
"White","Redbridge","71","73"
"White","Redcar and Cleveland","74","78"
"White","Richmond upon Thames","79","79"
"White","Rochdale","68","75"
"White","Rotherham","70","73"
"White","Rutland","79","80"
"White","Salford","74","75"
"White","Sandwell","65","68"
"White","Sefton","72","75"
"White","Sheffield","71","74"
"White","Shropshire","70","68"
"White","Slough","73","70"
"White","Solihull","75","76"
"White","Somerset","73","74"
"White","South Gloucestershire","74","75"
"White","South Tyneside","76","80"
"White","Southampton","73","76"
"White","Southend-on-Sea","72","76"
"White","Southwark","80","77"
"White","St. Helens","66","69"
"White","Staffordshire","74","77"
"White","Stockport","73","73"
"White","Stockton-on-Tees","74","78"
"White","Stoke-on-Trent","68","72"
"White","Suffolk","71","72"
"White","Sunderland","74","78"
"White","Surrey","75","77"
"White","Sutton","71","76"
"White","Swindon","68","70"
"White","Tameside","68","73"
"White","Telford and Wrekin","74","79"
"White","Thurrock","75","72"
"White","Torbay","66","72"
"White","Tower Hamlets","71","78"
"White","Trafford","78","77"
"White","Wakefield","69","74"
"White","Walsall","69","73"
"White","Waltham Forest","78","81"
"White","Wandsworth","86","85"
"White","Warrington","75","77"
"White","Warwickshire","73","75"
"White","West Berkshire","73","70"
"White","West Sussex","63","65"
"White","Westminster","78","78"
"White","Wigan","72","75"
"White","Wiltshire","71","71"
"White","Windsor and Maidenhead","80","77"
"White","Wirral","67","72"
"White","Wokingham","77","80"
"White","Wolverhampton","67","70"
"White","Worcestershire","70","72"
"White","York","72","71"
