"Title","Mathematics attainments for children aged 5 to 7 by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19/12/16"

"Gender","Ethnicity","Expected standard","Higher standard"
"Boys","All","72","19"
"Boys","Asian","73","21"
"Boys","Bangladeshi","72","20"
"Boys","Indian","81","30"
"Boys","Pakistani","68","15"
"Boys","Asian other","76","26"
"Boys","Black","69","18"
"Boys","Black African","71","19"
"Boys","Black Caribbean","64","12"
"Boys","Black other","67","15"
"Boys","Chinese","88","43"
"Boys","Mixed","72","21"
"Boys","Mixed White/Asian","78","27"
"Boys","Mixed White/Black African","73","20"
"Boys","Mixed White/Black Caribbean","66","14"
"Boys","Mixed other","73","23"
"Boys","White","72","19"
"Boys","White British","72","19"
"Boys","White Irish","75","22"
"Boys","White Irish Traveller","32","2"
"Boys","White Gypsy/Roma","28","3"
"Boys","White other","71","19"
"Boys","Any other","70","18"
"Girls","All","74","16"
"Girls","Asian","76","19"
"Girls","Bangladeshi","75","17"
"Girls","Indian","84","27"
"Girls","Pakistani","69","12"
"Girls","Asian other","80","23"
"Girls","Black","74","15"
"Girls","Black African","76","17"
"Girls","Black Caribbean","68","11"
"Girls","Black other","70","14"
"Girls","Chinese","89","36"
"Girls","Mixed","75","17"
"Girls","Mixed White/Asian","80","22"
"Girls","Mixed White/Black African","75","15"
"Girls","Mixed White/Black Caribbean","68","12"
"Girls","Mixed other","76","19"
"Girls","White","73","16"
"Girls","White British","74","16"
"Girls","White Irish","76","18"
"Girls","White Irish Traveller","35","2"
"Girls","White Gypsy/Roma","30","1"
"Girls","White other","72","15"
"Girls","Any other","70","15"
