"Title","Mathematics attainments for children aged 6 to 7 (key stage 1)"
"Location","England"
"Time period","2016/17"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-05-04"
"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Region","Local_Authority","Local_Authority_Code","Gender","Value","Value_Type","Denominator"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East","Southend-on-Sea","E06000033","All","74","%","2195"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Derby","E06000015","All","72","%","3401"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Northamptonshire","E10000021","All","70","%","9418"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Nottingham","E06000018","All","68","%","3800"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Northamptonshire","E10000021","All","75","%","9557"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Derbyshire","E10000007","All","75","%","8606"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Lincolnshire","E10000019","All","71","%","7964"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Leicestershire","E10000018","All","72","%","7568"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Leicestershire","E10000018","All","75","%","7806"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Nottingham","E06000018","All","71","%","3815"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Leicester","E06000016","All","66","%","4606"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Rutland","E06000017","All","78","%","424"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Nottinghamshire","E10000024","All","74","%","9558"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Derbyshire","E10000007","All","73","%","8401"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Nottinghamshire","E10000024","All","71","%","9264"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Lincolnshire","E10000019","All","73","%","8166"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Leicester","E06000016","All","72","%","4758"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Rutland","E06000017","All","78","%","407"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Derby","E06000015","All","64","%","3389"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Hackney","E09000012","All","81","%","2763"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Barking and Dagenham","E09000002","All","75","%","3643"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Greenwich","E09000011","All","82","%","3459"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Lewisham","E09000023","All","78","%","3747"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Camden","E09000007","All","74","%","1633"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Wandsworth","E09000032","All","80","%","2772"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Redbridge","E09000026","All","76","%","4057"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Southwark","E09000028","All","76","%","3391"
