"Title","Mathematics attainment for children aged 6 to 7 by ethnicity, area and gender"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","28/09/17"

"Ethnicity","Local authority","Boys","Girls"
"All","Barking and Dagenham","76","78"
"All","Barnet","76","78"
"All","Barnsley","72","76"
"All","Bath and North East Somerset","75","76"
"All","Bedford","70","72"
"All","Bexley","80","84"
"All","Birmingham","70","73"
"All","Blackburn with Darwen","73","76"
"All","Blackpool","72","77"
"All","Bolton","72","74"
"All","Bournemouth","76","77"
"All","Bracknell Forest","75","77"
"All","Bradford","70","75"
"All","Brent","73","77"
"All","Brighton and Hove","75","75"
"All","Bristol, City of","74","73"
"All","Bromley","79","80"
"All","Buckinghamshire","77","76"
"All","Bury","73","71"
"All","Calderdale","71","70"
"All","Cambridgeshire","73","74"
"All","Camden","74","75"
"All","Central Bedfordshire","75","79"
"All","Cheshire East","74","76"
"All","Cheshire West and Chester","71","75"
"All","City of London","!","!"
"All","Cornwall","71","73"
"All","County Durham","76","79"
"All","Coventry","70","74"
"All","Croydon","74","78"
"All","Cumbria","72","74"
"All","Darlington","73","80"
"All","Derby","71","72"
"All","Derbyshire","73","78"
"All","Devon","74","76"
"All","Doncaster","72","77"
"All","Dorset","73","76"
"All","Dudley","70","74"
"All","Ealing","74","76"
"All","East Riding of Yorkshire","74","78"
"All","East Sussex","75","78"
"All","Enfield","73","74"
"All","Essex","75","77"
"All","Gateshead","75","77"
"All","Gloucestershire","73","75"
"All","Greenwich","79","84"
"All","Hackney","80","83"
"All","Halton","64","66"
"All","Hammersmith and Fulham","76","83"
"All","Hampshire","78","80"
"All","Haringey","77","81"
"All","Harrow","77","80"
"All","Hartlepool","72","77"
"All","Havering","77","77"
"All","Herefordshire, County of","75","79"
"All","Hertfordshire","76","79"
"All","Hillingdon","77","79"
"All","Hounslow","79","84"
"All","Isle of Wight","66","71"
"All","Isles of Scilly","!","!"
"All","Islington","76","78"
"All","Kensington and Chelsea","84","80"
"All","Kent","77","80"
"All","Kingston upon Hull, City of","70","74"
"All","Kingston upon Thames","80","80"
"All","Kirklees","70","72"
"All","Knowsley","69","72"
"All","Lambeth","77","81"
"All","Lancashire","74","77"
"All","Leeds","67","69"
"All","Leicester","71","73"
"All","Leicestershire","74","75"
"All","Lewisham","77","78"
"All","Lincolnshire","72","74"
"All","Liverpool","65","68"
"All","Luton","70","73"
"All","Manchester","69","74"
"All","Medway","76","81"
"All","Merton","78","79"
"All","Middlesbrough","69","70"
"All","Milton Keynes","75","78"
"All","Newcastle upon Tyne","74","76"
"All","Newham","78","81"
"All","Norfolk","73","73"
"All","North East Lincolnshire","74","73"
"All","North Lincolnshire","76","79"
"All","North Somerset","76","79"
"All","North Tyneside","76","81"
"All","North Yorkshire","74","75"
"All","Northamptonshire","74","76"
"All","Northumberland","78","79"
"All","Nottingham","69","72"
"All","Nottinghamshire","72","75"
"All","Oldham","68","71"
"All","Oxfordshire","74","75"
"All","Peterborough","68","72"
"All","Plymouth","70","74"
"All","Poole","80","81"
"All","Portsmouth","71","76"
"All","Reading","75","76"
"All","Redbridge","76","81"
"All","Redcar and Cleveland","76","81"
"All","Richmond upon Thames","83","80"
"All","Rochdale","70","74"
"All","Rotherham","73","76"
"All","Rutland","82","75"
