"Title","Mathematics attainment for children aged 5 to 7 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Ethnicity","Local authority",""
"Asian","Essex","82"
"Asian","Hertfordshire","79"
"Asian","Luton","70"
"Asian","Norfolk","83"
"Asian","Peterborough","67"
"Asian","Southend-on-Sea","78"
"Asian","Suffolk","72"
"Asian","Thurrock","79"
"Asian","Camden","72"
"Asian","City of London","!"
"Asian","Hackney","85"
"Asian","Hammersmith and Fulham","79"
"Asian","Haringey","85"
"Asian","Islington","71"
"Asian","Kensington and Chelsea","83"
"Asian","Lambeth","75"
"Asian","Lewisham","81"
"Asian","Newham","83"
"Asian","Southwark","82"
"Asian","Tower Hamlets","75"
"Asian","Wandsworth","82"
"Asian","Westminster","79"
"Asian","Barking and Dagenham","80"
"Asian","Barnet","80"
"Asian","Bexley","89"
"Asian","Brent","78"
"Asian","Bromley","87"
"Asian","Croydon","84"
"Asian","Ealing","74"
"Asian","Enfield","85"
"Asian","Greenwich","89"
"Asian","Harrow","85"
"Asian","Havering","86"
"Asian","Hillingdon","81"
"Asian","Hounslow","86"
"Asian","Kingston upon Thames","77"
"Asian","Merton","79"
"Asian","Redbridge","81"
"Asian","Richmond upon Thames","78"
"Asian","Sutton","87"
"Asian","Waltham Forest","82"
"Asian","Bracknell Forest","87"
"Asian","Brighton and Hove","69"
"Asian","Buckinghamshire","67"
"Asian","East Sussex","84"
"Asian","Hampshire","80"
"Asian","Isle of Wight","!"
"Asian","Kent","83"
"Asian","Medway","82"
"Asian","Milton Keynes","79"
"Asian","Oxfordshire","63"
"Asian","Portsmouth","72"
"Asian","Reading","73"
"Asian","Slough","81"
"Asian","Southampton","76"
"Asian","Surrey","80"
"Asian","West Berkshire","75"
"Asian","West Sussex","74"
"Asian","Windsor and Maidenhead","77"
"Asian","Wokingham","82"
"Asian","Bath and North East Somerset","79"
"Asian","Bournemouth","72"
"Asian","Bristol, City of","64"
"Asian","Cornwall","78"
"Asian","Devon","75"
"Asian","Dorset","63"
"Asian","Gloucestershire","77"
"Asian","Isles of Scilly","!"
"Asian","North Somerset","79"
"Asian","Plymouth","!"
"Asian","Poole","84"
"Asian","Somerset","70"
"Asian","South Gloucestershire","80"
"Asian","Swindon","77"
"Asian","Torbay","76"
"Asian","Wiltshire","84"
"Black","County Durham","67"
"Black","Darlington","57"
"Black","Gateshead","77"
"Black","Hartlepool","56"
"Black","Middlesbrough","78"
"Black","Newcastle upon Tyne","72"
"Black","North Tyneside","83"
"Black","Northumberland","!"
"Black","Redcar and Cleveland","!"
"Black","South Tyneside","75"
"Black","Stockton-on-Tees","69"
"Black","Sunderland","84"
"Black","Blackburn with Darwen","61"
"Black","Blackpool","!"
"Black","Bolton","63"
"Black","Bury","65"
"Black","Cheshire East","64"
"Black","Cheshire West and Chester","46"
"Black","Cumbria","100"
"Black","Halton","!"
"Black","Knowsley","60"
"Black","Lancashire","79"
"Black","Liverpool","61"
"Black","Manchester","70"
"Black","Oldham","52"
"Black","Rochdale","59"
"Black","Salford","69"
"Black","Sefton","63"
"Black","St. Helens","!"
"Black","Stockport","68"
"Black","Tameside","67"
"Black","Trafford","78"
"Black","Warrington","81"
"Black","Wigan","66"
"Black","Wirral","56"
"Black","Barnsley","79"
"Black","Bradford","61"
"Black","Calderdale","50"
"Black","Doncaster","58"
"Black","East Riding of Yorkshire","!"
"Black","Kingston upon Hull, City of","56"
"Black","Kirklees","69"
"Black","Leeds","58"
"Black","North East Lincolnshire","!"
"Black","North Lincolnshire","40"
"Black","North Yorkshire","53"
"Black","Rotherham","60"
"Black","Sheffield","71"
"Black","Wakefield","67"
"Black","York","!"
"Black","Derby","68"
"Black","Derbyshire","67"
"Black","Leicester","67"
"Black","Leicestershire","68"
"Black","Lincolnshire","75"
"Black","Northamptonshire","67"
"Black","Nottingham","70"
"Black","Nottinghamshire","60"
"Black","Rutland","!"
"Black","Birmingham","67"
"Black","Coventry","68"
"Black","Dudley","74"
"Black","Herefordshire, County of","!"
"Black","Sandwell","65"
"Black","Shropshire","!"
"Black","Solihull","74"
"Black","Staffordshire","67"
"Black","Stoke-on-Trent","72"
"Black","Telford and Wrekin","83"
"Black","Walsall","74"
"Black","Warwickshire","70"
"Black","Wolverhampton","77"
"Black","Worcestershire","56"
"Black","Bedford","69"
"Black","Cambridgeshire","61"
"Black","Central Bedfordshire","73"
"Black","Essex","74"
"Black","Hertfordshire","75"
"Black","Luton","67"
"Black","Norfolk","64"
"Black","Peterborough","72"
"Black","Southend-on-Sea","66"
"Black","Suffolk","66"
"Black","Thurrock","80"
"Black","Camden","68"
"Black","City of London","!"
"Black","Hackney","78"
"Black","Hammersmith and Fulham","69"
"Black","Haringey","74"
"Black","Islington","65"
"Black","Kensington and Chelsea","77"
"Black","Lambeth","72"
"Black","Lewisham","73"
"Black","Newham","77"
"Black","Southwark","75"
"Black","Tower Hamlets","77"
"Black","Wandsworth","71"
"Black","Westminster","80"
