"Title","Mathematics attainment for children aged 6 to 7 by ethnicity, area and gender"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","28/09/17"

"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Local authority","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls"
"Barking and Dagenham","76","78","85","83","76","78","100","100","71","78","73","76"
"Barnet","76","78","77","86","64","73","90","!","73","82","80","79"
"Barnsley","72","76","!","!","!","!","!","N/A","66","71","72","76"
"Bath and North East Somerset","75","76","60","77","!","!","100","!","79","83","75","75"
"Bedford","70","72","67","71","!","!","!","!","66","64","72","75"
"Bexley","80","84","90","86","84","90","!","100","76","81","78","82"
"Birmingham","70","73","73","75","69","73","94","91","70","75","69","71"
"Blackburn with Darwen","73","76","77","77","55","!","N/A","!","77","78","71","75"
"Blackpool","72","77","74","!","!","!","!","!","86","77","72","77"
"Bolton","72","74","77","77","59","63","!","!","76","78","72","75"
"Bournemouth","76","77","72","85","!","!","100","100","83","85","75","77"
"Bracknell Forest","75","77","78","89","64","76","N/A","100","83","70","75","76"
"Bradford","70","75","72","77","!","!","!","!","65","74","70","74"
"Brent","73","77","74","79","71","77","!","!","!","!","78","77"
"Brighton and Hove","75","75","57","76","75","74","100","!","70","73","76","75"
"Bristol, City of","74","73","69","71","64","61","!","100","70","74","76","75"
"Bromley","79","80","84","82","75","82","88","88","79","77","80","80"
"Buckinghamshire","77","76","71","73","66","64","100","100","74","76","78","77"
"Bury","73","71","67","62","75","63","100","!","62","69","75","74"
"Calderdale","71","70","65","56","!","!","!","!","66","71","73","73"
"Cambridgeshire","73","74","73","75","58","59","!","!","76","76","73","74"
"Camden","74","75","70","73","70","72","!","100","79","74","78","79"
"Central Bedfordshire","75","79","92","82","71","87","100","100","82","81","75","78"
"Cheshire East","74","76","!","83","!","!","100","100","65","78","74","76"
"Cheshire West and Chester","71","75","64","84","!","!","58","63","73","84","71","75"
"City of London","!","!","!","!","!","!","!","!","!","!","!","!"
"Cornwall","71","73","!","!","N/A","!","!","!","71","77","71","73"
"County Durham","76","79","70","77","!","!","!","!","67","84","76","79"
"Coventry","70","74","78","80","68","73","!","100","68","74","69","73"
"Croydon","74","78","78","84","69","76","!","100","72","78","76","78"
"Cumbria","72","74","70","68","!","!","!","!","71","73","72","74"
"Darlington","73","80","60","76","!","!","!","!","!","!","72","80"
"Derby","71","72","74","70","74","75","!","77","70","67","71","74"
"Derbyshire","73","78","71","86","64","79","!","!","68","82","74","77"
"Devon","74","76","86","85","!","!","!","!","78","79","74","76"
"Doncaster","72","77","63","85","67","75","100","!","67","82","73","76"
"Dorset","73","76","71","86","!","!","!","!","71","78","73","76"
"Dudley","70","74","69","73","65","67","!","!","70","69","71","75"
"Ealing","74","76","78","77","65","69","100","!","78","78","78","81"
"East Riding of Yorkshire","74","78","!","100","!","!","N/A","!","71","86","74","77"
"East Sussex","75","78","77","76","68","!","100","!","77","79","75","78"
