"","White","","Other",""
"Establishment","Number of incidents per 100 young people","Number of incidents","Number of incidents per 100 young people","Number of incidents"
"Cookham Wood YOI","30.5","25.6","58.2","60.2"
"Medway STC","24.5","7.5","31.2","12.2"
"Oakhill STC","38.8","20.9","52.1","20.3"
"Rainsbrook STC","26.8","16.9","30.9","8.2"
"Werrington YOI","18.4","13.2","38.7","26.3"
"Wetherby YOI","20.8","51.5","24.4","20.5"
