"","White British","","","All other ethnic groups","",""
"","%","Under-occupying households","All households","%","Under-occupying households","All households"
"Higher managerial, administrative and professional occupations","49"," 3,724,097 "," 7,583,359 ","28"," 390,377 "," 1,376,604 "
"Intermediate occupations","40"," 1,561,244 "," 3,908,430 ","18"," 133,695 "," 734,328 "
"Routine and manual occupations","29"," 1,832,193 "," 6,274,838 ","14"," 176,488 "," 1,283,093 "
