"Title","Home ownership by ethnicity and age group"
"Location","England"
"Time period","2015/16 and 2016/17 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","12/07/2018"

"Ethnicity","age_group","%","Homeowners ('000s)","All households ('000s)"
"White British"," 16 - 24","11","62","555"
"White British"," 25 - 34","45","1,059","2,359"
"White British"," 35 - 44","61","1,692","2,786"
"White British"," 45 - 54","71","2,655","3,724"
"White British"," 55 - 64","76","2,567","3,380"
"White British"," 65 or over","79","4,721","6,012"
"Other than White British"," 16 - 24","4","8","197"
"Other than White British"," 25 - 34","21","200","976"
"Other than White British"," 35 - 44","39","458","1,174"
"Other than White British"," 45 - 54","47","393","829"
"Other than White British"," 55 - 64","55","243","444"
"Other than White British"," 65 or over","67","316","472"
