"Ethnicity","nssec","%","Homeowners ('000s)","All households ('000s)"
"White British","Higher managerial, administrative and professional occupations","81","6,273","7,758"
"White British","Intermediate occupations","71","2,731","3,850"
"White British","Routine and manual occupations","52","3,188","6,111"
"Other than White British","Higher managerial, administrative and professional occupations","51","788","1,531"
"Other than White British","Intermediate occupations","44","344","775"
"Other than White British","Routine and manual occupations","27","379","1,383"
