"","White British","","","Other than White British","",""
"","%","Homeowners ('000s)","All households ('000s)","%","Homeowners ('000s)","All households ('000s)"
"Higher managerial, administrative and professional occupations","81","6,273","7,758","51","788","1,531"
"Intermediate occupations","71","2,731","3,850","44","344","775"
"Routine and manual occupations","52","3,188","6,111","27","379","1,383"
