"Title","Reading attainment for children aged 5 to 7 by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Region","Local Authority","LA Code","Ethnicity","Gender","Gender_type","Value","Value_girls"
"Yorkshire and The Humber","Bradford","E08000032","Black","Boys","All/Boys/Girls","54","76"
"Yorkshire and The Humber","Bradford","E08000032","Chinese","Boys","All/Boys/Girls","!","!"
"Yorkshire and The Humber","Bradford","E08000032","All","Boys","All/Boys/Girls","65","74"
"London","Brent","E09000005","White","Boys","All/Boys/Girls","72","74"
"London","Brent","E09000005","Mixed","Boys","All/Boys/Girls","78","87"
"London","Brent","E09000005","Asian","Boys","All/Boys/Girls","77","81"
"London","Brent","E09000005","Black","Boys","All/Boys/Girls","72","77"
"London","Brent","E09000005","Chinese","Boys","All/Boys/Girls","!","!"
"London","Brent","E09000005","All","Boys","All/Boys/Girls","72","77"
"South East","Brighton and Hove","E06000043","White","Boys","All/Boys/Girls","72","79"
"South East","Brighton and Hove","E06000043","Mixed","Boys","All/Boys/Girls","76","77"
"South East","Brighton and Hove","E06000043","Asian","Boys","All/Boys/Girls","79","73"
"South East","Brighton and Hove","E06000043","Black","Boys","All/Boys/Girls","60","79"
"South East","Brighton and Hove","E06000043","Chinese","Boys","All/Boys/Girls","!","!"
"South East","Brighton and Hove","E06000043","All","Boys","All/Boys/Girls","71","78"
"South West","Bristol, City of","E06000023","White","Boys","All/Boys/Girls","69","78"
"South West","Bristol, City of","E06000023","Mixed","Boys","All/Boys/Girls","64","72"
"South West","Bristol, City of","E06000023","Asian","Boys","All/Boys/Girls","65","71"
"South West","Bristol, City of","E06000023","Black","Boys","All/Boys/Girls","58","70"
"South West","Bristol, City of","E06000023","Chinese","Boys","All/Boys/Girls","!","100"
"South West","Bristol, City of","E06000023","All","Boys","All/Boys/Girls","67","76"
"London","Bromley","E09000006","White","Boys","All/Boys/Girls","75","82"
"London","Bromley","E09000006","Mixed","Boys","All/Boys/Girls","77","88"
"London","Bromley","E09000006","Asian","Boys","All/Boys/Girls","88","92"
"London","Bromley","E09000006","Black","Boys","All/Boys/Girls","81","91"
"London","Bromley","E09000006","Chinese","Boys","All/Boys/Girls","!","!"
"London","Bromley","E09000006","All","Boys","All/Boys/Girls","76","84"
"South East","Buckinghamshire","E10000002","White","Boys","All/Boys/Girls","74","81"
"South East","Buckinghamshire","E10000002","Mixed","Boys","All/Boys/Girls","76","81"
"South East","Buckinghamshire","E10000002","Asian","Boys","All/Boys/Girls","70","74"
"South East","Buckinghamshire","E10000002","Black","Boys","All/Boys/Girls","76","84"
"South East","Buckinghamshire","E10000002","Chinese","Boys","All/Boys/Girls","!","!"
"South East","Buckinghamshire","E10000002","All","Boys","All/Boys/Girls","73","80"
"North West","Bury","E08000002","White","Boys","All/Boys/Girls","68","78"
"North West","Bury","E08000002","Mixed","Boys","All/Boys/Girls","45","81"
"North West","Bury","E08000002","Asian","Boys","All/Boys/Girls","72","76"
"North West","Bury","E08000002","Black","Boys","All/Boys/Girls","60","67"
"North West","Bury","E08000002","Chinese","Boys","All/Boys/Girls","100","100"
"North West","Bury","E08000002","All","Boys","All/Boys/Girls","68","77"
"Yorkshire and The Humber","Calderdale","E08000033","White","Boys","All/Boys/Girls","63","73"
"Yorkshire and The Humber","Calderdale","E08000033","Mixed","Boys","All/Boys/Girls","61","78"
"Yorkshire and The Humber","Calderdale","E08000033","Asian","Boys","All/Boys/Girls","53","64"
"Yorkshire and The Humber","Calderdale","E08000033","Black","Boys","All/Boys/Girls","!","!"
"Yorkshire and The Humber","Calderdale","E08000033","Chinese","Boys","All/Boys/Girls","!","!"
"Yorkshire and The Humber","Calderdale","E08000033","All","Boys","All/Boys/Girls","62","71"
"East","Cambridgeshire","E10000003","White","Boys","All/Boys/Girls","69","77"
"East","Cambridgeshire","E10000003","Mixed","Boys","All/Boys/Girls","71","85"
"East","Cambridgeshire","E10000003","Asian","Boys","All/Boys/Girls","71","75"
"East","Cambridgeshire","E10000003","Black","Boys","All/Boys/Girls","69","74"
"East","Cambridgeshire","E10000003","Chinese","Boys","All/Boys/Girls","85","80"
"East","Cambridgeshire","E10000003","All","Boys","All/Boys/Girls","69","77"
"London","Camden","E09000007","White","Boys","All/Boys/Girls","75","81"
"London","Camden","E09000007","Mixed","Boys","All/Boys/Girls","75","76"
"London","Camden","E09000007","Asian","Boys","All/Boys/Girls","66","78"
"London","Camden","E09000007","Black","Boys","All/Boys/Girls","69","77"
"London","Camden","E09000007","Chinese","Boys","All/Boys/Girls","!","!"
"London","Camden","E09000007","All","Boys","All/Boys/Girls","71","79"
"East","Central Bedfordshire","E06000056","White","Boys","All/Boys/Girls","73","81"
"East","Central Bedfordshire","E06000056","Mixed","Boys","All/Boys/Girls","68","80"
"East","Central Bedfordshire","E06000056","Asian","Boys","All/Boys/Girls","77","93"
"East","Central Bedfordshire","E06000056","Black","Boys","All/Boys/Girls","82","89"
"East","Central Bedfordshire","E06000056","Chinese","Boys","All/Boys/Girls","!","!"
"East","Central Bedfordshire","E06000056","All","Boys","All/Boys/Girls","73","81"
"North West","Cheshire East","E06000049","White","Boys","All/Boys/Girls","70","80"
"North West","Cheshire East","E06000049","Mixed","Boys","All/Boys/Girls","76","80"
"North West","Cheshire East","E06000049","Asian","Boys","All/Boys/Girls","79","65"
"North West","Cheshire East","E06000049","Black","Boys","All/Boys/Girls","!","!"
"North West","Cheshire East","E06000049","Chinese","Boys","All/Boys/Girls","!","!"
"North West","Cheshire East","E06000049","All","Boys","All/Boys/Girls","70","80"
"North West","Cheshire West and Chester","E06000050","White","Boys","All/Boys/Girls","70","78"
"North West","Cheshire West and Chester","E06000050","Mixed","Boys","All/Boys/Girls","80","91"
"North West","Cheshire West and Chester","E06000050","Asian","Boys","All/Boys/Girls","63","87"
"North West","Cheshire West and Chester","E06000050","Black","Boys","All/Boys/Girls","!","!"
"North West","Cheshire West and Chester","E06000050","Chinese","Boys","All/Boys/Girls","!","100"
"North West","Cheshire West and Chester","E06000050","All","Boys","All/Boys/Girls","70","78"
"London","City of London","E09000001","White","Boys","All/Boys/Girls","!","!"
"London","City of London","E09000001","Mixed","Boys","All/Boys/Girls","!","!"
"London","City of London","E09000001","Asian","Boys","All/Boys/Girls","!","!"
"London","City of London","E09000001","Black","Boys","All/Boys/Girls","!","!"
"London","City of London","E09000001","Chinese","Boys","All/Boys/Girls","!","!"
"London","City of London","E09000001","All","Boys","All/Boys/Girls","!","!"
"South West","Cornwall","E06000052","White","Boys","All/Boys/Girls","69","78"
"South West","Cornwall","E06000052","Mixed","Boys","All/Boys/Girls","73","83"
"South West","Cornwall","E06000052","Asian","Boys","All/Boys/Girls","!","!"
"South West","Cornwall","E06000052","Black","Boys","All/Boys/Girls","!","!"
"South West","Cornwall","E06000052","Chinese","Boys","All/Boys/Girls","!","!"
"South West","Cornwall","E06000052","All","Boys","All/Boys/Girls","69","78"
"North East","County Durham","E06000047","White","Boys","All/Boys/Girls","71","80"
"North East","County Durham","E06000047","Mixed","Boys","All/Boys/Girls","73","82"
"North East","County Durham","E06000047","Asian","Boys","All/Boys/Girls","!","!"
"North East","County Durham","E06000047","Black","Boys","All/Boys/Girls","!","!"
"North East","County Durham","E06000047","Chinese","Boys","All/Boys/Girls","60","100"
"North East","County Durham","E06000047","All","Boys","All/Boys/Girls","71","80"
"West Midlands","Coventry","E08000026","White","Boys","All/Boys/Girls","64","70"
"West Midlands","Coventry","E08000026","Mixed","Boys","All/Boys/Girls","65","77"
"West Midlands","Coventry","E08000026","Asian","Boys","All/Boys/Girls","72","83"
"West Midlands","Coventry","E08000026","Black","Boys","All/Boys/Girls","65","79"
"West Midlands","Coventry","E08000026","Chinese","Boys","All/Boys/Girls","!","!"
"West Midlands","Coventry","E08000026","All","Boys","All/Boys/Girls","65","74"
"London","Croydon","E09000008","White","Boys","All/Boys/Girls","72","77"
"London","Croydon","E09000008","Mixed","Boys","All/Boys/Girls","71","81"
"London","Croydon","E09000008","Asian","Boys","All/Boys/Girls","79","90"
"London","Croydon","E09000008","Black","Boys","All/Boys/Girls","70","78"
"London","Croydon","E09000008","Chinese","Boys","All/Boys/Girls","!","100"
"London","Croydon","E09000008","All","Boys","All/Boys/Girls","73","80"
"North West","Cumbria","E10000006","White","Boys","All/Boys/Girls","65","75"
"North West","Cumbria","E10000006","Mixed","Boys","All/Boys/Girls","52","81"
"North West","Cumbria","E10000006","Asian","Boys","All/Boys/Girls","80","81"
"North West","Cumbria","E10000006","Black","Boys","All/Boys/Girls","!","!"
"North West","Cumbria","E10000006","Chinese","Boys","All/Boys/Girls","100","!"
"North West","Cumbria","E10000006","All","Boys","All/Boys/Girls","64","75"
"North East","Darlington","E06000005","White","Boys","All/Boys/Girls","71","79"
"North East","Darlington","E06000005","Mixed","Boys","All/Boys/Girls","!","!"
"North East","Darlington","E06000005","Asian","Boys","All/Boys/Girls","65","76"
"North East","Darlington","E06000005","Black","Boys","All/Boys/Girls","!","100"
"North East","Darlington","E06000005","Chinese","Boys","All/Boys/Girls","!","!"
"North East","Darlington","E06000005","All","Boys","All/Boys/Girls","71","79"
"East Midlands","Derby","E06000015","White","Boys","All/Boys/Girls","60","68"
"East Midlands","Derby","E06000015","Mixed","Boys","All/Boys/Girls","61","77"
"East Midlands","Derby","E06000015","Asian","Boys","All/Boys/Girls","69","76"
"East Midlands","Derby","E06000015","Black","Boys","All/Boys/Girls","62","79"
"East Midlands","Derby","E06000015","Chinese","Boys","All/Boys/Girls","!","!"
"East Midlands","Derby","E06000015","All","Boys","All/Boys/Girls","61","70"
"East Midlands","Derbyshire","E10000007","White","Boys","All/Boys/Girls","70","79"
"East Midlands","Derbyshire","E10000007","Mixed","Boys","All/Boys/Girls","70","86"
"East Midlands","Derbyshire","E10000007","Asian","Boys","All/Boys/Girls","83","83"
"East Midlands","Derbyshire","E10000007","Black","Boys","All/Boys/Girls","!","!"
"East Midlands","Derbyshire","E10000007","Chinese","Boys","All/Boys/Girls","!","!"
"East Midlands","Derbyshire","E10000007","All","Boys","All/Boys/Girls","70","79"
"South West","Devon","E10000008","White","Boys","All/Boys/Girls","67","79"
"South West","Devon","E10000008","Mixed","Boys","All/Boys/Girls","75","71"
"South West","Devon","E10000008","Asian","Boys","All/Boys/Girls","74","81"
"South West","Devon","E10000008","Black","Boys","All/Boys/Girls","!","!"
"South West","Devon","E10000008","Chinese","Boys","All/Boys/Girls","100","!"
