"Title","Civil Service workforce"
"Location","UK"
"Time period","2018"
"Data source","Cabinet Office"
"Data source link","https://www.ons.gov.uk/releases/civilservicestatistics2018"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-02"
"Year","Ethnicity","Grade/Rank/Area/Gender/Age","%","Number ","","","","","","","",""
"2017","Other","Wales","0.4","100","","","","","","","",""
"2017","Other","Scotland","0.2","70","","","","","","","",""
"2017","Other","Northern Ireland","!","!","","","","","","","",""
"2017","Other","Unknown","N/A","!","","","","","","","",""
"2017","White","UK","88.4","283,740","","","","","","","",""
"2017","White","North East","97.6","22,000","","","","","","","",""
"2017","White","North West","93.6","38,290","","","","","","","",""
"2017","White","Yorkshire and The Humber","91.4","23,300","","","","","","","",""
"2017","White","East Midlands","87.6","13,100","","","","","","","",""
"2017","White","West Midlands","80.9","16,760","","","","","","","",""
"2017","White","East","90.7","15,360","","","","","","","",""
"2017","White","London","66.4","38,900","","","","","","","",""
"2017","White","South East","93.2","27,450","","","","","","","",""
"2017","White","South West","96.1","27,560","","","","","","","",""
"2017","White","Wales","96.9","24,250","","","","","","","",""
"2017","White","Scotland","97.7","30,450","","","","","","","",""
"2017","White","Northern Ireland","99.4","2,970","","","","","","","",""
"2017","White","Unknown","N/A","610","","","","","","","",""
"2018","Asian","UK","6.4","20,470","","","","","","","",""
"2018","Asian","North East","1.1","240","","","","","","","",""
"2018","Asian","North West","3.9","1,570","","","","","","","",""
"2018","Asian","Yorkshire and The Humber","6.2","1,580","","","","","","","",""
"2018","Asian","East Midlands","8.6","1,260","","","","","","","",""
"2018","Asian","West Midlands","13.7","2,780","","","","","","","",""
"2018","Asian","East","5","820","","","","","","","",""
"2018","Asian","London","16.7","10,030","","","","","","","",""
"2018","Asian","South East","3.3","950","","","","","","","",""
"2018","Asian","South West","1.5","450","","","","","","","",""
"2018","Asian","Wales","1.1","280","","","","","","","",""
"2018","Asian","Scotland","1.1","340","","","","","","","",""
"2018","Asian","Northern Ireland","0.2","10","","","","","","","",""
"2018","Asian","Unknown","N/A","30","","","","","","","",""
"2018","Black","UK","3.2","10,350","","","","","","","",""
"2018","Black","North East","0.3","70","","","","","","","",""
"2018","Black","North West","1","410","","","","","","","",""
"2018","Black","Yorkshire and The Humber","1.3","340","","","","","","","",""
"2018","Black","East Midlands","2.1","310","","","","","","","",""
"2018","Black","West Midlands","3.9","790","","","","","","","",""
"2018","Black","East","2.3","380","","","","","","","",""
"2018","Black","London","11.6","6,950","","","","","","","",""
"2018","Black","South East","1.6","450","","","","","","","",""
"2018","Black","South West","1.1","320","","","","","","","",""
"2018","Black","Wales","0.5","140","","","","","","","",""
"2018","Black","Scotland","0.4","140","","","","","","","",""
"2018","Black","Northern Ireland","!","!","","","","","","","",""
"2018","Black","Unknown","N/A","10","","","","","","","",""
"2018","Chinese","UK","0.3","960","","","","","","","",""
"2018","Chinese","North East","0.2","40","","","","","","","",""
"2018","Chinese","North West","0.3","110","","","","","","","",""
"2018","Chinese","Yorkshire and The Humber","0.2","50","","","","","","","",""
"2018","Chinese","East Midlands","0.1","20","","","","","","","",""
"2018","Chinese","West Midlands","0.2","40","","","","","","","",""
"2018","Chinese","East","0.3","50","","","","","","","",""
"2018","Chinese","London","0.7","440","","","","","","","",""
"2018","Chinese","South East","0.3","80","","","","","","","",""
"2018","Chinese","South West","0.2","50","","","","","","","",""
"2018","Chinese","Wales","0.2","50","","","","","","","",""
"2018","Chinese","Scotland","0.1","40","","","","","","","",""
"2018","Chinese","Northern Ireland","!","!","","","","","","","",""
"2018","Chinese","Unknown","N/A","0","","","","","","","",""
"2018","Mixed","UK","1.5","4,950","","","","","","","",""
"2018","Mixed","North East","0.7","150","","","","","","","",""
"2018","Mixed","North West","1.2","480","","","","","","","",""
"2018","Mixed","Yorkshire and The Humber","1.2","310","","","","","","","",""
"2018","Mixed","East Midlands","1.4","210","","","","","","","",""
"2018","Mixed","West Midlands","1.6","320","","","","","","","",""
"2018","Mixed","East","1.4","240","","","","","","","",""
"2018","Mixed","London","3.3","2,000","","","","","","","",""
"2018","Mixed","South East","1.3","380","","","","","","","",""
"2018","Mixed","South West","1.2","340","","","","","","","",""
"2018","Mixed","Wales","1","260","","","","","","","",""
"2018","Mixed","Scotland","0.6","180","","","","","","","",""
"2018","Mixed","Northern Ireland","0.3","10","","","","","","","",""
"2018","Mixed","Unknown","N/A","10","","","","","","","",""
"2018","Other","UK","0.5","1,740","","","","","","","",""
"2018","Other","North East","0.2","40","","","","","","","",""
"2018","Other","North West","0.3","130","","","","","","","",""
"2018","Other","Yorkshire and The Humber","0.3","90","","","","","","","",""
"2018","Other","East Midlands","0.4","50","","","","","","","",""
"2018","Other","West Midlands","0.5","100","","","","","","","",""
"2018","Other","East","0.7","110","","","","","","","",""
"2018","Other","London","1.3","780","","","","","","","",""
"2018","Other","South East","0.5","150","","","","","","","",""
"2018","Other","South West","0.3","100","","","","","","","",""
"2018","Other","Wales","0.3","90","","","","","","","",""
"2018","Other","Scotland","0.3","90","","","","","","","",""
"2018","Other","Northern Ireland","!","!","","","","","","","",""
"2018","Other","Unknown","N/A","10","","","","","","","",""
"2018","White","UK","88","283,300","","","","","","","",""
"2018","White","North East","97.6","21,670","","","","","","","",""
"2018","White","North West","93.4","38,130","","","","","","","",""
"2018","White","Yorkshire and The Humber","90.7","22,990","","","","","","","",""
"2018","White","East Midlands","87.4","12,840","","","","","","","",""
"2018","White","West Midlands","80.1","16,260","","","","","","","",""
"2018","White","East","90.4","14,880","","","","","","","",""
"2018","White","London","66.3","39,730","","","","","","","",""
"2018","White","South East","93","26,650","","","","","","","",""
"2018","White","South West","95.7","28,050","","","","","","","",""
"2018","White","Wales","96.9","25,240","","","","","","","",""
"2018","White","Scotland","97.5","30,630","","","","","","","",""
"2018","White","Northern Ireland","99.2","2,940","","","","","","","",""
"2018","White","Unknown","N/A","670","","","","","","","",""
"2015","All Groups","Male","N/A","203,960","","","","","","","",""
"2015","Asian","Male","4.8","7,500","","","","","","","",""
"2015","Black","Male","2.4","3,680","","","","","","","",""
"2015","Chinese","Male","0.2","370","","","","","","","",""
"2015","Mixed","Male","1.2","1,920","","","","","","","",""
"2015","White","Male","90.8","143,210","","","","","","","",""
"2015","Other","Male","0.5","1,010","","","","","","","",""
"2015","Unknown","Male","N/A","46,290","","","","","","","",""
"2015","All Groups","Female","N/A","235,360","","","","","","","",""
"2015","Asian","Female","6.1","11,060","","","","","","","",""
"2015","Black","Female","3.6","6,530","","","","","","","",""
"2015","Chinese","Female","0.3","520","","","","","","","",""
"2015","Mixed","Female","1.4","2,500","","","","","","","",""
"2015","White","Female","88.2","162,340","","","","","","","",""
"2015","Other","Female","0.5","1,030","","","","","","","",""
"2015","Unknown","Female","N/A","51,380","","","","","","","",""
"2016","All Groups","Male","N/A","191,580","","","","","","","",""
"2016","Asian","Male","5.3","7,660","","","","","","","",""
"2016","Black","Male","2.4","3,490","","","","","","","",""
"2016","Chinese","Male","0.2","360","","","","","","","",""
"2016","Mixed","Male","1.3","1,900","","","","","","","",""
"2016","White","Male","90.1","129,320","","","","","","","",""
"2016","Other","Male","0.6","820","","","","","","","",""
"2016","Unknown","Male","N/A","48,030","","","","","","","",""
"2016","All Groups","Female","N/A","226,760","","","","","","","",""
"2016","Asian","Female","6.3","11,030","","","","","","","",""
"2016","Black","Female","3.7","6,470","","","","","","","",""
"2016","Chinese","Female","0.3","530","","","","","","","",""
"2016","Mixed","Female","1.5","2,560","","","","","","","",""
"2016","White","Female","87.8","154,820","","","","","","","",""
"2016","Other","Female","0.5","890","","","","","","","",""
"2016","Unknown","Female","N/A","50,480","","","","","","","",""
"2017","All Groups","Male","N/A","193,050","","","","","","","",""
"2017","Asian","Male","5.8","8,330","","","","","","","",""
"2017","Black","Male","2.5","3,650","","","","","","","",""
"2017","Chinese","Male","0.2","360","","","","","","","",""
"2017","Mixed","Male","1.5","2,090","","","","","","","",""
"2017","White","Male","89.4","129,000","","","","","","","",""
"2017","Other","Male","0.5","790","","","","","","","",""
"2017","Unknown","Male","N/A","48,830","","","","","","","",""
"2017","All Groups","Female","N/A","226,350","","","","","","","",""
"2017","Asian","Female","6.5","11,450","","","","","","","",""
"2017","Black","Female","3.7","6,570","","","","","","","",""
"2017","Chinese","Female","0.3","560","","","","","","","",""
"2017","Mixed","Female","1.5","2,650","","","","","","","",""
"2017","White","Female","87.5","154,740","","","","","","","",""
"2017","Other","Female","0.5","960","","","","","","","",""
"2017","Unknown","Female","N/A","49,430","","","","","","","",""
"2018","All Groups","Male","N/A","198,420","","","","","","","",""
"2018","Asian","Male","6","8,700","","","","","","","",""
"2018","Black","Male","2.6","3,720","","","","","","","",""
"2018","Chinese","Male","0.3","390","","","","","","","",""
"2018","Mixed","Male","1.5","2,150","","","","","","","",""
"2018","White","Male","89.1","128,570","","","","","","","",""
"2018","Other","Male","0.6","800","","","","","","","",""
"2018","Unknown","Male","N/A","54,090","","","","","","","",""
"2018","All Groups","Female","N/A","231,660","","","","","","","",""
"2018","Asian","Female","6.6","11,780","","","","","","","",""
"2018","Black","Female","3.7","6,630","","","","","","","",""
"2018","Chinese","Female","0.3","570","","","","","","","",""
"2018","Mixed","Female","1.6","2,800","","","","","","","",""
"2018","White","Female","87.2","154,720","","","","","","","",""
"2018","Other","Female","0.5","940","","","","","","","",""
"2018","Unknown","Female","N/A","54,220","","","","","","","",""
"2015","Asian","Aged 16-19","5.3","30","","","","","","","",""
"2015","Asian","Aged 20-29","8","2,120","","","","","","","",""
"2015","Asian","Aged 30-39","8.2","5,820","","","","","","","",""
"2015","Asian","Aged 40-49","5.3","5,510","","","","","","","",""
"2015","Asian","Aged 50-59","3.4","3,800","","","","","","","",""
"2015","Asian","Aged 60-64","4","900","","","","","","","",""
"2015","Asian","Aged 65 & Over","6","390","","","","","","","",""
"2015","Asian","Unknown","N/A","!","","","","","","","",""
"2015","Black","Aged 16-19","!","!","","","","","","","",""
"2015","Black","Aged 20-29","2.6","690","","","","","","","",""
"2015","Black","Aged 30-39","2.7","1,890","","","","","","","",""
"2015","Black","Aged 40-49","3.7","3,800","","","","","","","",""
"2015","Black","Aged 50-59","3","3,340","","","","","","","",""
"2015","Black","Aged 60-64","1.7","370","","","","","","","",""
"2015","Black","Aged 65 & Over","1.7","110","","","","","","","",""
"2015","Black","Unknown","N/A","!","","","","","","","",""
"2015","Chinese","Aged 16-19","0","!","","","","","","","",""
"2015","Chinese","Aged 20-29","0.4","100","","","","","","","",""
"2015","Chinese","Aged 30-39","0.4","280","","","","","","","",""
"2015","Chinese","Aged 40-49","0.3","260","","","","","","","",""
"2015","Chinese","Aged 50-59","0.2","180","","","","","","","",""
"2015","Chinese","Aged 60-64","0.2","50","","","","","","","",""
"2015","Chinese","Aged 65 & Over","0.2","10","","","","","","","",""
"2015","Chinese","Unknown","N/A","!","","","","","","","",""
"2015","Mixed","Aged 16-19","2.9","20","","","","","","","",""
"2015","Mixed","Aged 20-29","2.3","630","","","","","","","",""
"2015","Mixed","Aged 30-39","1.8","1,300","","","","","","","",""
"2015","Mixed","Aged 40-49","1.2","1,250","","","","","","","",""
"2015","Mixed","Aged 50-59","0.9","1,020","","","","","","","",""
"2015","Mixed","Aged 60-64","0.7","160","","","","","","","",""
"2015","Mixed","Aged 65 & Over","0.6","40","","","","","","","",""
"2015","Mixed","Unknown","N/A","!","","","","","","","",""
"2015","White","Aged 16-19","90.7","530","","","","","","","",""
"2015","White","Aged 20-29","86","22,930","","","","","","","",""
"2015","White","Aged 30-39","86.1","60,940","","","","","","","",""
"2015","White","Aged 40-49","89","91,810","","","","","","","",""
"2015","White","Aged 50-59","92","102,460","","","","","","","",""
"2015","White","Aged 60-64","92.9","21,040","","","","","","","",""
"2015","White","Aged 65 & Over","90.8","5,820","","","","","","","",""
"2015","White","Unknown","N/A","20","","","","","","","",""
"2015","Other","Aged 16-19","!","!","","","","","","","",""
"2015","Other","Aged 20-29","0.7","180","","","","","","","",""
"2015","Other","Aged 30-39","0.7","510","","","","","","","",""
"2015","Other","Aged 40-49","0.5","550","","","","","","","",""
"2015","Other","Aged 50-59","0.6","620","","","","","","","",""
"2015","Other","Aged 60-64","0.6","130","","","","","","","",""
"2015","Other","Aged 65 & Over","0.7","40","","","","","","","",""
"2015","Other","Unknown","N/A","!","","","","","","","",""
"2015","Unknown","Aged 16-19","N/A","670","","","","","","","",""
"2015","Unknown","Aged 20-29","N/A","13,810","","","","","","","",""
"2015","Unknown","Aged 30-39","N/A","22,320","","","","","","","",""
"2015","Unknown","Aged 40-49","N/A","26,140","","","","","","","",""
"2015","Unknown","Aged 50-59","N/A","27,250","","","","","","","",""
"2015","Unknown","Aged 60-64","N/A","5,860","","","","","","","",""
"2015","Unknown","Aged 65 & Over","N/A","1,600","","","","","","","",""
"2015","Unknown","Unknown","N/A","20","","","","","","","",""
"2016","Asian","Aged 16-19","6.8","50","","","","","","","",""
"2016","Asian","Aged 20-29","9.5","2,460","","","","","","","",""
"2016","Asian","Aged 30-39","8.5","5,660","","","","","","","",""
"2016","Asian","Aged 40-49","5.9","5,420","","","","","","","",""
"2016","Asian","Aged 50-59","3.6","3,840","","","","","","","",""
"2016","Asian","Aged 60-64","4","870","","","","","","","",""
"2016","Asian","Aged 65 & Over","6.7","390","","","","","","","",""
"2016","Asian","Unknown","N/A","!","","","","","","","",""
"2016","Black","Aged 16-19","0","!","","","","","","","",""
"2016","Black","Aged 20-29","2.7","710","","","","","","","",""
"2016","Black","Aged 30-39","2.7","1,790","","","","","","","",""
"2016","Black","Aged 40-49","3.7","3,370","","","","","","","",""
"2016","Black","Aged 50-59","3.3","3,570","","","","","","","",""
"2016","Black","Aged 60-64","1.9","410","","","","","","","",""
"2016","Black","Aged 65 & Over","2","120","","","","","","","",""
"2016","Black","Unknown","N/A","!","","","","","","","",""
"2016","Chinese","Aged 16-19","0","!","","","","","","","",""
"2016","Chinese","Aged 20-29","0.4","110","","","","","","","",""
"2016","Chinese","Aged 30-39","0.4","290","","","","","","","",""
"2016","Chinese","Aged 40-49","0.3","250","","","","","","","",""
"2016","Chinese","Aged 50-59","0.2","170","","","","","","","",""
"2016","Chinese","Aged 60-64","0.2","50","","","","","","","",""
"2016","Chinese","Aged 65 & Over","0.2","10","","","","","","","",""
"2016","Chinese","Unknown","N/A","!","","","","","","","",""
"2016","Mixed","Aged 16-19","3.5","20","","","","","","","",""
"2016","Mixed","Aged 20-29","2.6","680","","","","","","","",""
"2016","Mixed","Aged 30-39","2","1,300","","","","","","","",""
"2016","Mixed","Aged 40-49","1.3","1,200","","","","","","","",""
"2016","Mixed","Aged 50-59","1","1,050","","","","","","","",""
"2016","Mixed","Aged 60-64","0.7","160","","","","","","","",""
"2016","Mixed","Aged 65 & Over","0.7","40","","","","","","","",""
"2016","Mixed","Unknown","N/A","!","","","","","","","",""
"2016","White","Aged 16-19","89.5","620","","","","","","","",""
"2016","White","Aged 20-29","84.2","21,840","","","","","","","",""
"2016","White","Aged 30-39","85.9","57,340","","","","","","","",""
"2016","White","Aged 40-49","88.4","81,390","","","","","","","",""
"2016","White","Aged 50-59","91.4","97,750","","","","","","","",""
"2016","White","Aged 60-64","92.6","19,970","","","","","","","",""
"2016","White","Aged 65 & Over","89.7","5,230","","","","","","","",""
"2016","White","Unknown","N/A","!","","","","","","","",""
"2016","Other","Aged 16-19","!","!","","","","","","","",""
"2016","Other","Aged 20-29","0.5","130","","","","","","","",""
"2016","Other","Aged 30-39","0.6","400","","","","","","","",""
"2016","Other","Aged 40-49","0.5","460","","","","","","","",""
"2016","Other","Aged 50-59","0.5","560","","","","","","","",""
"2016","Other","Aged 60-64","0.5","120","","","","","","","",""
"2016","Other","Aged 65 & Over","0.8","40","","","","","","","",""
"2016","Other","Unknown","N/A","!","","","","","","","",""
"2016","Unknown","Aged 16-19","N/A","830","","","","","","","",""
"2016","Unknown","Aged 20-29","N/A","16,320","","","","","","","",""
"2016","Unknown","Aged 30-39","N/A","22,020","","","","","","","",""
"2016","Unknown","Aged 40-49","N/A","24,860","","","","","","","",""
"2016","Unknown","Aged 50-59","N/A","27,340","","","","","","","",""
"2016","Unknown","Aged 60-64","N/A","5,610","","","","","","","",""
"2016","Unknown","Aged 65 & Over","N/A","1,540","","","","","","","",""
"2016","Unknown","Unknown","N/A","10","","","","","","","",""
"2017","Asian","Aged 16-19","7","70","","","","","","","",""
"2017","Asian","Aged 20-29","9.9","2,950","","","","","","","",""
"2017","Asian","Aged 30-39","8.7","5,870","","","","","","","",""
"2017","Asian","Aged 40-49","6.4","5,580","","","","","","","",""
"2017","Asian","Aged 50-59","3.7","4,020","","","","","","","",""
"2017","Asian","Aged 60-64","4","880","","","","","","","",""
"2017","Asian","Aged 65 & Over","7","400","","","","","","","",""
"2017","Asian","Unknown","N/A","!","","","","","","","",""
"2017","Black","Aged 16-19","1.4","10","","","","","","","",""
"2017","Black","Aged 20-29","2.9","870","","","","","","","",""
"2017","Black","Aged 30-39","2.8","1,920","","","","","","","",""
"2017","Black","Aged 40-49","3.5","3,070","","","","","","","",""
"2017","Black","Aged 50-59","3.5","3,780","","","","","","","",""
"2017","Black","Aged 60-64","2.1","460","","","","","","","",""
"2017","Black","Aged 65 & Over","2","110","","","","","","","",""
"2017","Black","Unknown","N/A","!","","","","","","","",""
"2017","Chinese","Aged 16-19","!","!","","","","","","","",""
"2017","Chinese","Aged 20-29","0.4","130","","","","","","","",""
"2017","Chinese","Aged 30-39","0.4","280","","","","","","","",""
"2017","Chinese","Aged 40-49","0.3","270","","","","","","","",""
"2017","Chinese","Aged 50-59","0.2","180","","","","","","","",""
"2017","Chinese","Aged 60-64","0.2","40","","","","","","","",""
"2017","Chinese","Aged 65 & Over","0.3","20","","","","","","","",""
"2017","Chinese","Unknown","N/A","!","","","","","","","",""
"2017","Mixed","Aged 16-19","3.5","40","","","","","","","",""
"2017","Mixed","Aged 20-29","2.8","830","","","","","","","",""
"2017","Mixed","Aged 30-39","2","1,360","","","","","","","",""
"2017","Mixed","Aged 40-49","1.3","1,180","","","","","","","",""
"2017","Mixed","Aged 50-59","1","1,120","","","","","","","",""
"2017","Mixed","Aged 60-64","0.8","180","","","","","","","",""
"2017","Mixed","Aged 65 & Over","0.8","40","","","","","","","",""
"2017","Mixed","Unknown","N/A","!","","","","","","","",""
"2017","White","Aged 16-19","87.7","890","","","","","","","",""
"2017","White","Aged 20-29","83.4","24,770","","","","","","","",""
"2017","White","Aged 30-39","85.4","57,930","","","","","","","",""
"2017","White","Aged 40-49","87.9","76,980","","","","","","","",""
"2017","White","Aged 50-59","91.1","97,820","","","","","","","",""
"2017","White","Aged 60-64","92.3","20,230","","","","","","","",""
"2017","White","Aged 65 & Over","89.2","5,110","","","","","","","",""
"2017","White","Unknown","N/A","10","","","","","","","",""
"2017","Other","Aged 16-19","!","!","","","","","","","",""
"2017","Other","Aged 20-29","0.5","160","","","","","","","",""
"2017","Other","Aged 30-39","0.7","450","","","","","","","",""
"2017","Other","Aged 40-49","0.5","460","","","","","","","",""
"2017","Other","Aged 50-59","0.5","520","","","","","","","",""
"2017","Other","Aged 60-64","0.5","110","","","","","","","",""
"2017","Other","Aged 65 & Over","0.8","40","","","","","","","",""
"2017","Other","Unknown","N/A","0","","","","","","","",""
"2017","Unknown","Aged 16-19","N/A","860","","","","","","","",""
"2017","Unknown","Aged 20-29","N/A","18,590","","","","","","","",""
"2017","Unknown","Aged 30-39","N/A","22,070","","","","","","","",""
"2017","Unknown","Aged 40-49","N/A","23,080","","","","","","","",""
"2017","Unknown","Aged 50-59","N/A","26,650","","","","","","","",""
"2017","Unknown","Aged 60-64","N/A","5,530","","","","","","","",""
"2017","Unknown","Aged 65 & Over","N/A","1,480","","","","","","","",""
"2017","Unknown","Unknown","N/A","10","","","","","","","",""
"2018","Asian","Aged 16-19","7.7","60","","","","","","","",""
"2018","Asian","Aged 20-29","10.1","3,140","","","","","","","",""
"2018","Asian","Aged 30-39","8.6","5,840","","","","","","","",""
"2018","Asian","Aged 40-49","6.9","5,790","","","","","","","",""
"2018","Asian","Aged 50-59","3.9","4,210","","","","","","","",""
"2018","Asian","Aged 60-64","4.2","1,010","","","","","","","",""
"2018","Asian","Aged 65 & Over","7.2","430","","","","","","","",""
"2018","Asian","Unknown","N/A","!","","","","","","","",""
"2018","Black","Aged 16-19","1.7","10","","","","","","","",""
"2018","Black","Aged 20-29","2.9","900","","","","","","","",""
"2018","Black","Aged 30-39","2.8","1,900","","","","","","","",""
"2018","Black","Aged 40-49","3.3","2,800","","","","","","","",""
"2018","Black","Aged 50-59","3.7","4,030","","","","","","","",""
"2018","Black","Aged 60-64","2.4","560","","","","","","","",""
"2018","Black","Aged 65 & Over","2.4","150","","","","","","","",""
"2018","Black","Unknown","N/A","0","","","","","","","",""
"2018","Chinese","Aged 16-19","!","!","","","","","","","",""
"2018","Chinese","Aged 20-29","0.5","150","","","","","","","",""
"2018","Chinese","Aged 30-39","0.4","280","","","","","","","",""
"2018","Chinese","Aged 40-49","0.3","280","","","","","","","",""
"2018","Chinese","Aged 50-59","0.2","190","","","","","","","",""
"2018","Chinese","Aged 60-64","0.2","40","","","","","","","",""
"2018","Chinese","Aged 65 & Over","0.3","20","","","","","","","",""
"2018","Chinese","Unknown","N/A","0","","","","","","","",""
"2018","Mixed","Aged 16-19","2.8","20","","","","","","","",""
"2018","Mixed","Aged 20-29","3","930","","","","","","","",""
"2018","Mixed","Aged 30-39","2.1","1,410","","","","","","","",""
"2018","Mixed","Aged 40-49","1.5","1,230","","","","","","","",""
"2018","Mixed","Aged 50-59","1","1,120","","","","","","","",""
"2018","Mixed","Aged 60-64","0.8","200","","","","","","","",""
"2018","Mixed","Aged 65 & Over","0.8","50","","","","","","","",""
"2018","Mixed","Unknown","N/A","0","","","","","","","",""
"2018","White","Aged 16-19","87.2","650","","","","","","","",""
"2018","White","Aged 20-29","82.9","25,770","","","","","","","",""
"2018","White","Aged 30-39","85.5","57,710","","","","","","","",""
"2018","White","Aged 40-49","87.4","73,370","","","","","","","",""
"2018","White","Aged 50-59","90.7","98,680","","","","","","","",""
"2018","White","Aged 60-64","91.9","21,760","","","","","","","",""
"2018","White","Aged 65 & Over","88.6","5,330","","","","","","","",""
"2018","White","Unknown","N/A","20","","","","","","","",""
"2018","Other","Aged 16-19","!","!","","","","","","","",""
"2018","Other","Aged 20-29","0.6","180","","","","","","","",""
"2018","Other","Aged 30-39","0.6","400","","","","","","","",""
"2018","Other","Aged 40-49","0.5","450","","","","","","","",""
"2018","Other","Aged 50-59","0.5","540","","","","","","","",""
"2018","Other","Aged 60-64","0.5","130","","","","","","","",""
"2018","Other","Aged 65 & Over","0.8","50","","","","","","","",""
"2018","Other","Unknown","N/A","0","","","","","","","",""
"2018","Unknown","Aged 16-19","N/A","860","","","","","","","",""
"2018","Unknown","Aged 20-29","N/A","23,670","","","","","","","",""
"2018","Unknown","Aged 30-39","N/A","24,940","","","","","","","",""
"2018","Unknown","Aged 40-49","N/A","23,570","","","","","","","",""
"2018","Unknown","Aged 50-59","N/A","27,510","","","","","","","",""
"2018","Unknown","Aged 60-64","N/A","5,830","","","","","","","",""
"2018","Unknown","Aged 65 & Over","N/A","1,540","","","","","","","",""
"2018","Unknown","Unknown","N/A","390","","","","","","","",""
