"Title","Civil Service workforce"
"Location","UK"
"Time period","2018"
"Data source","Cabinet Office"
"Data source link","https://www.ons.gov.uk/releases/civilservicestatistics2018"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-02"
"Year","Ethnicity","Grade/Rank/Area/Gender/Age","%","Number ","","","","","","","",""
"2016","Mixed","Senior Civil Service","1.3","50","","","","","","","",""
"2016","Mixed","Unknown","N/A","110","","","","","","","",""
"2016","White","Administrative officers and assistants","88.3","102,940","","","","","","","",""
"2016","White","Executive officer","87.2","75,340","","","","","","","",""
"2016","White","Senior and higher executive officer","90.1","28,200","","","","","","","",""
"2016","White","Grades 6 & 7","91.8","69,530","","","","","","","",""
"2016","White","Senior Civil Service","93","3,530","","","","","","","",""
"2016","White","Unknown","N/A","4,600","","","","","","","",""
"2016","Other","Administrative officers and assistants","0.5","590","","","","","","","",""
"2016","Other","Executive officer","0.5","450","","","","","","","",""
"2016","Other","Senior and higher executive officer","0.5","220","","","","","","","",""
"2016","Other","Grades 6 & 7","0.7","410","","","","","","","",""
"2016","Other","Senior Civil Service","0.5","20","","","","","","","",""
"2016","Other","Unknown","N/A","20","","","","","","","",""
"2016","Unknown","All Grades","N/A","98,510","","","","","","","",""
"2016","Unknown","Administrative officers and assistants","N/A","37,300","","","","","","","",""
"2016","Unknown","Executive officer","N/A","23,260","","","","","","","",""
"2016","Unknown","Senior and higher executive officer","N/A","20,480","","","","","","","",""
"2016","Unknown","Grades 6 & 7","N/A","8,790","","","","","","","",""
"2016","Unknown","Senior Civil Service","N/A","1,150","","","","","","","",""
"2016","Unknown","Unknown","N/A","7,530","","","","","","","",""
"2017","Asian","Administrative officers and assistants","6.6","7,440","","","","","","","",""
"2017","Asian","Executive officer","7.3","6,370","","","","","","","",""
"2017","Asian","Senior and higher executive officer","5.3","4,140","","","","","","","",""
"2017","Asian","Grades 6 & 7","4","1,310","","","","","","","",""
"2017","Asian","Senior Civil Service","3.7","150","","","","","","","",""
"2017","Asian","Unknown","N/A","360","","","","","","","",""
"2017","Black","Administrative officers and assistants","3.3","3,700","","","","","","","",""
"2017","Black","Executive officer","4","3,490","","","","","","","",""
"2017","Black","Senior and higher executive officer","2.7","2,110","","","","","","","",""
"2017","Black","Grades 6 & 7","1.7","560","","","","","","","",""
"2017","Black","Senior Civil Service","1.2","50","","","","","","","",""
"2017","Black","Unknown","N/A","320","","","","","","","",""
"2017","Chinese","Administrative officers and assistants","0.3","280","","","","","","","",""
"2017","Chinese","Executive officer","0.3","230","","","","","","","",""
"2017","Chinese","Senior and higher executive officer","0.3","250","","","","","","","",""
"2017","Chinese","Grades 6 & 7","0.4","120","","","","","","","",""
"2017","Chinese","Senior Civil Service","0.3","10","","","","","","","",""
"2017","Chinese","Unknown","N/A","20","","","","","","","",""
"2017","Mixed","Administrative officers and assistants","1.3","1,460","","","","","","","",""
"2017","Mixed","Executive officer","1.4","1,270","","","","","","","",""
"2017","Mixed","Senior and higher executive officer","1.6","1,240","","","","","","","",""
"2017","Mixed","Grades 6 & 7","1.8","580","","","","","","","",""
"2017","Mixed","Senior Civil Service","1.3","50","","","","","","","",""
"2017","Mixed","Unknown","N/A","150","","","","","","","",""
"2017","White","Administrative officers and assistants","88","98,710","","","","","","","",""
"2017","White","Executive officer","86.5","75,940","","","","","","","",""
"2017","White","Senior and higher executive officer","89.5","69,990","","","","","","","",""
"2017","White","Grades 6 & 7","91.3","29,690","","","","","","","",""
"2017","White","Senior Civil Service","93","3,750","","","","","","","",""
"2017","White","Unknown","N/A","5,660","","","","","","","",""
"2017","Other","Administrative officers and assistants","0.5","530","","","","","","","",""
"2017","Other","Executive officer","0.5","480","","","","","","","",""
"2017","Other","Senior and higher executive officer","0.5","430","","","","","","","",""
"2017","Other","Grades 6 & 7","0.7","240","","","","","","","",""
"2017","Other","Senior Civil Service","0.6","20","","","","","","","",""
"2017","Other","Unknown","N/A","50","","","","","","","",""
"2017","Unknown","All Grades","N/A","98,250","","","","","","","",""
"2017","Unknown","Administrative officers and assistants","N/A","37,430","","","","","","","",""
"2017","Unknown","Executive officer","N/A","22,990","","","","","","","",""
"2017","Unknown","Senior and higher executive officer","N/A","20,690","","","","","","","",""
"2017","Unknown","Grades 6 & 7","N/A","8,860","","","","","","","",""
"2017","Unknown","Senior Civil Service","N/A","1,070","","","","","","","",""
"2017","Unknown","Unknown","N/A","7,210","","","","","","","",""
"2018","Asian","Administrative officers and assistants","6.7","7,150","","","","","","","",""
"2018","Asian","Executive officer","7.6","6,560","","","","","","","",""
"2018","Asian","Senior and higher executive officer","5.7","4,670","","","","","","","",""
"2018","Asian","Grades 6 & 7","4.4","1,540","","","","","","","",""
"2018","Asian","Senior Civil Service","4.4","190","","","","","","","",""
"2018","Asian","Unknown","N/A","370","","","","","","","",""
"2018","Black","Administrative officers and assistants","3.3","3,480","","","","","","","",""
"2018","Black","Executive officer","4","3,490","","","","","","","",""
"2018","Black","Senior and higher executive officer","2.8","2,350","","","","","","","",""
"2018","Black","Grades 6 & 7","1.9","650","","","","","","","",""
"2018","Black","Senior Civil Service","1.2","50","","","","","","","",""
"2018","Black","Unknown","N/A","330","","","","","","","",""
"2018","Chinese","Administrative officers and assistants","0.3","280","","","","","","","",""
"2018","Chinese","Executive officer","0.3","230","","","","","","","",""
"2018","Chinese","Senior and higher executive officer","0.4","300","","","","","","","",""
"2018","Chinese","Grades 6 & 7","0.4","130","","","","","","","",""
"2018","Chinese","Senior Civil Service","0.3","10","","","","","","","",""
"2018","Chinese","Unknown","N/A","20","","","","","","","",""
"2018","Mixed","Administrative officers and assistants","1.3","1,390","","","","","","","",""
"2018","Mixed","Executive officer","1.5","1,280","","","","","","","",""
"2018","Mixed","Senior and higher executive officer","1.7","1,370","","","","","","","",""
"2018","Mixed","Grades 6 & 7","2","690","","","","","","","",""
"2018","Mixed","Senior Civil Service","1.4","60","","","","","","","",""
"2018","Mixed","Unknown","N/A","170","","","","","","","",""
"2018","White","Administrative officers and assistants","87.9","93,470","","","","","","","",""
"2018","White","Executive officer","86.1","74,400","","","","","","","",""
"2018","White","Senior and higher executive officer","88.9","73,170","","","","","","","",""
"2018","White","Grades 6 & 7","90.7","31,820","","","","","","","",""
"2018","White","Senior Civil Service","92.2","3,920","","","","","","","",""
"2018","White","Unknown","N/A","6,510","","","","","","","",""
"2018","Other","Administrative officers and assistants","0.5","510","","","","","","","",""
"2018","Other","Executive officer","0.6","490","","","","","","","",""
"2018","Other","Senior and higher executive officer","0.5","450","","","","","","","",""
"2018","Other","Grades 6 & 7","0.7","240","","","","","","","",""
"2018","Other","Senior Civil Service","0.6","20","","","","","","","",""
"2018","Other","Unknown","N/A","30","","","","","","","",""
"2018","Unknown","All Grades","N/A","108,310","","","","","","","",""
"2018","Unknown","Administrative officers and assistants","N/A","42,000","","","","","","","",""
"2018","Unknown","Executive officer","N/A","23,650","","","","","","","",""
"2018","Unknown","Senior and higher executive officer","N/A","23,850","","","","","","","",""
"2018","Unknown","Grades 6 & 7","N/A","10,540","","","","","","","",""
"2018","Unknown","Senior Civil Service","N/A","1,250","","","","","","","",""
"2018","Unknown","Unknown","N/A","7,010","","","","","","","",""
"2015","Asian","UK","5.4","18,560","","","","","","","",""
"2015","Asian","North East","0.8","190","","","","","","","",""
"2015","Asian","North West","2.8","1,150","","","","","","","",""
"2015","Asian","Yorkshire and The Humber","4.7","1,250","","","","","","","",""
"2015","Asian","East Midlands","7.7","1,210","","","","","","","",""
"2015","Asian","West Midlands","10.6","2,410","","","","","","","",""
"2015","Asian","East","4.4","820","","","","","","","",""
"2015","Asian","London","16.1","9,520","","","","","","","",""
"2015","Asian","South East","3","1000","","","","","","","",""
"2015","Asian","South West","1.1","390","","","","","","","",""
"2015","Asian","Wales","0.8","190","","","","","","","",""
"2015","Asian","Scotland","0.8","280","","","","","","","",""
"2015","Asian","Northern Ireland","0.2","10","","","","","","","",""
"2015","Asian","Unknown","N/A","10","","","","","","","",""
"2015","Black","UK","3","10,210","","","","","","","",""
"2015","Black","North East","0.3","60","","","","","","","",""
"2015","Black","North West","0.9","350","","","","","","","",""
"2015","Black","Yorkshire and The Humber","1.2","320","","","","","","","",""
"2015","Black","East Midlands","1.9","290","","","","","","","",""
"2015","Black","West Midlands","3.3","760","","","","","","","",""
"2015","Black","East","2.2","400","","","","","","","",""
"2015","Black","London","12","7,060","","","","","","","",""
"2015","Black","South East","1.5","520","","","","","","","",""
"2015","Black","South West","0.6","230","","","","","","","",""
"2015","Black","Wales","0.3","80","","","","","","","",""
"2015","Black","Scotland","0.2","80","","","","","","","",""
"2015","Black","Northern Ireland","!","!","","","","","","","",""
"2016","Black","Unknown","N/A","10","","","","","","","",""
"2015","Chinese","UK","0.3","890","","","","","","","",""
"2015","Chinese","North East","0.1","30","","","","","","","",""
"2015","Chinese","North West","0.2","100","","","","","","","",""
"2015","Chinese","Yorkshire and The Humber","0.2","50","","","","","","","",""
"2015","Chinese","East Midlands","0.1","20","","","","","","","",""
"2015","Chinese","West Midlands","0.1","30","","","","","","","",""
"2015","Chinese","East","0.3","60","","","","","","","",""
"2015","Chinese","London","0.6","380","","","","","","","",""
"2015","Chinese","South East","0.3","90","","","","","","","",""
"2015","Chinese","South West","0.2","70","","","","","","","",""
"2015","Chinese","Wales","0.2","40","","","","","","","",""
"2015","Chinese","Scotland","0.1","30","","","","","","","",""
"2015","Chinese","Northern Ireland","!","!","","","","","","","",""
"2015","Chinese","Unknown","N/A","0","","","","","","","",""
