"Title","Civil Service workforce by ethnicity and age group"
"Location","UK"
"Time period","2018"
"Data source","Annual Civil Service Employment Survey"
"Data source link","https://www.ons.gov.uk/releases/civilservicestatistics2018"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","03/08/2018"

"Ethnicity","Ethnicity","%","Headcount"
"Asian","Aged 16-19","7.7","60"
"Asian","Aged 20-29","10.1","3,140"
"Asian","Aged 30-39","8.6","5,840"
"Asian","Aged 40-49","6.9","5,790"
"Asian","Aged 50-59","3.9","4,210"
"Asian","Aged 60-64","4.2","1,010"
"Asian","Aged 65 & Over","7.2","430"
"Black","Aged 16-19","1.7","10"
"Black","Aged 20-29","2.9","900"
"Black","Aged 30-39","2.8","1,900"
"Black","Aged 40-49","3.3","2,800"
"Black","Aged 50-59","3.7","4,030"
"Black","Aged 60-64","2.4","560"
"Black","Aged 65 & Over","2.4","150"
"Chinese","Aged 16-19","!","!"
"Chinese","Aged 20-29","0.5","150"
"Chinese","Aged 30-39","0.4","280"
"Chinese","Aged 40-49","0.3","280"
"Chinese","Aged 50-59","0.2","190"
"Chinese","Aged 60-64","0.2","40"
"Chinese","Aged 65 & Over","0.3","20"
"Mixed","Aged 16-19","2.8","20"
"Mixed","Aged 20-29","3.0","930"
"Mixed","Aged 30-39","2.1","1,410"
"Mixed","Aged 40-49","1.5","1,230"
"Mixed","Aged 50-59","1.0","1,120"
"Mixed","Aged 60-64","0.8","200"
"Mixed","Aged 65 & Over","0.8","50"
"White","Aged 16-19","87.2","650"
"White","Aged 20-29","82.9","25,770"
"White","Aged 30-39","85.5","57,710"
"White","Aged 40-49","87.4","73,370"
"White","Aged 50-59","90.7","98,680"
"White","Aged 60-64","91.9","21,760"
"White","Aged 65 & Over","88.6","5,330"
"Other","Aged 16-19","!","!"
"Other","Aged 20-29","0.6","180"
"Other","Aged 30-39","0.6","400"
"Other","Aged 40-49","0.5","450"
"Other","Aged 50-59","0.5","540"
"Other","Aged 60-64","0.5","130"
"Other","Aged 65 & Over","0.8","50"
"Unknown","Aged 16-19","N/A","860"
"Unknown","Aged 20-29","N/A","23,670"
"Unknown","Aged 30-39","N/A","24,940"
"Unknown","Aged 40-49","N/A","23,570"
"Unknown","Aged 50-59","N/A","27,510"
"Unknown","Aged 60-64","N/A","5,830"
"Unknown","Aged 65 & Over","N/A","1,540"
