"Ethnicity","% ","Headcount"
"Asian","6.4","20,470"
"Black","3.2","10,350"
"Chinese","0.3","960"
"Mixed","1.5","4,950"
"White","88.0","283,300"
"Other","0.5","1,740"
"Unknown","N/A","108,310"
