"","Asian","","Black","","Chinese","","Mixed","","White","","Other","","Unknown",""
"Ethnicity","%","Headcount","%","Headcount","%","Headcount","%","Headcount","%","Headcount","%","Headcount","%","Headcount"
"Aged 16-19","7.7","60","1.7","10","!","!","2.8","20","87.2","650","!","!","N/A","860"
"Aged 20-29","10.1","3,140","2.9","900","0.5","150","3.0","930","82.9","25,770","0.6","180","N/A","23,670"
"Aged 30-39","8.6","5,840","2.8","1,900","0.4","280","2.1","1,410","85.5","57,710","0.6","400","N/A","24,940"
"Aged 40-49","6.9","5,790","3.3","2,800","0.3","280","1.5","1,230","87.4","73,370","0.5","450","N/A","23,570"
"Aged 50-59","3.9","4,210","3.7","4,030","0.2","190","1.0","1,120","90.7","98,680","0.5","540","N/A","27,510"
"Aged 60-64","4.2","1,010","2.4","560","0.2","40","0.8","200","91.9","21,760","0.5","130","N/A","5,830"
"Aged 65 & Over","7.2","430","2.4","150","0.3","20","0.8","50","88.6","5,330","0.8","50","N/A","1,540"
