"Title","Civil Service workforce by ethnicity and grade"
"Location","UK"
"Time period","2018"
"Data source","Annual Civil Service Employment Survey"
"Data source link","https://www.ons.gov.uk/releases/civilservicestatistics2018"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","03/08/2018"

"Ethnicity","Grade","%","Headcount"
"Asian","Administrative officers and assistants","6.7","7,150"
"Asian","Executive officer","7.6","6,560"
"Asian","Senior and higher executive officer","5.7","4,670"
"Asian","Grades 6 & 7","4.4","1,540"
"Asian","Senior Civil Service","4.4","190"
"Asian","Unknown grade","N/A","370"
"Black","Administrative officers and assistants","3.3","3,480"
"Black","Executive officer","4.0","3,490"
"Black","Senior and higher executive officer","2.8","2,350"
"Black","Grades 6 & 7","1.9","650"
"Black","Senior Civil Service","1.2","50"
"Black","Unknown grade","N/A","330"
"Chinese","Administrative officers and assistants","0.3","280"
"Chinese","Executive officer","0.3","230"
"Chinese","Senior and higher executive officer","0.4","300"
"Chinese","Grades 6 & 7","0.4","130"
"Chinese","Senior Civil Service","0.3","10"
"Chinese","Unknown grade","N/A","20"
"Mixed","Administrative officers and assistants","1.3","1,390"
"Mixed","Executive officer","1.5","1,280"
"Mixed","Senior and higher executive officer","1.7","1,370"
"Mixed","Grades 6 & 7","2.0","690"
"Mixed","Senior Civil Service","1.4","60"
"Mixed","Unknown grade","N/A","170"
"White","Administrative officers and assistants","87.9","93,470"
"White","Executive officer","86.1","74,400"
"White","Senior and higher executive officer","88.9","73,170"
"White","Grades 6 & 7","90.7","31,820"
"White","Senior Civil Service","92.2","3,920"
"White","Unknown grade","N/A","6,510"
"Other","Administrative officers and assistants","0.5","510"
"Other","Executive officer","0.6","490"
"Other","Senior and higher executive officer","0.5","450"
"Other","Grades 6 & 7","0.7","240"
"Other","Senior Civil Service","0.6","20"
"Other","Unknown grade","N/A","30"
