"Title","Permanent exclusions by ethnicity and local authority"
"Location","England"
"Time period","2016/17"
"Data source","Permanent and fixed-period exclusions in England: 2016 to 2017"
"Data source link","https://www.gov.uk/government/statistics/permanent-and-fixed-period-exclusions-in-england-2016-to-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19/07/2018"

"","Asian","Black","Chinese","Mixed","White","Other"
"Local authority","%","%","%","%","%","%"
"Barking and Dagenham","!","0.12","0.00","!","0.07","0.00"
"Barnet","!","0.13","0.00","0.09","0.08","!"
"Barnsley","0.00","0.00","0.00","0.00","0.07","0.00"
"Bath and North East Somerset","0.00","!","0.00","0.24","0.09","0.00"
"Bedford","0.19","0.33","0.00","0.38","0.18","0.00"
"Bexley","!","!","0.00","!","0.11","0.00"
"Birmingham","0.05","0.18","!","0.19","0.17","0.08"
"Blackburn with Darwen","!","0.00","0.00","0.00","0.02","!"
"Blackpool","0.00","!","0.00","0.70","0.21","0.00"
"Bolton","0.07","0.11","0.00","0.32","0.19","!"
"Bournemouth","0.00","0.00","0.00","0.19","0.16","!"
"Bracknell Forest","0.00","0.00","0.00","0.00","0.05","0.00"
"Bradford","0.02","!","0.00","!","0.06","0.00"
"Brent","0.03","0.20","0.00","!","0.03","!"
"Brighton and Hove","0.00","0.00","0.00","0.10","0.05","0.00"
"Bristol City of","0.00","!","0.00","!","0.03","!"
"Bromley","!","0.20","0.00","0.21","0.12","0.00"
"Buckinghamshire","0.10","0.37","!","0.24","0.13","0.00"
"Bury","0.12","!","0.00","0.97","0.28","0.00"
"Calderdale","0.07","!","0.00","0.29","0.10","!"
"Cambridgeshire","0.00","0.00","0.00","!","0.01","0.00"
"Camden","0.00","0.22","0.00","0.22","0.13","!"
"Central Bedfordshire","!","!","0.00","0.13","0.10","0.00"
"Cheshire East","0.00","0.00","0.00","!","0.06","0.00"
"Cheshire West and Chester","0.00","0.00","0.00","!","0.06","0.00"
"City of London","0.00","0.00","0.00","0.00","0.00","0.00"
"Cornwall","0.00","!","0.00","0.19","0.11","!"
"Coventry","!","0.12","0.00","0.31","0.12","!"
"Croydon","0.00","0.12","0.00","0.07","0.06","!"
"Cumbria","0.00","0.00","0.00","!","0.10","!"
"Darlington","0.00","0.00","0.00","0.00","!","0.00"
"Derby","0.05","0.00","0.00","0.10","0.11","0.00"
"Derbyshire","!","!","0.00","0.21","0.12","0.00"
"Devon","0.00","!","0.00","!","0.14","0.00"
"Doncaster","0.00","0.00","0.00","0.00","0.01","0.00"
"Dorset","0.00","0.00","0.00","0.00","0.06","0.00"
"Dudley","0.14","0.59","0.00","0.44","0.24","!"
"Durham","0.00","0.00","0.00","0.00","0.10","0.00"
"Ealing","0.04","0.29","0.00","0.24","0.13","0.16"
