"","Primary","","Secondary","","Special",""
"Ethnicity","Exclusions","%","Exclusions","%","Exclusions","%"
"Asian","15","0.00","290","0.08","5","0.03"
"Bangladeshi","0","0.00","40","0.07","!","!"
"Indian","0","0.00","50","0.05","0","0.00"
"Pakistani","15","0.01","170","0.12","!","!"
"Asian other","!","!","25","0.05","!","!"
"Black","80","0.03","530","0.29","5","0.08"
"Black African","35","0.02","235","0.20","!","!"
"Black Caribbean","30","0.07","225","0.53","5","0.24"
"Black other","15","0.04","70","0.33","!","!"
"Chinese","0","0.00","!","!","0","0.00"
"Mixed","115","0.04","510","0.32","10","0.15"
"Mixed White/Asian","10","0.02","85","0.23","0","0.00"
"Mixed White/Black African","15","0.04","50","0.26","0","0.00"
"Mixed White/Black Caribbean","55","0.08","225","0.50","5","0.16"
"Mixed other","35","0.03","145","0.25","5","0.25"
"White","1,015","0.03","4,820","0.20","60","0.07"
"White British","955","0.03","4,455","0.20","55","0.07"
"White Irish","!","!","30","0.29","0","0.00"
"Gypsy/Roma","20","0.10","75","0.94","0","0.00"
"Irish traveller","10","0.24","15","1.42","0","0.00"
"White other","30","0.01","245","0.15","5","0.10"
"Other","5","0.01","90","0.17","!","!"
"Unknown","15","0.04","140","0.30","5","0.21"
