"","Primary","","Secondary","","Special",""
"Ethnicity","Exclusions","%","Exclusions","%","Exclusions","%"
"Asian","1,370","0.27","14,060","4.07","250","2.29"
"Bangladeshi","175","0.22","2,370","4.16","60","3.41"
"Indian","185","0.13","1,780","1.87","25","1.32"
"Pakistani","805","0.39","8,155","5.96","110","2.08"
"Asian other","200","0.24","1,760","3.10","50","2.83"
"Black","4,265","1.62","20,335","11.14","960","12.65"
"Black African","2,080","1.16","10,340","8.80","230","4.89"
"Black Caribbean","1,570","3.26","7,345","17.15","535","31.94"
"Black other","620","1.72","2,650","11.98","195","16.04"
"Chinese","45","0.20","155","1.19","!","!"
"Mixed","5,295","1.88","19,035","11.87","1,350","21.85"
"Mixed White/Asian","575","0.86","2,680","7.18","105","9.52"
"Mixed White/Black African","720","1.84","2,465","12.51","110","13.81"
"Mixed White/Black Caribbean","2,570","3.52","8,350","18.61","675","35.53"
"Mixed other","1,430","1.39","5,540","9.48","460","19.38"
"White","52,355","1.50","239,605","9.90","11,765","13.99"
"White British","49,080","1.57","223,795","10.01","11,390","14.38"
"White Irish","140","1.13","980","9.18","40","13.10"
"Gypsy/Roma","840","4.83","3,500","45.10","75","20.16"
"Irish traveller","355","7.69","555","52.17","60","51.24"
"White other","1,935","0.60","10,780","6.56","190","4.74"
"Other","515","0.57","3,960","7.16","95","5.42"
"Unknown","500","1.32","5,740","12.25","220","15.42"
