"","Asian","Black","Chinese","Mixed","White","Other"
"","%","%","%","%","%","%"
"City of London","0.00","0.00","0.00","6.52","0.00","0.00"
"Camden","2.44","6.92","0.00","5.02","4.19","4.11"
"Greenwich","1.52","5.78","!","6.25","6.51","2.18"
"Hackney","2.16","8.65","!","6.70","3.65","3.74"
"Hammersmith and Fulham","3.51","7.20","3.80","5.21","3.73","4.35"
"Islington","1.46","6.25","0.00","6.55","5.27","2.24"
"Kensington and Chelsea","3.77","8.49","!","5.38","3.52","5.99"
"Lambeth","0.51","5.20","0.00","3.76","1.30","1.34"
"Lewisham","1.02","7.06","!","4.57","2.39","1.99"
"Southwark","1.18","5.07","!","4.85","2.79","1.72"
"Tower Hamlets","1.86","3.51","!","4.02","4.09","0.92"
"Wandsworth","0.77","5.57","!","4.25","1.35","2.60"
"Westminster","2.49","8.45","!","5.91","2.70","6.49"
"Barking and Dagenham","0.54","2.17","!","2.54","2.23","1.26"
"Barnet","1.17","5.79","!","4.69","2.79","3.27"
"Bexley","1.25","4.76","1.80","5.41","5.59","3.35"
"Brent","1.18","7.84","0.00","4.90","2.34","3.65"
"Bromley","0.38","3.10","0.00","3.11","2.60","1.46"
"Croydon","0.76","6.06","0.00","4.34","2.92","2.27"
"Ealing","1.22","5.98","!","5.12","2.93","2.90"
"Enfield","1.09","7.64","!","5.94","4.43","4.46"
"Haringey","1.39","6.08","0.00","4.58","2.46","3.03"
"Harrow","0.88","5.78","!","3.36","2.38","5.05"
"Havering","1.05","5.77","1.49","3.51","3.61","5.33"
"Hillingdon","0.94","5.02","!","3.03","4.68","2.25"
"Hounslow","0.97","6.94","0.00","5.50","5.56","3.27"
"Kingston upon Thames","0.82","3.52","0.00","2.82","1.51","1.05"
"Merton","0.74","4.75","2.02","4.26","3.77","1.37"
"Newham","1.72","5.87","0.00","6.89","4.64","2.79"
"Redbridge","1.65","6.98","0.00","5.04","2.80","2.58"
"Richmond upon Thames","1.29","7.34","!","4.08","2.47","2.25"
"Sutton","0.70","4.61","!","3.01","4.08","4.11"
"Waltham Forest","2.13","7.33","0.00","5.38","3.63","3.84"
"Birmingham","2.34","6.97","!","6.88","5.04","2.78"
"Coventry","1.12","4.35","!","9.89","6.71","1.64"
"Dudley","1.99","6.69","0.00","7.75","4.96","5.08"
"Sandwell","1.55","6.76","0.00","7.98","5.11","1.70"
"Solihull","2.41","10.31","2.76","8.89","4.04","4.07"
"Walsall","1.34","3.82","!","6.23","5.13","2.76"
"Wolverhampton","1.47","6.00","!","7.06","4.18","4.68"
"Knowsley","!","3.05","0.00","3.19","5.87","!"
"Liverpool","0.88","3.82","0.63","5.36","4.21","3.06"
"St. Helens","1.67","6.42","0.00","7.00","6.14","!"
"Sefton","1.20","!","0.00","3.14","2.90","!"
"Wirral","0.92","2.35","1.14","4.79","5.08","2.17"
"Bolton","1.51","3.21","2.82","5.88","7.44","3.55"
"Bury","1.92","6.78","2.46","10.56","6.36","3.88"
"Manchester","1.74","6.66","!","7.18","7.72","3.56"
"Oldham","2.79","1.79","0.00","6.31","4.98","3.37"
"Rochdale","1.67","2.69","!","6.85","5.06","2.28"
"Salford","0.99","1.60","0.00","2.46","4.64","1.43"
"Stockport","1.30","4.30","0.00","6.14","4.29","4.36"
"Tameside","2.90","7.49","0.00","10.08","7.58","3.31"
"Trafford","1.52","5.89","!","5.01","2.90","1.77"
"Wigan","2.65","1.34","0.00","3.99","4.08","!"
"Barnsley","0.00","8.73","0.00","5.89","17.20","13.28"
"Doncaster","5.50","9.56","2.63","13.99","21.40","14.83"
"Rotherham","4.97","3.32","!","9.82","8.42","2.27"
"Sheffield","2.70","4.63","0.00","12.81","9.61","5.55"
"Bradford","2.42","5.95","0.00","5.53","4.22","1.82"
"Calderdale","2.85","3.38","0.00","6.25","5.35","2.50"
"Kirklees","1.82","8.92","0.00","9.88","6.61","8.26"
"Leeds","2.98","3.74","0.00","6.75","6.92","2.00"
"Wakefield","2.11","3.43","2.78","6.33","9.19","0.00"
"Gateshead","4.05","6.83","0.00","2.30","5.38","2.32"
"Newcastle upon Tyne","1.21","1.13","0.00","3.90","4.36","1.30"
"North Tyneside","1.44","!","0.00","1.09","2.77","4.05"
"South Tyneside","1.32","2.61","0.00","3.50","3.78","!"
"Sunderland","0.37","!","0.00","2.23","3.02","0.00"
"Isles Of Scilly","N/A","N/A","N/A","0.00","0.00","N/A"
"Bath and North East Somerset","!","10.59","!","10.51","5.31","3.42"
"Bristol City of","2.06","8.10","1.20","9.53","9.49","3.20"
"North Somerset","1.90","6.67","!","4.10","3.40","0.00"
"South Gloucestershire","1.56","7.58","!","9.84","6.01","2.94"
"Hartlepool","1.10","4.55","0.00","6.95","10.15","0.00"
"Middlesbrough","3.66","5.29","0.00","7.87","22.11","3.68"
"Redcar and Cleveland","8.11","0.00","0.00","6.65","11.16","0.00"
"Stockton-on-Tees","2.58","0.86","0.00","4.40","9.21","6.61"
"Kingston upon Hull City of","1.75","1.36","0.00","1.71","3.80","0.93"
"East Riding of Yorkshire","0.00","0.00","0.00","3.08","3.55","2.51"
"North East Lincolnshire","!","6.90","0.00","10.10","7.38","!"
"North Lincolnshire","4.09","12.40","0.00","3.28","9.36","12.33"
"North Yorkshire","1.67","1.96","0.00","5.04","5.71","0.00"
"York","0.60","3.94","0.00","4.35","3.32","2.05"
"Luton","3.32","7.08","0.00","10.01","6.85","4.09"
"Bedford","2.35","3.69","0.00","6.23","3.38","2.45"
"Central Bedfordshire","2.16","4.04","0.00","6.19","3.84","4.89"
"Buckinghamshire","3.43","7.75","!","6.69","3.35","2.46"
"Milton Keynes","1.11","3.57","!","5.31","5.88","2.14"
"Derbyshire","2.25","3.58","0.00","4.41","4.48","10.80"
"Derby","2.25","5.27","!","6.52","5.60","2.47"
"Dorset","1.45","3.39","!","6.66","4.96","13.79"
"Poole","!","2.86","0.00","2.42","4.32","0.00"
"Bournemouth","0.91","5.26","!","7.90","7.76","3.86"
"Durham","1.54","2.11","0.00","1.86","4.14","1.83"
"Darlington","2.90","0.00","0.00","7.18","8.33","2.88"
"East Sussex","0.80","5.26","2.07","6.62","5.94","3.88"
"Brighton and Hove","0.98","5.56","0.00","5.88","5.79","4.20"
"Hampshire","0.71","3.58","!","4.33","4.39","1.69"
"Portsmouth","1.17","2.49","0.00","10.34","7.80","!"
"Southampton","1.11","5.16","0.00","4.90","5.02","!"
"Leicestershire","0.82","6.57","0.00","4.53","3.18","0.84"
"Leicester","1.15","4.55","!","6.22","5.49","0.41"
"Rutland","0.00","13.79","0.00","2.07","1.94","0.00"
"Staffordshire","2.66","5.60","0.88","7.20","4.55","2.61"
"Stoke-on-Trent","5.23","2.30","!","10.13","7.11","3.96"
"Wiltshire","0.61","2.51","0.00","6.17","4.10","4.33"
"Swindon","1.20","3.12","0.00","5.87","5.27","5.54"
"Bracknell Forest","1.02","1.85","!","6.61","5.18","!"
"Windsor and Maidenhead","3.01","6.90","0.00","3.38","3.61","3.47"
"West Berkshire","1.56","5.56","!","10.11","4.29","5.52"
"Reading","1.34","5.95","!","11.19","5.62","1.47"
"Slough","2.07","4.34","0.00","5.79","4.35","1.98"
"Wokingham","1.42","3.97","0.00","3.86","2.49","!"
"Cambridgeshire","1.01","8.02","0.67","5.04","3.76","1.16"
"Peterborough","2.32","2.22","0.00","4.07","4.06","2.61"
"Halton","0.00","0.00","0.00","1.07","4.48","0.00"
"Warrington","0.55","5.17","0.00","1.64","2.59","2.05"
"Devon","0.65","1.92","!","6.59","3.99","1.23"
"Plymouth","1.02","1.83","!","3.26","4.37","2.40"
"Torbay","!","!","!","6.68","5.97","!"
"Essex","1.07","4.34","0.97","4.60","4.07","1.43"
"Southend-on-Sea","1.61","5.77","7.98","4.11","5.74","5.83"
"Thurrock","0.84","1.46","0.00","1.76","2.18","0.00"
"Herefordshire","0.00","!","0.00","2.86","3.78","!"
"Worcestershire","2.27","5.21","0.00","5.42","3.54","2.14"
"Kent","0.92","4.23","0.37","4.18","4.64","2.06"
"Medway","0.54","3.33","6.29","6.03","7.24","1.14"
"Lancashire","2.41","4.98","0.00","4.62","4.64","1.84"
"Blackburn with Darwen","0.94","2.30","0.00","3.83","3.47","4.00"
"Blackpool","0.76","7.58","!","13.09","8.03","0.00"
"Nottinghamshire","1.54","5.59","!","6.24","5.55","3.44"
"Nottingham","2.39","5.59","0.00","7.88","8.15","6.78"
"Shropshire","0.00","4.72","0.00","4.01","4.51","0.00"
"Telford and Wrekin","5.12","5.02","8.94","12.33","14.22","0.00"
"Cheshire East","1.30","6.74","0.00","3.08","4.08","3.60"
"Cheshire West and Chester","!","4.22","0.00","3.40","2.83","!"
"Cornwall","!","4.69","0.00","3.41","3.48","3.78"
"Cumbria","0.69","4.55","0.00","3.97","5.29","1.56"
"Gloucestershire","1.04","7.55","0.00","7.82","4.32","1.34"
"Hertfordshire","1.45","5.58","!","4.87","4.44","3.94"
"Isle of Wight","0.00","0.00","0.00","4.99","6.15","0.00"
"Lincolnshire","0.92","4.45","!","3.43","4.84","1.83"
"Norfolk","0.83","4.51","1.15","5.72","4.74","0.75"
"Northamptonshire","1.48","4.64","0.00","6.66","4.70","1.95"
"Northumberland","1.23","0.00","0.00","4.13","3.96","0.00"
"Oxfordshire","2.06","5.99","0.86","6.19","4.51","2.22"
"Somerset","2.48","1.49","!","7.56","7.31","1.96"
"Suffolk","0.72","3.93","0.00","5.37","4.53","1.31"
"Surrey","1.37","3.72","1.20","3.56","3.61","2.93"
"Warwickshire","0.74","2.43","0.00","4.93","3.49","2.00"
"West Sussex","1.94","5.54","!","4.60","3.87","5.36"
