"Title","Fixed period exclusions by ethnicity and local authority"
"Location","England"
"Time period","2015/16"
"Data source","Statistics: exclusions"
"Data source link","https://www.gov.uk/government/statistics/permanent-and-fixed-period-exclusions-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","20/07/2017"

"","Asian","Black","Chinese","Mixed","White","Other"
"Local authority","%","%","%","%","%","%"
"Plymouth","0.91","2.25","!","4.60","4.43","1.09"
"Poole","!","0.00","0.00","3.95","5.19","4.35"
"Portsmouth","0.66","1.64","0.00","9.62","8.78","!"
"Reading","0.89","4.15","0.00","9.47","5.01","!"
"Redbridge","1.78","6.40","!","5.90","3.27","5.38"
"Redcar and Cleveland","1.33","0.00","0.00","18.37","14.48","0.00"
"Richmond upon Thames","0.95","3.73","0.00","4.90","2.68","3.62"
"Rochdale","2.38","2.90","!","4.85","5.72","2.03"
"Rotherham","6.67","4.87","0.00","15.87","11.20","2.06"
"Rutland","!","8.00","0.00","3.76","3.16","!"
"Salford","1.26","3.04","0.00","3.40","5.39","1.60"
"Sandwell","2.13","7.12","0.00","7.11","6.65","2.87"
"Sefton","1.54","4.48","!","6.18","3.70","!"
"Sheffield","4.40","7.44","0.00","12.48","10.98","6.70"
"Shropshire","2.57","4.82","0.00","5.90","3.59","0.00"
"Slough","2.29","4.30","0.00","4.61","4.31","1.87"
"Solihull","2.53","6.93","0.00","8.21","5.34","1.83"
"Somerset","2.16","6.83","7.89","7.74","5.92","1.63"
"South Gloucestershire","1.24","9.59","!","6.59","5.58","!"
"South Tyneside","1.13","!","0.00","1.53","1.91","4.40"
"Southampton","1.75","3.62","0.00","5.16","5.50","0.83"
"Southend-on-Sea","2.78","5.59","5.29","7.15","6.49","4.57"
"Southwark","1.01","5.28","!","4.99","3.43","1.45"
"St. Helens","5.20","!","0.00","8.71","5.29","14.52"
"Staffordshire","3.22","6.19","!","5.26","3.85","2.43"
"Stockport","1.93","4.56","!","7.30","4.76","2.66"
"Stockton-on-Tees","1.96","1.06","0.00","3.34","4.00","!"
"Stoke-on-Trent","4.13","1.81","0.00","9.86","6.18","3.18"
"Suffolk","1.30","6.02","!","5.57","4.65","1.75"
"Sunderland","0.61","1.33","0.00","3.31","3.37","!"
"Surrey","1.44","3.89","!","3.11","3.57","1.62"
"Sutton","0.80","4.35","!","4.69","4.33","3.44"
"Swindon","0.53","5.20","0.00","7.34","6.35","8.43"
"Tameside","2.47","11.50","0.00","6.63","6.81","4.48"
"Telford and Wrekin","6.87","11.67","8.57","14.57","14.88","0.00"
"Thurrock","1.78","2.14","!","2.49","3.17","1.31"
"Torbay","1.57","0.00","0.00","6.49","5.75","!"
"Tower Hamlets","2.33","4.41","!","7.12","6.31","1.93"
"Trafford","1.33","6.55","0.59","6.51","3.42","2.50"
"Wakefield","2.30","2.72","0.00","4.70","7.80","!"
"Walsall","2.08","5.24","5.79","7.45","6.18","1.41"
"Waltham Forest","2.37","8.07","!","6.56","3.39","1.93"
"Wandsworth","1.06","5.82","!","5.10","1.77","2.28"
"Warrington","0.52","8.78","0.00","2.96","4.63","2.17"
"Warwickshire","0.60","4.34","!","4.96","3.94","3.48"
"West Berkshire","1.02","5.37","0.00","7.38","3.55","0.00"
"West Sussex","1.40","5.30","0.00","3.60","3.43","3.73"
"Westminster","2.00","9.42","0.00","5.21","2.50","5.13"
"Wigan","1.98","2.63","!","3.03","4.21","2.10"
"Wiltshire","0.73","2.24","!","4.04","3.82","2.95"
"Windsor and Maidenhead","2.33","6.49","0.00","3.58","3.13","1.30"
"Wirral","0.51","!","0.00","5.80","4.57","4.88"
"Wokingham","1.36","4.34","0.00","3.56","2.73","!"
"Wolverhampton","2.09","6.81","!","8.73","5.43","8.18"
"Worcestershire","2.05","6.03","0.00","5.42","3.78","!"
"York","!","4.17","!","3.14","3.69","2.68"
