"","Male","","Female",""
"Ethnicity","Rate (%)","Number sentenced","Rate (%)","Number sentenced"
"All","33.3","56,623","19.2","5,199"
"Asian","35.5","3,911","19.9","126"
"Black","32.3","5,853","21.0","354"
"Mixed","33.1","1,762","20.4","150"
"White","33.2","44,328","19.0","4,511"
"Chinese and other","35.0","769","20.9","58"
