"Title","Custody rate by ethnicity and gender"
"Location","England and Wales"
"Time period","2016"
"Data source","Criminal justice statistics"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Sex","Ethnicity","Rate (%)","Number sentenced"
"Male","All","33.3","56,623"
"Male","Asian","35.5","3,911"
"Male","Black","32.3","5,853"
"Male","Mixed","33.1","1,762"
"Male","White","33.2","44,328"
"Male","Chinese and other","35.0","769"
"Female","All","19.2","5,199"
"Female","Asian","19.9","126"
"Female","Black","21.0","354"
"Female","Mixed","20.4","150"
"Female","White","19.0","4,511"
"Female","Chinese and other","20.9","58"
