"Measure","Ethnicity","Number sentenced","Value","Denominator"
"Sentencing","White","157600","65%","242577"
"Sentencing","Black","19861","8%","242577"
"Sentencing","Asian","11685","5%","242577"
"Sentencing","Mixed","6076","3%","242577"
"Sentencing","Chinese and other","2479","1%","242577"
"Sentencing","Not stated","44876","18%","242577"
