"Year","Ethnicity_type_child","Ethnicity","Sex","Age group","Value","Count"
"2016","ONS 5+1 2001","White","Male","All","33.2","44328"
"2016","ONS 5+1 2001","White","Female","All","19","4511"
"2016","ONS 5+1 2001","White","Not known","All","20.5","63"
"2016","ONS 5+1 2001","Black","Male","All","32.3","5853"
"2016","ONS 5+1 2001","Black","Female","All","21","354"
"2016","ONS 5+1 2001","Black","Not known","All","21.3","16"
"2016","ONS 5+1 2001","Asian","Male","All","35.5","3911"
"2016","ONS 5+1 2001","Asian","Female","All","19.9","126"
"2016","ONS 5+1 2001","Asian","Not known","All","6.5","2"
"2016","ONS 5+1 2001","Mixed","Male","All","33.1","1762"
"2016","ONS 5+1 2001","Mixed","Female","All","20.4","150"
"2016","ONS 5+1 2001","Mixed","Not known","All","31.2","5"
"2016","ONS 5+1 2001","Chinese and other","Male","All","35","769"
"2016","ONS 5+1 2001","Chinese and other","Female","All","20.9","58"
"2016","ONS 5+1 2001","Chinese and other","Not known","All","0","0"
"2016","ONS 5+1 2001","Not stated","Male","All","30.8","10668"
"2016","ONS 5+1 2001","Not stated","Female","All","14.3","1126"
"2016","ONS 5+1 2001","Not stated","Not known","All","10.4","248"
"2016","ONS 5+1 2001","All","Male","All","32.9","67291"
"2016","ONS 5+1 2001","All","Female","All","18.1","6325"
"2016","ONS 5+1 2001","All","Not known","All","11.8","334"
