"Title","Sentences and custody"
"Location","England and Wales"
"Time period","2009 to 2016"
"Data source","Ministry of Justice"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-03-02"
"Year","Ethnicity_type_child","Ethnicity","Age group","Custody Rate"
"2009","ONS 5+1 2001","White","Juveniles","8.6"
"2010","ONS 5+1 2001","White","Juveniles","7.9"
"2011","ONS 5+1 2001","White","Juveniles","9"
"2012","ONS 5+1 2001","White","Juveniles","8.3"
"2013","ONS 5+1 2001","White","Juveniles","8.7"
"2014","ONS 5+1 2001","White","Juveniles","8.4"
"2015","ONS 5+1 2001","White","Juveniles","9.1"
"2016","ONS 5+1 2001","White","Juveniles","9.2"
"2009","ONS 5+1 2001","White","Young adults","22.1"
"2010","ONS 5+1 2001","White","Young adults","21.5"
"2011","ONS 5+1 2001","White","Young adults","22.6"
"2012","ONS 5+1 2001","White","Young adults","22.1"
"2013","ONS 5+1 2001","White","Young adults","22.4"
"2014","ONS 5+1 2001","White","Young adults","23.8"
"2015","ONS 5+1 2001","White","Young adults","23.7"
"2016","ONS 5+1 2001","White","Young adults","25.7"
"2009","ONS 5+1 2001","White","Adults","24.9"
"2010","ONS 5+1 2001","White","Adults","25.5"
"2011","ONS 5+1 2001","White","Adults","27.4"
"2012","ONS 5+1 2001","White","Adults","27.8"
"2013","ONS 5+1 2001","White","Adults","28.1"
"2014","ONS 5+1 2001","White","Adults","28.7"
"2015","ONS 5+1 2001","White","Adults","30.2"
"2016","ONS 5+1 2001","White","Adults","32.7"
"2009","ONS 5+1 2001","Black","Juveniles","11.4"
"2010","ONS 5+1 2001","Black","Juveniles","11.7"
"2011","ONS 5+1 2001","Black","Juveniles","13.9"
"2012","ONS 5+1 2001","Black","Juveniles","14.2"
"2013","ONS 5+1 2001","Black","Juveniles","12.5"
"2014","ONS 5+1 2001","Black","Juveniles","11.4"
"2015","ONS 5+1 2001","Black","Juveniles","12.9"
"2016","ONS 5+1 2001","Black","Juveniles","11.9"
"2009","ONS 5+1 2001","Black","Young adults","28.3"
"2010","ONS 5+1 2001","Black","Young adults","27.7"
"2011","ONS 5+1 2001","Black","Young adults","32"
"2012","ONS 5+1 2001","Black","Young adults","32.1"
"2013","ONS 5+1 2001","Black","Young adults","28.9"
"2014","ONS 5+1 2001","Black","Young adults","28.1"
"2015","ONS 5+1 2001","Black","Young adults","29.3"
"2016","ONS 5+1 2001","Black","Young adults","29.1"
"2009","ONS 5+1 2001","Black","Adults","33.4"
"2010","ONS 5+1 2001","Black","Adults","32.4"
"2011","ONS 5+1 2001","Black","Adults","33.9"
"2012","ONS 5+1 2001","Black","Adults","34.5"
"2013","ONS 5+1 2001","Black","Adults","32.2"
"2014","ONS 5+1 2001","Black","Adults","32.6"
"2015","ONS 5+1 2001","Black","Adults","33.3"
"2016","ONS 5+1 2001","Black","Adults","34.4"
"2009","ONS 5+1 2001","Asian","Juveniles","10.9"
"2010","ONS 5+1 2001","Asian","Juveniles","12.6"
"2011","ONS 5+1 2001","Asian","Juveniles","13.7"
"2012","ONS 5+1 2001","Asian","Juveniles","11.2"
"2013","ONS 5+1 2001","Asian","Juveniles","11.1"
"2014","ONS 5+1 2001","Asian","Juveniles","10.9"
"2015","ONS 5+1 2001","Asian","Juveniles","15.2"
"2016","ONS 5+1 2001","Asian","Juveniles","13.1"
"2009","ONS 5+1 2001","Asian","Young adults","25.4"
"2010","ONS 5+1 2001","Asian","Young adults","27.6"
"2011","ONS 5+1 2001","Asian","Young adults","28.4"
"2012","ONS 5+1 2001","Asian","Young adults","29.6"
"2013","ONS 5+1 2001","Asian","Young adults","28.4"
"2014","ONS 5+1 2001","Asian","Young adults","26.5"
"2015","ONS 5+1 2001","Asian","Young adults","27.4"
"2016","ONS 5+1 2001","Asian","Young adults","27.3"
"2009","ONS 5+1 2001","Asian","Adults","32.5"
"2010","ONS 5+1 2001","Asian","Adults","32.2"
"2011","ONS 5+1 2001","Asian","Adults","34.1"
"2012","ONS 5+1 2001","Asian","Adults","35.1"
"2013","ONS 5+1 2001","Asian","Adults","33.4"
"2014","ONS 5+1 2001","Asian","Adults","34.4"
"2015","ONS 5+1 2001","Asian","Adults","35.8"
"2016","ONS 5+1 2001","Asian","Adults","37.2"
"2009","ONS 5+1 2001","Mixed","Juveniles","10.9"
"2010","ONS 5+1 2001","Mixed","Juveniles","10.1"
"2011","ONS 5+1 2001","Mixed","Juveniles","10.5"
"2012","ONS 5+1 2001","Mixed","Juveniles","10.7"
"2013","ONS 5+1 2001","Mixed","Juveniles","11.2"
"2014","ONS 5+1 2001","Mixed","Juveniles","10.4"
"2015","ONS 5+1 2001","Mixed","Juveniles","9.8"
"2016","ONS 5+1 2001","Mixed","Juveniles","10.2"
"2009","ONS 5+1 2001","Mixed","Young adults","24.6"
"2010","ONS 5+1 2001","Mixed","Young adults","24"
"2011","ONS 5+1 2001","Mixed","Young adults","30"
"2012","ONS 5+1 2001","Mixed","Young adults","28.1"
"2013","ONS 5+1 2001","Mixed","Young adults","27"
"2014","ONS 5+1 2001","Mixed","Young adults","26.7"
"2015","ONS 5+1 2001","Mixed","Young adults","26"
"2016","ONS 5+1 2001","Mixed","Young adults","31.1"
"2009","ONS 5+1 2001","Mixed","Adults","28.1"
"2010","ONS 5+1 2001","Mixed","Adults","27.3"
"2011","ONS 5+1 2001","Mixed","Adults","31.1"
"2012","ONS 5+1 2001","Mixed","Adults","32"
"2013","ONS 5+1 2001","Mixed","Adults","31.5"
"2014","ONS 5+1 2001","Mixed","Adults","31.4"
"2015","ONS 5+1 2001","Mixed","Adults","32"
"2016","ONS 5+1 2001","Mixed","Adults","35"
"2009","ONS 5+1 2001","Chinese and other","Juveniles","14.1"
"2010","ONS 5+1 2001","Chinese and other","Juveniles","11.5"
"2011","ONS 5+1 2001","Chinese and other","Juveniles","13.8"
"2012","ONS 5+1 2001","Chinese and other","Juveniles","14.2"
"2013","ONS 5+1 2001","Chinese and other","Juveniles","10.3"
"2014","ONS 5+1 2001","Chinese and other","Juveniles","9.9"
"2015","ONS 5+1 2001","Chinese and other","Juveniles","15"
