"","White","","Other","","Unknown",""
"Legal basis for detention","%","Number","%","Number","%","Number"
"Remand","50.3","106","49.1","104","0.6","1"
"DTO","64.7","323","34.7","173","0.6","3"
"Section 91","51.3","105","48.2","99","0.5","1"
"Other Sentences","48.9","21","51.1","22","0.0","0"
