"Title","Young people in custody by ethnicity and type of custodial order over time"
"Location","England and Wales"
"Time period","2010/11 to 2015/16"
"Data source","Youth justice statistics"
"Data source link","https://www.gov.uk/government/collections/youth-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"","DTO","","Remand","","Section 91","","Other Sentences",""
"Year","White","Other","White","Other","White","Other","White","Other"
"2010/11","61.7","42.6","21.8","32.6","12.9","19.0","3.6","5.9"
"2011/12","63.7","49.3","21.4","28.5","11.5","17.9","3.4","4.4"
"2012/13","64.5","48.2","18.2","26.6","14.2","21.7","3.1","3.5"
"2013/14","64.1","46.0","18.2","26.0","14.5","24.4","3.2","3.5"
"2014/15","59.6","44.2","18.5","30.1","18.0","21.6","4.0","4.1"
"2015/16","58.2","43.5","19.1","26.1","19.0","24.9","3.8","5.5"
