"Title"," EBacc entry by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"Standard Ethnicity","Local authority","All","Boys","Girls"
"Mixed","North Tyneside","51","53","50"
"Mixed","North Yorkshire","43","40","46"
"Mixed","Northamptonshire","39","30","49"
"Mixed","Northumberland","33","43","27"
"Mixed","Nottingham","37","30","45"
"Mixed","Nottinghamshire","40","28","52"
"Mixed","Oldham","18","24","14"
"Mixed","Oxfordshire","38","33","44"
"Mixed","Peterborough","42","33","52"
"Mixed","Plymouth","49","39","56"
"Mixed","Poole","40","46","35"
"Mixed","Portsmouth","43","48","38"
"Mixed","Reading","24","26","22"
"Mixed","Redbridge","38","31","44"
"Mixed","Redcar and Cleveland","45","!","!"
"Mixed","Richmond upon Thames","64","60","68"
"Mixed","Rochdale","34","33","34"
"Mixed","Rotherham","38","33","44"
"Mixed","Rutland","56","!","!"
"Mixed","Salford","46","44","49"
"Mixed","Sandwell","21","13","32"
"Mixed","Sefton","37","32","41"
"Mixed","Sheffield","40","35","45"
"Mixed","Shropshire","40","42","36"
"Mixed","Slough","37","40","33"
"Mixed","Solihull","39","36","43"
"Mixed","Somerset","38","28","46"
"Mixed","South Gloucestershire","28","24","34"
"Mixed","South Tyneside","35","!","!"
"Mixed","Southampton","36","23","47"
"Mixed","Southend-on-Sea","44","39","49"
"Mixed","Southwark","56","51","62"
"Mixed","St. Helens","!","!","!"
"Mixed","Staffordshire","34","23","43"
"Mixed","Stockport","48","41","57"
"Mixed","Stockton-on-Tees","44","38","56"
"Mixed","Stoke-on-Trent","22","19","24"
"Mixed","Suffolk","33","33","33"
"Mixed","Sunderland","56","25","80"
"Mixed","Surrey","48","43","53"
"Mixed","Sutton","62","57","67"
"Mixed","Swindon","30","28","32"
"Mixed","Tameside","28","34","21"
"Mixed","Telford and Wrekin","47","42","53"
"Mixed","Thurrock","51","47","55"
"Mixed","Torbay","43","50","36"
"Mixed","Tower Hamlets","28","30","26"
"Mixed","Trafford","50","44","56"
"Mixed","Wakefield","34","26","41"
"Mixed","Walsall","34","29","39"
"Mixed","Waltham Forest","37","32","42"
"Mixed","Wandsworth","55","44","68"
"Mixed","Warrington","34","20","53"
"Mixed","Warwickshire","46","47","45"
"Mixed","West Berkshire","47","39","52"
"Mixed","West Sussex","47","39","54"
"Mixed","Westminster","49","36","60"
"Mixed","Wigan","36","26","44"
"Mixed","Wiltshire","52","53","52"
"Mixed","Windsor and Maidenhead","52","56","47"
"Mixed","Wirral","52","47","57"
"Mixed","Wokingham","48","37","65"
"Mixed","Wolverhampton","20","11","28"
"Mixed","Worcestershire","40","36","46"
"Mixed","York","67","53","81"
"White","All - England","38","33","44"
"White","Barking and Dagenham","33","29","38"
"White","Barnet","57","53","61"
"White","Barnsley","29","25","33"
"White","Bath and North East Somerset","53","50","56"
"White","Bedford","33","28","39"
"White","Bexley","37","34","41"
"White","Birmingham","40","35","46"
"White","Blackburn with Darwen","26","23","28"
"White","Blackpool","18","14","23"
"White","Bolton","26","23","30"
"White","Bournemouth","41","37","45"
"White","Bracknell Forest","37","31","43"
"White","Bradford","31","25","38"
"White","Brent","49","41","57"
"White","Brighton and Hove","38","35","41"
"White","Bristol, City of","32","26","37"
"White","Bromley","52","42","61"
"White","Buckinghamshire","45","41","49"
"White","Bury","48","46","51"
"White","Calderdale","36","30","41"
"White","Cambridgeshire","40","35","45"
"White","Camden","49","42","55"
"White","Central Bedfordshire","35","30","40"
"White","Cheshire East","39","30","47"
"White","Cheshire West and Chester","47","42","52"
"White","City of London","N/A","N/A","N/A"
"White","Cornwall","33","27","38"
"White","County Durham","42","36","47"
"White","Coventry","36","31","42"
"White","Croydon","45","34","54"
"White","Cumbria","37","32","41"
"White","Darlington","38","34","42"
"White","Derby","31","26","35"
"White","Derbyshire","31","25","36"
"White","Devon","43","38","47"
"White","Doncaster","27","22","33"
"White","Dorset","47","43","50"
"White","Dudley","33","29","37"
"White","Ealing","61","56","67"
"White","East Riding of Yorkshire","37","29","44"
"White","East Sussex","34","31","38"
"White","Enfield","54","48","60"
"White","Essex","36","31","42"
"White","Gateshead","40","35","45"
"White","Gloucestershire","34","30","39"
"White","Greenwich","41","36","45"
"White","Hackney","53","52","55"
"White","Halton","57","52","62"
"White","Hammersmith and Fulham","68","69","67"
"White","Hampshire","41","36","47"
"White","Haringey","41","36","47"
"White","Harrow","48","41","54"
"White","Hartlepool","36","30","41"
"White","Havering","47","45","49"
"White","Herefordshire, County of","43","35","52"
"White","Hertfordshire","45","40","49"
"White","Hillingdon","35","30","39"
"White","Hounslow","55","54","56"
"White","Isle of Wight","28","22","34"
"White","Isles of Scilly","!","!","!"
"White","Islington","40","38","43"
"White","Kensington and Chelsea","55","53","57"
"White","Kent","42","36","48"
"White","Kingston upon Hull, City of","42","40","43"
"White","Kingston upon Thames","56","54","57"
"White","Kirklees","36","30","42"
"White","Knowsley","23","19","28"
"White","Lambeth","50","45","56"
"White","Lancashire","33","29","38"
"White","Leeds","41","35","47"
"White","Leicester","19","16","22"
"White","Leicestershire","30","25","34"
"White","Lewisham","42","35","51"
"White","Lincolnshire","43","38","48"
"White","Liverpool","40","35","46"
"White","Luton","24","25","24"
"White","Manchester","33","28","38"
"White","Medway","35","34","36"
"White","Merton","44","38","51"
"White","Middlesbrough","20","15","25"
"White","Milton Keynes","41","36","47"
"White","Newcastle upon Tyne","34","30","39"
"White","Newham","36","34","38"
"White","Norfolk","35","30","42"
"White","North East Lincolnshire","35","30","41"
"White","North Lincolnshire","33","28","37"
"White","North Somerset","31","27","35"
"White","North Tyneside","37","32","42"
"White","North Yorkshire","41","35","48"
"White","Northamptonshire","40","36","44"
"White","Northumberland","32","26","38"
"White","Nottingham","28","22","34"
"White","Nottinghamshire","40","33","47"
"White","Oldham","27","22","32"
"White","Oxfordshire","38","30","46"
"White","Peterborough","36","29","43"
"White","Plymouth","39","31","47"
"White","Poole","39","!","!"
"White","Portsmouth","37","35","38"
"White","Reading","37","37","38"
"White","Redbridge","35","32","39"
"White","Redcar and Cleveland","29","23","35"
"White","Richmond upon Thames","57","50","63"
"White","Rochdale","22","18","26"
"White","Rotherham","32","25","38"
"White","Rutland","32","22","45"
"White","Salford","45","39","51"
"White","Sandwell","19","16","22"
"White","Sefton","43","35","52"
"White","Sheffield","39","34","45"
"White","Shropshire","38","34","43"
"White","Slough","39","34","43"
"White","Solihull","45","38","51"
"White","Somerset","36","30","41"
"White","South Gloucestershire","33","31","35"
"White","South Tyneside","34","27","41"
"White","Southampton","38","33","44"
"White","Southend-on-Sea","37","33","42"
"White","Southwark","55","51","59"
"White","St. Helens","37","32","43"
"White","Staffordshire","35","30","40"
"White","Stockport","46","42","49"
"White","Stockton-on-Tees","40","34","46"
"White","Stoke-on-Trent","27","23","31"
"White","Suffolk","30","26","34"
"White","Sunderland","36","26","47"
"White","Surrey","45","40","51"
"White","Sutton","44","39","51"
"White","Swindon","31","27","35"
"White","Tameside","31","25","36"
"White","Telford and Wrekin","46","41","52"
"White","Thurrock","40","36","44"
"White","Torbay","!","32","!"
"White","Tower Hamlets","29","28","31"
"White","Trafford","46","43","50"
"White","Wakefield","33","27","40"
"White","Walsall","33","29","37"
"White","Waltham Forest","39","31","47"
"White","Wandsworth","56","49","64"
"White","Warrington","37","34","41"
"White","Warwickshire","41","36","47"
"White","West Berkshire","49","45","52"
"White","West Sussex","41","35","46"
"White","Westminster","56","39","68"
"White","Wigan","33","27","40"
"White","Wiltshire","41","37","45"
"White","Windsor and Maidenhead","43","37","50"
"White","Wirral","49","46","52"
"White","Wokingham","53","45","62"
"White","Wolverhampton","22","15","29"
"White","Worcestershire","40","36","44"
"White","York","56","52","60"
