"","On-call ('retained') firefighters","","Full-time ('Wholetime') firefighters",""
"Ethnicity","%","Number","%","Number"
"Asian","0.2","20","0.7","151"
"Black","0.2","21","1.9","407"
"Mixed","0.8","82","2.0","425"
"White","98.7","10,228","94.8","20,100"
"Other inc Chinese","0.1","13","0.6","125"
"Unknown","N/A","2,113","N/A","1,935"
