"Title","Firefighters by ethnicity"
"Location","England"
"Time period","2017"
"Data source","Fire and rescue workforce and pensions statistics: England April 2016 to March 2017 second edition"
"Data source link","https://www.gov.uk/government/statistics/fire-and-rescue-workforce-and-pensions-statistics-england-april-2016-to-march-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","26/10/2017"

"Ethnicity","% of firefighters","Number of firefighters","Working age population 2011"
"Asian","0.5","171","8.4"
"Black","1.4","428","3.6"
"Mixed","1.6","507","1.8"
"White","96.1","30,328","85.1"
"Other inc Chinese","0.4","138","1.1"
"Unknown","N/A","4,048","N/A"
