"Ethnicity","% of firefighters","Number of firefighters","Working age population 2011"
"Asian","0.5","171","8.4"
"Black","1.4","428","3.6"
"Mixed","1.6","507","1.8"
"White","96.1","30,328","85.1"
"Other inc Chinese","0.4","138","1.1"
"Unknown","N/A","4,048","N/A"
