"","All","Men","Women"
"Ethnicity","","",""
"Asian","2.4","4.4","0.1"
"Black","7.5","11.5","4.5"
"Mixed other","1.9","2.7","1.1"
"White British","3.0","4.0","1.9"
"White other","2.1","2.1","2.1"
