"Gender","Ethnicity",""
"All","Asian","2.4"
"All","Black","7.5"
"All","Mixed other","1.9"
"All","White British","3.0"
"All","White other","2.1"
"Men","Asian","4.4"
"Men","Black","11.5"
"Men","Mixed other","2.7"
"Men","White British","4.0"
"Men","White other","2.1"
"Women","Asian","0.1"
"Women","Black","4.5"
"Women","Mixed other","1.1"
"Women","White British","1.9"
"Women","White other","2.1"
