"Title","Households under-occupying their home by ethnicity and income"
"Location","England"
"Time period","2013/14, 2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Weekly income","Value","Denominator","Numerator","Sample size"
"White British","Up to £99","12"," 219,652 "," 26,637 "," 446 "
"White British","£100 to £199","27"," 1,658,642 "," 446,301 "," 3,417 "
"White British","£200 to £299","34"," 2,330,425 "," 792,798 "," 4,699 "
"White British","£300 to £399","38"," 2,167,669 "," 814,150 "," 4,122 "
"White British","£400 to £499","37"," 1,769,992 "," 662,469 "," 3,326 "
"White British","£500 to £599","38"," 1,640,197 "," 628,328 "," 2,940 "
"White British","£600 to £699","40"," 1,540,292 "," 613,156 "," 2,697 "
"White British","£700 to £799","41"," 1,283,624 "," 525,389 "," 2,172 "
"White British","£800 to £899","42"," 1,076,614 "," 454,357 "," 1,772 "
"White British","£900 to £999","43"," 854,316 "," 365,716 "," 1,436 "
"White British","£1000 and above","51"," 4,284,737 "," 2,176,286 "," 6,688 "
"All other ethnic groups","Up to £99","10"," 63,678 "," 6,057 "," 116 "
"All other ethnic groups","£100 to £199","19"," 333,662 "," 61,740 "," 578 "
"All other ethnic groups","£200 to £299","21"," 401,075 "," 84,410 "," 739 "
"All other ethnic groups","£300 to £399","17"," 474,903 "," 79,896 "," 825 "
"All other ethnic groups","£400 to £499","16"," 426,782 "," 69,911 "," 722 "
"All other ethnic groups","£500 to £599","13"," 332,926 "," 44,352 "," 576 "
"All other ethnic groups","£600 to £699","19"," 296,515 "," 55,519 "," 473 "
"All other ethnic groups","£700 to £799","22"," 261,015 "," 56,320 "," 416 "
"All other ethnic groups","£800 to £899","19"," 210,022 "," 39,636 "," 314 "
"All other ethnic groups","£900 to £999","21"," 170,613 "," 36,527 "," 234 "
"All other ethnic groups","£1000 and above","30"," 814,503 "," 242,799 "," 1,173 "
