"","All","Asian","Black ","Mixed","White","Other"
"Highest qualification","","","","","",""
"All","72%","54%","69%","67%","73%","59%"
"Level 4 and above","82%","72%","82%","81%","84%","68%"
"Level 3","77%","59%","68%","74%","79%","62%"
"Level 2","69%","52%","62%","53%","70%","49%"
"Below Level 2","60%","36%","51%","?","62%","39%"
"Other qualifications","64%","42%","55%","?","70%","60%"
"No qualifications","35%","20%","45%","?","37%","29%"
