"","White","Mixed","Asian","Black ","Other","All"
"Highest qualification","","","","","",""
"All","83%","75%","83%","77%","79%","83%"
"Level 4 and above","90%","88%","91%","89%","86%","90%"
"Level 3","86%","81%","78%","85%","80%","86%"
"Level 2","81%","69%","76%","67%","70%","80%"
"Below Level 2","78%","?","78%","67%","?","78%"
"Other qualifications","84%","?","82%","78%","78%","83%"
"No qualifications","53%","?","61%","40%","62%","53%"
