"","All","Asian","Black","Mixed","White","Other"
"Highest qualification","","","","","",""
"All","77%","69%","73%","71%","78%","69%"
"Level 4 and above","86%","82%","85%","84%","87%","77%"
"Level 3","82%","68%","75%","78%","83%","71%"
"Level 2","74%","64%","64%","61%","75%","60%"
"Below level 2","69%","58%","58%","54%","70%","50%"
"Other qualifications","75%","64%","67%","?","78%","69%"
"No qualifications","44%","39%","42%","39%","45%","45%"
