"Title","Income spent on rent for new social lettings by ethnicity"
"Location","England"
"Time period","2016/17"
"Data source","Social housing lettings in England: April 2016 to March 2017"
"Data source link","https://www.gov.uk/government/statistics/social-housing-lettings-in-england-april-2016-to-march-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","30/01/2018"

"Ethnicity","%"
"Asian",""
"Bangladeshi","36"
"Chinese","40"
"Indian","38"
"Pakistani","34"
"Asian other","38"
"Black",""
"Black African","38"
"Black Caribbean","41"
"Black other","37"
"Mixed",""
"Mixed White/Asian","39"
"Mixed White/Black African","38"
"Mixed White/Black Caribbean","39"
"Mixed other","38"
"White",""
"White British","36"
"White Irish","40"
"White Gypsy/Traveller","37"
"White other","34"
"Other",""
"Arab","38"
"Any other","37"
