"Title","Employment"
"Location","England, Wales and Scotland"
"Time period","2004 to 2016"
"Data source","Department for Work and Pensions"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","December 2016"
"DATE","ECON_STATUS","REGION","ETHNICITY","SEX","AGE_BAND","AGE_GROUP","NUMERATOR","DENOMINATOR","SAMP_SIZE","Value","CONFIDENCE_INTERVAL","SUPRESS"
"Jan04-Dec04","Employed","All","All","All","All","16-64","27,057,872","37,248,303","315,222","72.6","0.2",""
"Jan04-Dec04","Employed","All","All","All","16-24","16-64","3,934,408","6,587,958","49,218","59.7","0.4",""
"Jan04-Dec04","Employed","All","All","All","25-49","16-64","16,538,966","20,396,825","168,242","81.1","0.2",""
"Jan04-Dec04","Employed","All","All","All","50-64","16-64","6,584,498","10,263,520","97,762","64.2","0.3",""
"Jan04-Dec04","Employed","All","All","Female","All","16-64","12,462,051","18,797,872","164,514","66.3","0.2",""
"Jan04-Dec04","Employed","All","All","Female","16-24","16-64","1,884,870","3,280,192","24,937","57.5","0.6",""
"Jan04-Dec04","Employed","All","All","Female","25-49","16-64","7,623,251","10,308,749","89,113","73.9","0.3",""
"Jan04-Dec04","Employed","All","All","Female","50-64","16-64","2,953,930","5,208,931","50,464","56.7","0.4",""
"Jan04-Dec04","Employed","All","All","Male","All","16-64","14,595,821","18,450,431","150,708","79.1","0.2",""
"Jan04-Dec04","Employed","All","All","Male","16-24","16-64","2,049,538","3,307,766","24,281","62","0.6",""
"Jan04-Dec04","Employed","All","All","Male","25-49","16-64","8,915,715","10,088,076","79,129","88.4","0.2",""
"Jan04-Dec04","Employed","All","All","Male","50-64","16-64","3,630,568","5,054,589","47,298","71.8","0.4",""
"Jan04-Dec04","Employed","All","White British","All","All","16-64","23,746,781","31,940,563","282,530","74.3","0.3",""
"Jan04-Dec04","Employed","All","White British","All","16-24","16-64","3,453,898","5,455,359","43,096","63.3","0.7",""
"Jan04-Dec04","Employed","All","White British","All","25-49","16-64","14,241,578","17,132,762","148,518","83.1","0.3",""
"Jan04-Dec04","Employed","All","White British","All","50-64","16-64","6,051,305","9,352,442","90,916","64.7","0.5",""
"Jan04-Dec04","Employed","All","White British","Female","All","16-64","10,996,612","16,091,689","147,162","68.3","0.4",""
"Jan04-Dec04","Employed","All","White British","Female","16-24","16-64","1,658,264","2,712,784","21,821","61.1","1",""
"Jan04-Dec04","Employed","All","White British","Female","25-49","16-64","6,625,906","8,650,825","78,546","76.6","0.5",""
"Jan04-Dec04","Employed","All","White British","Female","50-64","16-64","2,712,442","4,728,080","46,795","57.4","0.7",""
"Jan04-Dec04","Employed","All","White British","Male","All","16-64","12,750,169","15,848,874","135,368","80.4","0.3",""
"Jan04-Dec04","Employed","All","White British","Male","16-24","16-64","1,795,634","2,742,575","21,275","65.5","1",""
"Jan04-Dec04","Employed","All","White British","Male","25-49","16-64","7,615,672","8,481,937","69,972","89.8","0.4",""
"Jan04-Dec04","Employed","All","White British","Male","50-64","16-64","3,338,863","4,624,362","44,121","72.2","0.7",""
"Jan04-Dec04","Employed","All","White Other","All","All","16-64","1,275,921","1,797,329","13,110","71","1.2",""
"Jan04-Dec04","Employed","All","White Other","All","16-24","16-64","149,267","265,332","1,674","56.3","3.8",""
